#WIDTH: 38,14,25,25,25,50,8,15,28,12,18,22,30,12
#ALIGN: left,left,left,left,left,left,center,center,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,anp-streaming-ai,anp-streaming-ai,anp-streaming-ai,Solution identifier used in resource naming and tagging,Yes,String,Lowercase alphanumeric and hyphens only,Public,Cloud CoE,,Matches OPP-2025-001 project name,2025-06-01
solution.region.primary,Project,us-east-1,us-east-1,us-east-1,Primary AWS region for all solution resources,Yes,String,Valid AWS region code,Public,Cloud CoE,,Single region per SOW scope; Bedrock availability confirmed in us-east-1,2025-06-01
solution.environment,Project,prod,dev,prod,Deployment environment identifier used in resource names and tags,Yes,String,prod | dev,Public,Cloud CoE,,DR mirrors production; no dedicated staging per SOW scope,2025-06-01
solution.opportunity_id,Project,OPP-2025-001,OPP-2025-001,OPP-2025-001,nClouds opportunity identifier for cost allocation and resource tagging,Yes,String,Alphanumeric hyphens format,Public,Cloud CoE,,Used as CostCenter tag value on all IaC-provisioned resources,2025-06-01
aws.account_id,Project,[aws-account-id],[aws-account-id],[aws-account-id],AWS account identifier for the ANP Streaming deployment account,Yes,String,12-digit numeric string,Confidential,Cloud CoE,solution.region.primary,Required for ARN construction and IAM policy scoping across all Lambda roles,2025-06-01
aws.region,Project,us-east-1,us-east-1,us-east-1,AWS region code used in SDK configuration and ARN construction,Yes,String,Valid AWS region code,Public,Cloud CoE,solution.region.primary,Must match solution.region.primary; single-region deployment per SOW,2025-06-01
application.name,Application,anp-streaming-ai,anp-streaming-ai,anp-streaming-ai,Application identifier used in CloudWatch log group names and structured logs,Yes,String,Lowercase alphanumeric and hyphens; max 50 chars,Public,Development,solution.name,,2025-06-01
application.version,Application,1.0.0,1.0.0,1.0.0,Current application version applied to Lambda function tags and log context,Yes,String,Semantic versioning X.Y.Z,Public,Development,,,2025-06-01
application.log_level,Application,info,debug,info,Lambda function logging verbosity level,Yes,String,debug | info | warn | error,Public,Operations,,Prod uses info to reduce log volume and CloudWatch cost; dev uses debug,2025-06-01
application.api_stage,Application,v1,v1,v1,API Gateway stage name included in all endpoint URLs,Yes,String,Lowercase alphanumeric; no spaces,Public,Development,compute.apigw.api_name,URL pattern: https://<api-id>.execute-api.us-east-1.amazonaws.com/v1,2025-06-01
application.api_base_url,Application,[prod-apigw-url],[dev-apigw-url],[prod-apigw-url],Full base URL for the API Gateway REST endpoint provided to FlutterFlow team,Yes,String,Valid HTTPS URL,Confidential,Development,"compute.apigw.api_name,application.api_stage",Provided to ANP FlutterFlow team only after Production deployment smoke tests pass,2025-06-01
application.mood_labels,Application,"Joyful,Reflective,Peaceful,Uplifting,Worshipful,Hopeful","Joyful,Reflective,Peaceful,Uplifting,Worshipful,Hopeful","Joyful,Reflective,Peaceful,Uplifting,Worshipful,Hopeful",Comma-separated list of valid mood classification labels returned by Bedrock,Yes,List(String),Each value must be a non-empty string from the defined vocabulary,Public,Development,compute.lambda.classifier.bedrock_model_id,Vocabulary finalized in Phase 1 benchmarking; changes require Bedrock prompt update and re-validation,2025-06-01
application.recommend_default_limit,Application,10,10,10,Default playlist item count returned by GET /recommend when limit param is omitted,Yes,Integer,1-50,Public,Development,,,2025-06-01
