# SCOPE ASSUMPTIONS
#WIDTH: 25,35,30,25,25,30,40
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Agents / Workflows,Single-agent workflow,5 agents (Input Validator; Pre-Sales Generator; Delivery Generator; Code Generator; EO Validator),1-2 agents,3-5 agents,6+ agents,Multi-agent Strands graph with Bedrock AgentCore Runtime
Artifacts per Solution,3-5 artifacts per solution,12 artifacts per solution (5 presales + 6 delivery + 1 automation bundle),3-5 artifacts,6-9 artifacts,10-12 artifacts,Includes Terraform automation bundle with terraform validate gate
API Routes / CLI Subcommands,5 Lambda routes + 5 CLI subcommands,11 Lambda routes + 14 CLI subcommands behind API GW HTTP API v2,5 routes / 5 cmds,8 routes / 8 cmds,11+ routes / 14+ cmds,JWT-protected via Cognito User Pools with 30-day refresh tokens
Environments,Single production environment,3 environments (dev / staging / prod),1 environment,2 environments,3 environments,us-west-2 greenfield footprint; isolated from existing us-east-1 workloads
Validation & Retry Logic,Single-pass validation,Deterministic format-check + LLM quality check with up to 3 retries per artifact,1 pass,2 passes,3 retries per artifact,Haiku 4.5 for validation; Sonnet 4.6 for generation
Integrations,None,3 integrations (GitHub PAT commit; DynamoDB quota enforcement; eof-tools converter pipeline),1 integration,2 integrations,3 integrations,eof-tools ~30 Python modules baked into container image
User Scale / Quotas,No quota enforcement,Per-user quota 10 solutions/month; global pool 1000 solutions/month enforced atomically in DynamoDB,Up to 50 users,50-200 users,200+ users,Cognito MAU-based; post-confirmation trigger Lambda for user profiles
Compliance / Observability,Basic logging only,CloudWatch metrics baseline; per-phase token usage in CLI + admin API; graded artifact delivery policy,Basic CloudWatch,Enhanced monitoring,Full observability + token reporting,Green CloudWatch baseline required before Phase 3 sign-off

# ESTIMATE SETTINGS
#WIDTH: 25,30,15,80
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,discovery_factor,1.0,Baseline for stakeholder interviews; requirements gathering; current-state review of eof-tools library
Planning,planning_factor,1.2,Elevated for detailed architecture design; multi-agent graph design; Cognito + API GW; container pipeline design
Development,development_factor,1.3,Elevated for 5-agent implementation; 14 CLI subcommands; 11 Lambda routes; Docker image pipeline; eof-tools integration
Testing,testing_factor,1.1,End-to-end artifact validation across 12 artifact types; Terraform validate gate; CloudWatch baseline verification
Deployment,deployment_factor,1.0,Baseline for production deployment; knowledge transfer; runbook delivery; 4-week hypercare support
Management,management_factor,1.0,Project management and technical leadership overhead (10% of engineering tasks)

# LEVEL OF EFFORT
#WIDTH: 15,25,50,15,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,Project Kickoff,Kickoff meeting with Sarah Lin; Marcus Patel; Daniel Park — align on scope; objectives and timeline,Project Manager,8,1.0,8,$175,"$1,400",,Week 1
Discovery,Current State Assessment,Document legacy Claude Code CLI workflow; map eof-tools library modules (~30 Python modules covering 12 artifact types),Solution Architect,24,1.0,24,$225,"$5,400",,Basis for eof-tools integration design
Discovery,Requirements Gathering,Conduct stakeholder interviews; document 14 CLI subcommands; 11 API routes; 5-agent specs; quota and auth requirements,Solution Architect,32,1.0,32,$225,"$7,200",,Inputs to Planning phase
Discovery,Cloud Readiness Assessment,Review existing us-east-1 footprint; plan us-west-2 greenfield provisioning; assess Bedrock and AgentCore service limits,Cloud Engineer,16,1.0,16,$200,"$3,200",,Informs infrastructure architecture
Discovery,AI/ML Capability Assessment,Evaluate Bedrock model selection (Sonnet 4.6 / Haiku 4.5); assess token throughput; per-solution cost targeting under $5 model spend,ML/AI Engineer,20,1.0,20,$250,"$5,000",,Informs agent design and cost model
Discovery,Gap Analysis,Identify gaps between legacy manual process and target agentic automation; document deferred scope items,Solution Architect,16,1.0,16,$225,"$3,600",Current State Assessment,
Discovery,Risk Assessment,Identify risks: Bedrock quota limits; AgentCore cold-start latency; GitHub PAT rotation; DynamoDB hot-partition risk,Project Manager,8,1.0,8,$175,"$1,400",,
Discovery,Assessment Report,Document findings; recommended architecture; phased delivery plan aligned to Q2 2026 timeline,Technical Writer,16,1.0,16,$125,"$2,000",Gap Analysis,Deliverable for CTO review
Planning,Detailed Architecture Design,"Design multi-agent Strands graph: Agent 0 Input Validator; Pre-Sales Generator; Delivery Generator; Code Generator; EO Validator agents with AgentCore Runtime hosting",Solution Architect,48,1.2,58,$225,"$13,050",Assessment Report,Critical path — CTO sign-off required
Planning,AWS Foundation Design,Design us-west-2 account structure; VPC; IAM roles and policies; S3 bucket layout; DynamoDB table design with GSIs for quota enforcement,Cloud Engineer,40,1.2,48,$200,"$9,600",Detailed Architecture Design,
Planning,Cognito & Auth Design,"Design Cognito User Pool; app client; JWT token settings (30-day refresh); post-confirmation Lambda trigger; API GW HTTP API v2 authoriser",Security Engineer,32,1.2,38,$225,"$8,550",Detailed Architecture Design,Rate includes security cert premium
Planning,API Gateway & Lambda Architecture,Design 11 Lambda route handlers; API GW HTTP API v2 stage; throttling; CORS; request and response schemas for all 14 CLI subcommands,Solutions Engineer,32,1.2,38,$200,"$7,600",Cognito & Auth Design,
Planning,Agent Orchestration Design,"Design Strands agent graph topology; inter-agent messaging; graded artifact delivery policy; per-phase token usage tracking; retry logic up to 3 retries per artifact",ML/AI Engineer,40,1.2,48,$250,"$12,000",Detailed Architecture Design,
Planning,Container Image Pipeline Design,Design Docker image architecture for eof-tools integration; ECR repository; image build pipeline; AgentCore Runtime registration workflow,DevOps Engineer,24,1.2,29,$200,"$5,800",Agent Orchestration Design,
Planning,Security Baseline Design,Design IAM least-privilege policies; Secrets Manager for GitHub PAT; CloudTrail; WAF for API Gateway; DynamoDB encryption at rest,Security Engineer,24,1.2,29,$225,"$6,525",AWS Foundation Design,
Planning,Monitoring & Observability Design,Design CloudWatch dashboards; per-phase token usage metrics; alarms for quota thresholds; structured logging schema for all agents,DevOps Engineer,20,1.2,24,$200,"$4,800",Agent Orchestration Design,
Planning,Design Documentation,Produce architecture diagrams; sequence diagrams for agent flows; data flow diagrams; API specification in OpenAPI format,Technical Writer,24,1.2,29,$125,"$3,625",All Planning tasks,Inputs to Statement of Work
Development,Foundation Infrastructure,Provision Cognito User Pool; DynamoDB tables (user profiles + quota counters); S3 buckets; IAM roles; API GW HTTP API v2 — Phase 1 Weeks 1-4,Cloud Engineer,48,1.3,62,$200,"$12,400",AWS Foundation Design,Phase 1 deliverable
Development,Post-Confirmation Lambda,Develop Cognito post-confirmation trigger Lambda; DynamoDB user profile write on registration; unit tests,Solutions Engineer,16,1.3,21,$200,"$4,200",Foundation Infrastructure,
Development,Agent 0 — Input Validator,Develop Input Validator agent; brief parsing; schema validation; error surfacing; integration with Strands framework,ML/AI Engineer,32,1.3,42,$250,"$10,500",Agent Orchestration Design,Phase 2 Weeks 5-9
Development,Pre-Sales Generator Agent,"Develop Pre-Sales Generator agent; 5-artifact workflow (solution briefing; infra costs; LOE; SoW; proposal); LLM prompting with Sonnet 4.6; format-check integration",ML/AI Engineer,48,1.3,62,$250,"$15,500",Agent 0 — Input Validator,
Development,Delivery Generator Agent,"Develop Delivery Generator agent; 6-artifact workflow (project charter; implementation plan; RAID log; runbooks; test plan; closure report)",ML/AI Engineer,40,1.3,52,$250,"$13,000",Pre-Sales Generator Agent,
Development,Code Generator Agent,"Develop Code Generator agent; Terraform IaC templates for 5 core AWS services; terraform validate gate; output bundled as automation artifact",ML/AI Engineer,40,1.3,52,$250,"$13,000",Delivery Generator Agent,
Development,EO Validator Agent,Develop EO Validator agent; deterministic format-check pass; LLM quality check using Haiku 4.5; up to 3 retries per artifact; pass/fail envelope,ML/AI Engineer,32,1.3,42,$250,"$10,500",Pre-Sales Generator Agent,
Development,eof-Tools Integration,Integrate eof-tools converter pipeline (~30 Python modules) into Docker container image; test DOCX/PPTX/XLSX conversion for all 12 artifact types,Solutions Engineer,48,1.3,62,$200,"$12,400",Container Image Pipeline Design,Key existing asset — must not be rewritten
Development,Docker Image & ECR Pipeline,"Build multi-stage Dockerfile; ECR push workflow; AgentCore Runtime image registration; image tagging and versioning strategy",DevOps Engineer,32,1.3,42,$200,"$8,400",Container Image Pipeline Design,
Development,CLI Development — 14 Subcommands,"Develop pip-installable CLI; 14 subcommands (auth login/logout; solution generate; solution status; artifact download; admin usage); JWT token handling",Solutions Engineer,48,1.3,62,$200,"$12,400",Foundation Infrastructure,
Development,Lambda Route Handlers — 11 Routes,"Develop 11 JWT-protected Lambda handlers (solution create; status; artifact fetch; user profile; quota check; admin usage); request validation; error handling",Solutions Engineer,40,1.3,52,$200,"$10,400",Foundation Infrastructure,
Development,DynamoDB Quota Enforcement,Implement atomic per-user 10/month and global 1000/month quota counters using DynamoDB conditional writes; overflow error handling,Solutions Engineer,16,1.3,21,$200,"$4,200",Foundation Infrastructure,
Development,GitHub Integration,Implement GitHub PAT-based commit workflow; solution artifact bundle commit to fixed public repository; branch strategy,Solutions Engineer,16,1.3,21,$200,"$4,200",eof-Tools Integration,
Development,CloudWatch Observability Implementation,Implement per-phase token usage metrics emission; structured log groups; CloudWatch dashboards; quota alarm notifications,DevOps Engineer,24,1.3,31,$200,"$6,200",Monitoring & Observability Design,Phase 3 prerequisite
Development,Security Hardening,Implement Secrets Manager for GitHub PAT; WAF rules on API GW; CloudTrail for audit; DynamoDB KMS encryption; Cognito MFA option,Security Engineer,24,1.3,31,$225,"$6,975",Security Baseline Design,
Development,Configuration Documentation,Document all Lambda environment variables; DynamoDB table schemas; S3 bucket policies; Cognito app client settings,Technical Writer,32,1.3,42,$125,"$5,250",All Development tasks,
Testing,Test Plan Development,Create comprehensive test plan covering agent workflows; CLI commands; API routes; quota enforcement; converter pipeline; Terraform validation,QA Engineer,16,1.1,18,$150,"$2,700",All Development tasks,Phase 3 Weeks 10-12
Testing,Unit Testing — Agent Logic,Execute unit tests for all 5 agent modules; mock Bedrock calls; validate input/output schemas; retry logic coverage,Solutions Engineer,24,1.1,26,$200,"$5,200",All Development tasks,
Testing,Integration Testing — End-to-End Artifacts,"Execute end-to-end artifact generation for all 12 artifact types; validate format-check pass; LLM quality check; converter pipeline output (DOCX/PPTX/XLSX)",ML/AI Engineer,32,1.1,35,$250,"$8,750",eof-Tools Integration,Critical — must pass before Phase 3 sign-off
Testing,API Route Testing,Test all 11 Lambda routes via CLI and HTTP client; JWT auth validation; error response codes; rate limiting behaviour,Solutions Engineer,20,1.1,22,$200,"$4,400",Lambda Route Handlers — 11 Routes,
Testing,Terraform Validate Gate Testing,Validate Terraform IaC output for all 5 core AWS services passes terraform validate; test error surfacing on syntax failures,Solutions Engineer,12,1.1,13,$200,"$2,600",Code Generator Agent,
Testing,Performance & Quota Testing,"Load test quota enforcement (concurrent solution submissions); verify atomic DynamoDB writes under contention; measure per-solution latency (target under 60 minutes)",Solutions Engineer,20,1.1,22,$200,"$4,400",DynamoDB Quota Enforcement,
Testing,Security Testing,Perform JWT validation bypass attempts; API GW WAF rule verification; IAM privilege escalation checks; Secrets Manager access control validation,Security Engineer,16,1.1,18,$225,"$4,050",Security Hardening,
Testing,CloudWatch Baseline Validation,Verify green CloudWatch metrics baseline; validate per-phase token usage reporting in CLI status command and admin usage endpoint,DevOps Engineer,12,1.1,13,$200,"$2,600",CloudWatch Observability Implementation,Gate for Phase 3 completion
Testing,UAT Coordination,Coordinate UAT with Marcus Patel (Pre-Sales Engineering); execute representative presales bundle generation; review output with Sarah Lin (CRO),Project Manager,16,1.1,18,$175,"$3,150",Integration Testing — End-to-End Artifacts,
Testing,Defect Resolution,Address and resolve defects identified during testing phases; regression testing after fixes; 10% contingency buffer,Solutions Engineer,24,1.1,26,$200,"$5,200",Test Plan Development,
Testing,Test Results Report,Document test results; sign-off checklist; known limitations; deferred items for Phase 2 engagement,QA Engineer,8,1.1,9,$150,"$1,350",Defect Resolution,
Deployment,Go-Live Planning,Plan production cutover approach; rollback procedures; CloudWatch alarm thresholds; stakeholder communication plan,Project Manager,8,1.0,8,$175,"$1,400",Test Results Report,
Deployment,Production Deployment,Deploy all infrastructure (Cognito; API GW; Lambda; DynamoDB; S3; AgentCore) to production us-west-2 via Terraform; smoke test,Cloud Engineer,24,1.0,24,$200,"$4,800",Go-Live Planning,CTO sign-off required pre-deployment
Deployment,CLI Package Publishing,Publish pip-installable CLI to internal or public PyPI; versioning and changelog documentation,DevOps Engineer,8,1.0,8,$200,"$1,600",Production Deployment,
Deployment,Runbook Development,Create operational runbooks: agent failure recovery; quota reset procedures; GitHub PAT rotation; AgentCore image update process,Technical Writer,24,1.0,24,$125,"$3,000",Production Deployment,
Deployment,Knowledge Transfer Sessions,"Conduct training sessions for Marcus Patel Pre-Sales Engineering team; Daniel Park Delivery Operations team; CLI usage; admin API; quota management",Trainer,24,1.0,24,$150,"$3,600",Runbook Development,
Deployment,Documentation Delivery,Deliver as-built architecture documentation; API reference; CLI command reference; operator guide; user onboarding guide,Technical Writer,16,1.0,16,$125,"$2,000",Runbook Development,
Deployment,Hypercare Support,"4-week post-go-live hypercare support; incident triage; agent prompt tuning; quota adjustment; GitHub commit troubleshooting",Support Engineer,40,1.0,40,$150,"$6,000",Production Deployment,4-week medium-complexity hypercare
Deployment,Optimization Recommendations,Document Phase 2 roadmap recommendations: parallel pipeline throughput; multi-region expansion; additional artifact types; cost optimisation at 200 solutions/month,Solution Architect,16,1.0,16,$225,"$3,600",Hypercare Support,
Deployment,Project Closeout,Project retrospective with Sarah Lin; Marcus Patel; Daniel Park — lessons learned; 90% effort-reduction metric validation; formal acceptance,Project Manager,8,1.0,8,$175,"$1,400",Optimization Recommendations,
Management,Technical Leadership,"Quarterback technical oversight across all phases: architecture decisions; agent design reviews; Bedrock model governance; CTO briefings","=ROUND(SUM($G$3:$G$62)*0.10,0)",1.0,"=ROUND(SUM($G$3:$G$62)*0.10,0)",$225,"=TEXT(ROUND(SUM($G$3:$G$62)*0.10,0)*225,""$#,##0"")",,10% of engineering tasks (rows 3-62)
Management,Project Management,"Project coordination; weekly status reporting; risk log maintenance; budget tracking; procurement liaison for AWS spend envelope","=ROUND(SUM($G$3:$G$62)*0.10,0)",1.0,"=ROUND(SUM($G$3:$G$62)*0.10,0)",$175,"=TEXT(ROUND(SUM($G$3:$G$62)*0.10,0)*175,""$#,##0"")",,10% of engineering tasks (rows 3-62)
,,,,,TOTAL HOURS,"=SUM($G$3:$G$64)",TOTAL COST,"=TEXT(SUMPRODUCT($G$3:$G$64,$H$3:$H$64),""$#,##0"")",,

# CREDITS
#WIDTH: 25,15,100
#ALIGN: left,right,left
Credit Type,Credit Amount,Credit Comments
AWS Partner Services Credit,"($15,000)","AWS Partner Network (APN) Advanced Tier credit for Bedrock and AgentCore solution architecture and implementation services — applied to Year 1 professional services"
AWS Generative AI Competency Incentive,"($5,000)","AWS Generative AI competency partner incentive for validated multi-agent Bedrock implementations — eligibility subject to APN competency verification"
Volume Implementation Discount,"($5,000)","Strategic account discount on professional services for 12-week fixed-scope engagement — approximately 2% of total services value"
NET PROFESSIONAL SERVICES COST,"=SUMPRODUCT($G$3:$G$64,$H$3:$H$64)-25000","Total professional services cost minus AWS Partner and volume credits — reflects Year 1 billable amount to PREDICTif Solutions"
