#WIDTH: 38,14,25,25,25,50,8,15,28,12,18,22,30,12
#ALIGN: left,left,left,left,left,left,center,center,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,amatra-presales-platform,amatra-presales-platform,amatra-presales-platform,Solution identifier used for resource naming and tagging,Yes,String,lowercase alphanumeric hyphens only max 50 chars,Public,Cloud CoE,,,2026-06-05
solution.region.primary,Project,us-west-2,us-west-2,us-west-2,Primary AWS region for all solution resources per SOW,Yes,String,Valid AWS region code,Public,Cloud CoE,,Single region per SOW scope; multi-region is out of scope,2026-06-05
solution.environment,Project,prod,dev,prod,Deployment environment identifier,Yes,String,"prod|dev|staging",Public,Cloud CoE,,DR mirrors production environment configuration,2026-06-05
solution.opportunity_id,Project,OPP-2026-001,OPP-2026-001,OPP-2026-001,Opportunity identifier for cost allocation tagging,Yes,String,OPP-YYYY-NNN format,Public,Cloud CoE,,Used in all resource cost allocation tags,2026-06-05
aws.account_id,Project,[aws-account-id],[aws-account-id],[aws-account-id],AWS account identifier for the fresh us-west-2 footprint,Yes,String,12-digit numeric,Confidential,Cloud CoE,solution.region.primary,New isolated account per SOW; not the legacy us-east-1 account,2026-06-05
solution.artifact_retention_days,Project,365,30,365,S3 artifact retention period before lifecycle expiry,Yes,Integer,1-3653,Public,Cloud CoE,storage.s3.bucket_name,Matches SOW data retention commitment; 365 days for prod,2026-06-05
solution.monthly_quota.global,Project,1000,50,1000,Global hard cap on solutions generated per calendar month,Yes,Integer,1-10000,Public,Cloud CoE,dynamodb.table.quota_global,Enforced atomically via DynamoDB conditional writes per SOW,2026-06-05
solution.monthly_quota.per_user,Project,10,5,10,Per-user hard cap on solutions generated per calendar month,Yes,Integer,1-1000,Public,Cloud CoE,dynamodb.table.user_profiles,Atomic enforcement; quota reset by scheduled Lambda each month,2026-06-05
application.name,Application,amatra-presales-platform,amatra-presales-platform,amatra-presales-platform,Application identifier used in logging and monitoring,Yes,String,Alphanumeric and hyphens max 50 chars,Public,Development,solution.name,,2026-06-05
application.version,Application,1.0.0,1.0.0,1.0.0,Current application semantic version,Yes,String,Semantic versioning X.Y.Z,Public,Development,,Increment on each production deployment,2026-06-05
