# Project Timeline
#WIDTH: 15,35,12,14,14,28,24,14
#ALIGN: left,left,center,center,center,left,left,center
Phase,Task,Duration,Start Date,End Date,Dependencies,Owner,Status
Phase 1,Project Kickoff & Stakeholder Alignment,1 day,2026-07-01,2026-07-01,None,Project Manager,Not Started
Phase 1,AWS Account Provisioning & IAM Access,3 days,2026-07-02,2026-07-04,Project Kickoff & Stakeholder Alignment,VP Engineering,Not Started
Phase 1,Okta User Directory Export,3 days,2026-07-02,2026-07-04,Project Kickoff & Stakeholder Alignment,Security & Compliance Lead,Not Started
Phase 1,Historical Client Briefs Collection,5 days,2026-07-02,2026-07-08,Project Kickoff & Stakeholder Alignment,Head of Solutions,Not Started
Phase 1,Discovery & Current State Assessment,10 days,2026-07-06,2026-07-17,AWS Account Provisioning & IAM Access,Lead Solutions Architect,Not Started
Phase 1,Legacy Template Inventory & Export,5 days,2026-07-06,2026-07-10,Historical Client Briefs Collection,Lead Solutions Architect,Not Started
Phase 1,Detailed Architecture Design & ADRs,15 days,2026-07-20,2026-08-07,Discovery & Current State Assessment,Lead Solutions Architect,Not Started
Phase 1,AWS Landing Zone & Environment Setup,10 days,2026-07-20,2026-07-31,AWS Account Provisioning & IAM Access,Senior Solutions Engineer,Not Started
Phase 1,CI/CD Pipeline Setup (GitHub Actions),5 days,2026-08-03,2026-08-07,AWS Landing Zone & Environment Setup,Cloud/DevOps Engineer,Not Started
Phase 1,Architecture Design Review & Approval Gate,5 days,2026-08-10,2026-08-14,Detailed Architecture Design & ADRs,Project Manager,Not Started
Phase 1,Okta-to-Cognito Identity Migration,10 days,2026-08-10,2026-08-21,Architecture Design Review & Approval Gate,Senior Solutions Engineer,Not Started
Phase 1,Async Job Orchestration (Step Functions + SQS),10 days,2026-08-10,2026-08-21,Architecture Design Review & Approval Gate,Senior Solutions Engineer,Not Started
Phase 1,Bedrock Integration Layer (Phase 1 Artifacts),15 days,2026-08-17,2026-09-04,Architecture Design Review & Approval Gate,ML/AI Engineer,Not Started
Phase 1,API Gateway & Lambda REST API Layer,10 days,2026-08-17,2026-08-28,Architecture Design Review & Approval Gate,Senior Solutions Engineer,Not Started
