# SCOPE ASSUMPTIONS
#WIDTH: 25,35,30,25,25,30,40
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Users / Accounts in Scope,Single business unit,Small faith-based streaming user base at launch,<500 users,500-5000 users,5000+ users,Initial launch; growth expected post-engagement
AI Endpoints / Models,1 REST API endpoint,"2 endpoints (mood classifier + recommendation)","1-2 endpoints","3-5 endpoints",6+ endpoints,Mood-classification and playlist recommendation endpoints
AWS Managed Services,Core AI/ML services only,"Lambda, Bedrock, API Gateway, DynamoDB","2-3 services","4-6 services",7+ services,No self-managed ML infrastructure required
Environments,Dev and Prod,Dev + Prod (no dedicated QA env),Dev + Prod,Dev + Staging + Prod,Dev + Staging + Prod + DR,Firebase remains for frontend data
Integration Points,Single source system,Firebase catalog (read-only) + FlutterFlow API calls,1 integration,"2-3 integrations",4+ integrations,No mobile frontend changes required
Data Volume / Catalog Size,Small catalog,Existing catalog with lyrics and transcripts,<1000 tracks,"1000-10000 tracks",10000+ tracks,Existing tags and text used for mood inference
Compliance / Security,Standard AWS security baseline,IAM least privilege + API key auth + HTTPS only,Standard baseline,SOC2 alignment,Full compliance audit,No HIPAA or PCI requirements identified

# ESTIMATE SETTINGS
#WIDTH: 25,30,15,80
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,discovery_factor,1.0,Baseline for stakeholder interviews and AWS architecture design
Planning,planning_factor,1.0,Solution design and detailed technical planning for two AI endpoints
Development,development_factor,1.0,Lambda and Bedrock implementation plus API Gateway and DynamoDB configuration
Testing,testing_factor,1.0,Functional and integration testing of mood-classification and recommendation endpoints
Deployment,deployment_factor,1.0,Production deployment plus API documentation and knowledge transfer
Management,management_factor,1.0,Project management and technical leadership overhead (10% of engineering hours)

# LEVEL OF EFFORT
#WIDTH: 15,25,50,15,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,Project Kickoff,Project kickoff meeting with Lilly Goyah and nClouds team to align on goals and timeline,Project Manager,4,1.0,=E4*F4,$175,"=TEXT(G4*H4,""$#,##0"")",,Short engagement with single executive stakeholder
Discovery,Current State Assessment,"Review existing Firebase catalog structure (titles, artists, lyrics, transcripts) and FlutterFlow API patterns",Solution Architect,8,1.0,=E5*F5,$225,"=TEXT(G5*H5,""$#,##0"")",Project Kickoff,Read-only Firebase access; no migration in scope
Discovery,Requirements Gathering,Document functional requirements for mood-classification and playlist recommendation endpoints,Solution Architect,8,1.0,=E6*F6,$225,"=TEXT(G6*H6,""$#,##0"")",Current State Assessment,Two endpoints confirmed; input/output schemas to be agreed
Discovery,AWS Architecture Design,"Design AWS architecture using Lambda, Bedrock, API Gateway, and DynamoDB for both endpoints",Solution Architect,16,1.0,=E7*F7,$225,"=TEXT(G7*H7,""$#,##0"")",Requirements Gathering,Leverage AWS managed services; no self-managed models
Discovery,Data Assessment,Assess catalog text data quality (lyrics and transcripts) for mood-inference readiness via Bedrock,ML/AI Engineer,8,1.0,=E8*F8,$250,"=TEXT(G8*H8,""$#,##0"")",Current State Assessment,Confirm Bedrock model suitability for faith-based content
Discovery,Risk Assessment,"Identify project risks covering data quality gaps, Firebase connectivity, and AWS account readiness",Project Manager,4,1.0,=E9*F9,$175,"=TEXT(G9*H9,""$#,##0"")",AWS Architecture Design,Short timeline increases risk; mitigations documented
Discovery,Discovery Summary Report,Document architecture decision record and confirmed scope for client review and sign-off,Solution Architect,6,1.0,=E10*F10,$225,"=TEXT(G10*H10,""$#,##0"")",Risk Assessment,Deliverable reviewed by client within 3 working days
Planning,Detailed Architecture Specification,"Produce detailed design specs for both API endpoints including request/response schemas, auth, and error handling",Solution Architect,12,1.0,=E12*F12,$225,"=TEXT(G12*H12,""$#,##0"")",Discovery Summary Report,Input to development and API documentation
Planning,AWS Environment Setup,"Provision AWS account baseline: IAM roles, API Gateway, Lambda, and DynamoDB tables for Dev and Prod",Cloud Engineer,12,1.0,=E13*F13,$200,"=TEXT(G13*H13,""$#,##0"")",Detailed Architecture Specification,"IaC via CloudFormation or CDK; Dev and Prod environments"
Planning,Security Baseline Configuration,"Configure IAM least-privilege policies, API key authentication, HTTPS enforcement, and CloudWatch logging",Security Engineer,8,1.0,=E14*F14,$200,"=TEXT(G14*H14,""$#,##0"")",AWS Environment Setup,Standard AWS security baseline per engagement brief
