# SCOPE ASSUMPTIONS
#WIDTH: 25,35,30,25,25,30,40
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Users / Consultants,Single team of 5-10 consultants,~120 consultants (US & CA),Up to 10 users,10-50 users,50+ users,PREDICTif has 120 distributed consultants needing concurrent access
Regions / Geographies,Single AWS region,us-west-2 (primary; isolated from us-east-1 workloads),1 region,2 regions,3+ regions,Fresh footprint in us-west-2 to isolate PoC blast radius
AI Agents / Pipelines,Single agent workflow,5 agents per solution (Input Validator + 4 generators),1-2 agents,3-4 agents,5+ agents,"Input Validator; Pre-Sales; Delivery; Code; EO Validator agents"
Artifacts per Solution,3 artifacts,12 artifacts (5 presales + 6 delivery + 1 automation bundle),Up to 5,6-9,10-12,"Full bundle: DOCX + PPTX + XLSX + Terraform IaC per solution"
Integration Points,1 integration,5 integrations (Bedrock; Cognito; DynamoDB; S3; GitHub),1-2,3-4,5+,"API Gateway HTTP v2; Lambda; Cognito; DynamoDB; GitHub PAT; S3"
Environments,Dev only,3 environments (dev / staging / prod),1 (dev),2 (dev + staging),3 (dev + staging + prod),Prod requires CTO sign-off and Cognito User Pool review
Compliance / Governance,No quota enforcement,Per-user monthly quotas + global pool (1000 sol/mo),None,Per-user only,"Per-user (10/mo) + global (1000/mo), atomic DynamoDB enforcement"
Monthly Solution Throughput,Ad hoc (manual),200 solutions/month steady-state target,<10/mo,10-100/mo,100-1000+/mo,Platform must scale linearly; per-solution target <$5 Bedrock spend
SLA / Availability Target,Best effort,End-to-end in under 1 hour; PoC live by end of April 2026,Best effort,99% uptime,99.9% uptime,Hard deadline: Q2 2026 executive sponsor demo

# ESTIMATE SETTINGS
#WIDTH: 25,30,15,80
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,discovery_factor,1.0,Baseline stakeholder interviews; requirements gathering; current-state review of legacy CLI workflow
Planning,planning_factor,1.2,Elevated for multi-agent graph design; AWS AgentCore + Strands framework; Cognito + API Gateway architecture planning
Development,development_factor,1.3,Elevated for 5-agent pipeline; 14-subcommand CLI; 11 Lambda routes; eof-tools container integration; Terraform IaC
Testing,testing_factor,1.1,Covers format-check + LLM quality-check validation loops; Terraform validate gate; 12 artifact type coverage
Deployment,deployment_factor,1.0,Baseline for production deployment; GitHub integration; hypercare; knowledge transfer

# LEVEL OF EFFORT
#WIDTH: 15,25,50,15,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,Project Kickoff,Project kickoff meeting with Sarah Lin (CRO) and Marcus Patel (Dir Pre-Sales); agenda and minutes,Project Manager,8,1.0,8,$175,"=TEXT(8*175,""$#,##0"")",None,Include CTO briefing on Cognito User Pool scope
Discovery,Current State Assessment,"Document legacy CLI workflow: Claude Code CLI; OneDrive storage; manual GitHub push; 6-10 hr/engagement baseline",Solution Architect,16,1.0,16,$225,"=TEXT(16*225,""$#,##0"")",Kickoff,Baseline for 90% effort-reduction KPI
Discovery,Requirements Gathering,"Stakeholder interviews: Marcus Patel (technical); Daniel Park (delivery ops); CTO (Cognito sign-off); budget owner",Solution Architect,24,1.0,24,$225,"=TEXT(24*225,""$#,##0"")",Current State Assessment,Capture all 14 CLI subcommands and 11 API routes
Discovery,Architecture Feasibility,Assess Bedrock AgentCore Runtime; Strands Agents framework; Claude Sonnet 4.6 + Haiku 4.5 model selection,Solution Architect,24,1.0,24,$225,"=TEXT(24*225,""$#,##0"")",Requirements Gathering,Validate AgentCore Runtime GA availability in us-west-2
Discovery,Gap Analysis,"Identify gaps: no central orchestration; no audit trail; no quota enforcement; no automated retry in legacy system",Solutions Engineer,16,1.0,16,$200,"=TEXT(16*200,""$#,##0"")",Current State Assessment,Map gaps to Phase 1-3 delivery milestones
Discovery,Cloud Readiness Assessment,Review existing us-east-1 AWS account; plan fresh us-west-2 footprint; IAM boundary design; blast-radius analysis,Cloud Engineer,16,1.0,16,$200,"=TEXT(16*200,""$#,##0"")",Architecture Feasibility,Confirm procurement trigger if new spend exceeds existing envelope
Discovery,Risk Assessment,"Identify top risks: hard April deadline; Cognito CTO sign-off; Bedrock quota limits; GitHub PAT rotation; eof-tools compatibility",Project Manager,8,1.0,8,$175,"=TEXT(8*175,""$#,##0"")",Gap Analysis,Risk register feeds Phase 3 contingency buffer
Discovery,Assessment Report,Document findings; recommended architecture; phased delivery plan aligned to 12-week schedule,Technical Writer,16,1.0,16,$125,"=TEXT(16*125,""$#,##0"")",Risk Assessment,Distribute to Sarah Lin; Marcus Patel; Daniel Park
Planning,Detailed Architecture Design,"Multi-agent graph design: Agent 0 (Input Validator); Pre-Sales Generator; Delivery Generator; Code Generator; EO Validator",Solution Architect,40,1.2,48,$225,"=TEXT(48*225,""$#,##0"")",Assessment Report,Strands agent-graph topology; inter-agent message contracts
Planning,AWS Landing Zone Setup,"us-west-2 account structure: VPC; IAM roles; S3 bucket policies; CloudTrail; Cost Allocation Tags; resource boundaries",Cloud Engineer,32,1.2,38,$200,"=TEXT(38*200,""$#,##0"")",Detailed Architecture Design,Isolated from us-east-1 managed-services workloads
Planning,Cognito User Pool Design,"Amazon Cognito User Pool: 30-day refresh tokens; post-confirmation trigger Lambda; DynamoDB user profile eager-write",Security Engineer,24,1.2,29,$200,"=TEXT(29*200,""$#,##0"")",AWS Landing Zone Setup,CTO sign-off gate before implementation
Planning,API Gateway & Lambda Design,"HTTP API v2: 11 routes; JWT authoriser; Lambda proxy integrations; per-route throttling; per-user quota enforcement",Solutions Engineer,32,1.2,38,$200,"=TEXT(38*200,""$#,##0"")",Cognito User Pool Design,Includes admin usage endpoint and CLI auth flow
Planning,DynamoDB Schema Design,"Tables: user profiles; solution state; per-user quota counters; global pool counter; atomic conditional writes",Solutions Engineer,16,1.2,19,$200,"=TEXT(19*200,""$#,##0"")",API Gateway & Lambda Design,"Atomic quota enforcement design (10 sol/user/mo; 1000 global/mo)"
Planning,Container Image Architecture,"eof-tools (~30 Python modules) baked into AgentCore container image; Docker layer strategy; ECR repository design",DevOps Engineer,24,1.2,29,$200,"=TEXT(29*200,""$#,##0"")",DynamoDB Schema Design,Validate eof-tools converter library compatibility with container runtime
Planning,Security Baseline Design,"IAM least-privilege policies; Secrets Manager for GitHub PAT; KMS key policy; CloudWatch log encryption; VPC endpoints",Security Engineer,16,1.2,19,$200,"=TEXT(19*200,""$#,##0"")",Container Image Architecture,Aligns with CTO security review requirements
Planning,Monitoring & Observability Design,"CloudWatch dashboards: per-phase token usage; per-solution latency; validation retry rates; quota utilisation metrics",DevOps Engineer,16,1.2,19,$200,"=TEXT(19*200,""$#,##0"")",Security Baseline Design,Token usage must surface in CLI status command and admin API
Planning,Design Documentation,"Architecture diagrams; ADRs; data-flow diagrams; API contract specs (OpenAPI); agent-graph topology document",Technical Writer,24,1.2,29,$125,"=TEXT(29*125,""$#,##0"")",Monitoring & Observability Design,Inputs to Statement of Work and delivery artifacts
Development,Phase 1 Foundation,"Provision Cognito User Pool; API Gateway HTTP v2; DynamoDB tables; S3 buckets; baseline IAM roles (Weeks 1-4)",Cloud Engineer,40,1.3,52,$200,"=TEXT(52*200,""$#,##0"")",Design Documentation,Hard gate: Phase 1 complete before Phase 2 kickoff (Week 5)
Development,Cognito Post-Confirmation Lambda,"Implement post-confirmation trigger Lambda: eager DynamoDB user-profile write; error handling; unit tests",Solutions Engineer,16,1.3,21,$200,"=TEXT(21*200,""$#,##0"")",Phase 1 Foundation,30-day refresh token config validated
Development,CLI Development Authentication,"pip-installable CLI: login / logout / token-refresh subcommands; JWT storage; credential helper; 14 total subcommands",Solutions Engineer,40,1.3,52,$200,"=TEXT(52*200,""$#,##0"")",Cognito Post-Confirmation Lambda,CLI must support all 14 documented subcommands
Development,Agent Framework Implementation,"Strands Agents multi-agent graph: register all 5 agents in AgentCore Runtime; inter-agent messaging; solution state machine (Weeks 5-9)",Solutions Engineer,64,1.3,83,$200,"=TEXT(83*200,""$#,##0"")",CLI Development Authentication,Core of the agentic orchestration platform
