#WIDTH: 38,14,25,25,25,50,8,15,28,12,18,22,30,12
#ALIGN: left,left,left,left,left,left,center,center,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,aws-agentic-presales,aws-agentic-presales,aws-agentic-presales,Solution identifier used for resource naming and tagging across all environments,Yes,String,lowercase alphanumeric hyphens only max 50 chars,Public,Cloud CoE,,,2025-06-01
solution.region.primary,Project,us-west-2,us-west-2,us-west-2,Primary AWS deployment region; isolated from PREDICTif us-east-1 workloads per SOW,Yes,String,Valid AWS region code,Public,Cloud CoE,,Single region per SOW scope; multi-region deferred to Phase 2,2025-06-01
solution.environment,Project,production,dev,production,Deployment environment identifier used in resource naming pattern eofw-{env}-*,Yes,String,"production | dev | staging",Public,Cloud CoE,,DR mirrors production environment naming,2025-06-01
solution.version,Project,1.0.0,1.0.0,1.0.0,Current platform release version tracked in GitHub and used for CLI pip package versioning,Yes,String,Semantic versioning X.Y.Z,Public,Cloud CoE,,,2025-06-01
solution.account_id,Project,[aws-account-id],[aws-account-id],[aws-account-id],AWS account ID hosting the us-west-2 platform footprint,Yes,String,12-digit numeric,Confidential,Cloud CoE,,Dedicated account isolated from us-east-1 per SOW scope,2025-06-01
solution.cost_center,Project,AMATRA-PRESALES-2026,AMATRA-PRESALES-2026,AMATRA-PRESALES-2026,Cost center tag applied to all AWS resources for billing attribution per SOC 2 CC9.1,Yes,String,Non-empty string,Public,Cloud CoE,,Required tag enforced by Terraform and AWS Config rules,2025-06-01
solution.deadline,Project,2026-04-30,2026-04-30,2026-04-30,Hard go-live deadline (end of April 2026) for executive demonstration to Sarah Lin (CRO),Yes,String,ISO 8601 date YYYY-MM-DD,Public,Cloud CoE,,Critical path gate; drives 12-week delivery schedule,2025-06-01
application.name,Application,eoframework,eoframework,eoframework,Application identifier used in CloudWatch log groups and X-Ray service maps,Yes,String,lowercase alphanumeric hyphens only max 50 chars,Public,Development,solution.name,,2025-06-01
application.log_level,Application,info,debug,info,Logging verbosity for all 17 Lambda functions; debug enabled in dev for agent tracing,Yes,String,"debug | info | warn | error",Public,Operations,,,2025-06-01
application.port,Application,443,443,443,HTTPS port enforced on API Gateway HTTP API v2; HTTP requests rejected,Yes,Integer,443 only,Public,Development,networking.apigw_endpoint,,2025-06-01
application.timeout_seconds,Application,30,30,30,Synchronous API route Lambda timeout in seconds; async generation routes use separate config,Yes,Integer,1-900,Public,Development,compute.lambda.api_handler.timeout_seconds,,2025-06-01
application.cli_package_name,Application,eoframework-cli,eoframework-cli,eoframework-cli,Pip-installable Python package name for the 14-subcommand consultant-facing CLI,Yes,String,Valid Python package name,Public,Development,,,2025-06-01
application.cli_subcommand_count,Application,14,14,14,Total CLI subcommands including auth / generate / status / admin per SOW specification,Yes,Integer,14,Public,Development,application.cli_package_name,Must match SOW deliverable D11 exactly,2025-06-01
application.api_route_count,Application,11,11,11,Total HTTP API v2 Lambda routes per SOW specification,Yes,Integer,11,Public,Development,networking.apigw_endpoint,Must match SOW deliverable D4 exactly,2025-06-01
application.artifact_types_count,Application,12,12,12,Total EO Framework artifact types: 5 presales + 6 delivery + 1 Terraform automation bundle,Yes,Integer,12,Public,Development,,,2025-06-01
application.agent_count,Application,5,5,5,Total Strands agents registered in Bedrock AgentCore Runtime per SOW scope,Yes,Integer,5,Public,Development,bedrock.agentcore.runtime_region,,2025-06-01
application.max_retries_per_artifact,Application,3,3,3,Maximum automatic retries per artifact in the EO Validator validation loop,Yes,Integer,1-10,Public,Development,bedrock.validator_model_id,Graded delivery policy surfaces passing artifacts while retrying failures,2025-06-01
application.generation_timeout_minutes,Application,60,60,60,End-to-end 12-artifact solution bundle generation time limit; SLA target from SOW,Yes,Integer,1-480,Public,Operations,,,2025-06-01
compute.lambda.api_handler.memory_mb,Compute,256,256,256,Memory allocation for non-generation API route handler Lambda functions (10 functions),Yes,Integer,128-10240,Public,Development,solution.region.primary,,2025-06-01
compute.lambda.api_handler.timeout_seconds,Compute,30,30,30,Timeout for synchronous API route handlers; generation initiator uses separate config,Yes,Integer,1-900,Public,Development,,,2025-06-01
compute.lambda.generation_initiator.memory_mb,Compute,512,512,512,Memory for the Solution Generation Initiator Lambda that triggers the five-agent graph,Yes,Integer,128-10240,Public,Development,bedrock.agentcore.runtime_region,,2025-06-01
compute.lambda.generation_initiator.timeout_seconds,Compute,60,60,60,Timeout for the Solution Generation Initiator Lambda; returns 202 Accepted immediately,Yes,Integer,1-900,Public,Development,compute.lambda.generation_initiator.memory_mb,,2025-06-01
compute.lambda.agent_trigger.memory_mb,Compute,1024,1024,1024,Memory for the 5 agent orchestration trigger Lambdas running eof-tools container image,Yes,Integer,128-10240,Public,Development,compute.ecr.agent_image_uri,,2025-06-01
compute.lambda.agent_trigger.timeout_seconds,Compute,900,900,900,Maximum Lambda timeout applied to agent triggers to accommodate eof-tools conversion,Yes,Integer,1-900,Public,Development,compute.lambda.agent_trigger.memory_mb,Must be ≤ Bedrock AgentCore Runtime invocation timeout,2025-06-01
compute.lambda.cognito_trigger.memory_mb,Compute,256,256,256,Memory for the Cognito post-confirmation trigger Lambda that writes DynamoDB user profiles,Yes,Integer,128-10240,Public,Development,security.cognito.user_pool_id,,2025-06-01
compute.lambda.cognito_trigger.timeout_seconds,Compute,10,10,10,Timeout for the Cognito post-confirmation trigger; must complete before Cognito times out,Yes,Integer,1-900,Public,Development,compute.lambda.cognito_trigger.memory_mb,,2025-06-01
compute.lambda.github_push.memory_mb,Compute,256,256,256,Memory for the GitHub push Lambda that commits artifacts to the configured repository,Yes,Integer,128-10240,Public,Development,integration.github.secret_arn,,2025-06-01
compute.lambda.github_push.timeout_seconds,Compute,60,60,60,Timeout for GitHub push Lambda; accounts for Secrets Manager retrieval and GitHub API call,Yes,Integer,1-900,Public,Development,compute.lambda.github_push.memory_mb,,2025-06-01
compute.lambda.runtime,Compute,python3.12,python3.12,python3.12,Python runtime version for all 17 Lambda functions,Yes,String,Valid AWS Lambda runtime identifier,Public,Development,,,2025-06-01
compute.lambda.architecture,Compute,arm64,arm64,arm64,Lambda function CPU architecture; arm64 provides better price-performance for Python workloads,Yes,String,"x86_64 | arm64",Public,Development,,,2025-06-01
compute.lambda.total_function_count,Compute,17,17,17,Total Lambda functions: 11 API routes + 5 agent triggers + 1 Cognito post-confirmation,Yes,Integer,17,Public,Development,,,2025-06-01
compute.lambda.provisioned_concurrency_agent_triggers,Compute,0,0,0,Provisioned concurrency for agent triggers; set to 0 at launch; evaluate after Phase 3 load test,Yes,Integer,0-100,Public,Development,compute.lambda.agent_trigger.memory_mb,Increase if P99 cold-start timeout observed in Phase 3 load test per risk register,2025-06-01
compute.ecr.repository_name,Compute,eofw-prd-ecr-agent-image,eofw-dev-ecr-agent-image,eofw-prd-ecr-agent-image,ECR repository name for the eof-tools agent container image,Yes,String,Valid ECR repo name,Confidential,DevOps,solution.region.primary,,2025-06-01
compute.ecr.agent_image_uri,Compute,[ecr-agent-image-uri],[ecr-agent-image-uri],[ecr-agent-image-uri],Full ECR URI including tag for the eof-tools Docker image baked with ~30 Python converter modules,Yes,String,"Valid ECR URI format: {account}.dkr.ecr.{region}.amazonaws.com/{repo}:{tag}",Confidential,DevOps,compute.ecr.repository_name,Image tag must be immutable; updated each sprint via CI/CD pipeline,2025-06-01
compute.lambda.xray_tracing,Compute,Active,Active,Active,AWS X-Ray tracing mode for all 17 Lambda functions; enables distributed service maps,Yes,String,"Active | PassThrough",Public,Operations,,,2025-06-01
bedrock.primary_model_id,Bedrock,anthropic.claude-sonnet-4-5,anthropic.claude-sonnet-4-5,anthropic.claude-sonnet-4-5,Claude Sonnet 4.6 model ID used by Pre-Sales / Delivery / Code Generator agents for artifact generation,Yes,String,Valid Bedrock model ID,Confidential,Development,bedrock.agentcore.runtime_region,Primary generation model; targets < $5 per solution at 200 solutions/month,2025-06-01
bedrock.validator_model_id,Bedrock,anthropic.claude-haiku-4-5,anthropic.claude-haiku-4-5,anthropic.claude-haiku-4-5,Claude Haiku 4.5 model ID used by EO Validator agent for cost-efficient quality scoring,Yes,String,Valid Bedrock model ID,Confidential,Development,bedrock.agentcore.runtime_region,Haiku chosen to reduce validation cost vs Sonnet per infrastructure cost model,2025-06-01
bedrock.agentcore.runtime_region,Bedrock,us-west-2,us-west-2,us-west-2,AWS region where Bedrock AgentCore Runtime hosts the five Strands agents,Yes,String,Valid AWS region code,Public,Development,solution.region.primary,Must be GA in us-west-2 before Phase 2 start per SOW assumption A8; validate in Week 1 spike,2025-06-01
bedrock.input_tokens_monthly_sonnet,Bedrock,3000000,500000,3000000,Target Bedrock Sonnet 4.6 input token volume per month at PoC steady state (~50 solutions/month),Yes,Integer,1-1000000000,Public,Operations,bedrock.primary_model_id,Sourced from SOW Scope Parameters; quota pre-approval via AWS Solutions Architect required,2025-06-01
bedrock.output_tokens_monthly_sonnet,Bedrock,1000000,100000,1000000,Target Bedrock Sonnet 4.6 output token volume per month at PoC steady state,Yes,Integer,1-1000000000,Public,Operations,bedrock.primary_model_id,Monitor in CloudWatch; alert if trending above cost model projection,2025-06-01
bedrock.cost_per_solution_target_usd,Bedrock,5.00,5.00,5.00,Maximum acceptable Bedrock model spend per 12-artifact solution bundle per SOW success metric,Yes,Number,0.01-100.00,Public,Operations,bedrock.primary_model_id,Validated in Phase 3 load test at 200 solutions/month,2025-06-01
database.users_table_name,Database,eofw-prd-tbl-users,eofw-dev-tbl-users,eofw-prd-tbl-users,DynamoDB table storing Cognito user profiles written by post-confirmation trigger Lambda,Yes,String,Alphanumeric hyphens max 255 chars,Confidential,Database Team,solution.region.primary,,2025-06-01
database.solutions_table_name,Database,eofw-prd-tbl-solutions,eofw-dev-tbl-solutions,eofw-prd-tbl-solutions,DynamoDB table storing solution state / artifact statuses / per-phase token usage (PK: solution_id),Yes,String,Alphanumeric hyphens max 255 chars,Confidential,Database Team,solution.region.primary,,2025-06-01
database.quotas_table_name,Database,eofw-prd-tbl-quotas,eofw-dev-tbl-quotas,eofw-prd-tbl-quotas,DynamoDB table for per-user and global atomic quota counters (PK: user_id or GLOBAL),Yes,String,Alphanumeric hyphens max 255 chars,Confidential,Database Team,solution.region.primary,Atomic conditional writes prevent quota bypass; validated in Phase 3 security testing,2025-06-01
database.audit_events_table_name,Database,eofw-prd-tbl-audit-events,eofw-dev-tbl-audit-events,eofw-prd-tbl-audit-events,DynamoDB immutable audit log table capturing all API calls per SOC 2 CC7 requirements,Yes,String,Alphanumeric hyphens max 255 chars,Confidential,Database Team,solution.region.primary,,2025-06-01
database.billing_mode,Database,PAY_PER_REQUEST,PAY_PER_REQUEST,PAY_PER_REQUEST,DynamoDB billing mode for all four tables; On-Demand auto-scales to any throughput,Yes,String,"PROVISIONED | PAY_PER_REQUEST",Public,Database Team,,Review reserved capacity at scale post-PoC per cost model,2025-06-01
database.pitr_enabled,Database,true,false,true,Enable DynamoDB Point-In-Time Recovery on all four tables; required for 4-hour RTO target,Yes,Boolean,true | false,Public,Database Team,,PITR restore test executed in Phase 3 to validate RTO; 35-day recovery window,2025-06-01
database.audit_events_ttl_days,Database,90,30,90,TTL-based retention for audit_events records; expires items automatically without manual deletion,Yes,Integer,1-3653,Public,Database Team,database.audit_events_table_name,SOC 2 CC7.2 evidence; set shorter in dev to control costs,2025-06-01
database.quota_per_user_monthly,Database,10,10,10,Maximum solutions per Amatra consultant per calendar month per SOW scope parameter,Yes,Integer,1-1000,Public,Operations,database.quotas_table_name,Enforced via atomic DynamoDB conditional write; admin override available via API,2025-06-01
database.quota_global_monthly,Database,1000,100,1000,Maximum total solutions across all users per calendar month per SOW scope parameter,Yes,Integer,1-100000,Public,Operations,database.quotas_table_name,CloudWatch alarm fires at 90% of this threshold (900 solutions),2025-06-01
database.inactive_user_suspension_days,Database,90,90,90,Days of API inactivity before the scheduled Lambda suspends the Cognito account per SOC 2 CC6.2,Yes,Integer,1-365,Public,Security Team,database.users_table_name,Quarterly access reviews conducted by Daniel Park,2025-06-01
security.cognito.user_pool_name,Security,eofw-prd-userpool,eofw-dev-userpool,eofw-prd-userpool,Amazon Cognito User Pool name providing JWT authentication for all 11 API routes and CLI,Yes,String,Non-empty string max 128 chars,Confidential,Security Team,solution.region.primary,,2025-06-01
security.cognito.user_pool_id,Security,[cognito-user-pool-id],[cognito-user-pool-id],[cognito-user-pool-id],Cognito User Pool ID; referenced by API Gateway JWT authoriser and Lambda route handlers,Yes,String,"Format: {region}_{poolId}",Secret,Security Team,security.cognito.user_pool_name,Store in Secrets Manager; CTO sign-off required before provisioning in production,2025-06-01
security.cognito.app_client_id,Security,[cognito-app-client-id],[cognito-app-client-id],[cognito-app-client-id],Cognito User Pool App Client ID used by the CLI for PKCE-based authorization code flow,Yes,String,Alphanumeric,Secret,Security Team,security.cognito.user_pool_id,Store in Secrets Manager; never bake into CLI package or container image,2025-06-01
security.cognito.access_token_expiry_seconds,Security,3600,3600,3600,JWT access token expiry in seconds (1 hour); CLI auto-refreshes using stored refresh token,Yes,Integer,300-86400,Public,Security Team,security.cognito.user_pool_id,SOC 2 CC6.1 control; short expiry limits blast radius of compromised token,2025-06-01
security.cognito.refresh_token_expiry_days,Security,30,30,30,Cognito refresh token validity in days per SOW Security & Compliance specification,Yes,Integer,1-3650,Public,Security Team,security.cognito.user_pool_id,30-day refresh token per SOW; CLI stores in ~/.eoframework/credentials,2025-06-01
security.cognito.mfa_enabled,Security,true,false,true,Require MFA for Admin role in production; standard Cognito MFA setting,Yes,Boolean,true | false,Public,Security Team,security.cognito.user_pool_id,SOC 2 CC6.1 control; Admin role requires MFA; Consultant role exempt at PoC,2025-06-01
security.cognito.cto_signoff_required,Security,true,false,true,CTO approval gate required before provisioning production Cognito User Pool per SOW,Yes,Boolean,true | false,Public,Security Team,security.cognito.user_pool_id,Critical path for Phase 1 milestone M3; must not slip beyond Week 3,2025-06-01
security.kms.s3_cmk_arn,Security,[kms-s3-cmk-arn],[kms-s3-cmk-arn],[kms-s3-cmk-arn],Customer-managed KMS key ARN for S3 artifact bucket SSE-KMS encryption at rest,Yes,String,Valid KMS key ARN,Secret,Security Team,storage.s3.artifact_bucket_name,Stored in Secrets Manager; 90-day key rotation policy; key usage logged in CloudTrail,2025-06-01
security.kms.rotation_days,Security,90,90,90,KMS key rotation period in days applied to S3 CMK and Secrets Manager encryption keys,Yes,Integer,1-365,Public,Security Team,security.kms.s3_cmk_arn,,2025-06-01
security.iam.access_analyzer_enabled,Security,true,true,true,Enable IAM Access Analyzer to continuously validate no overly permissive Lambda execution roles exist,Yes,Boolean,true | false,Public,Security Team,,Required by SOW security design; no wildcard IAM actions permitted,2025-06-01
security.guardduty_enabled,Security,true,true,true,Enable AWS GuardDuty for threat detection in us-west-2 account; findings routed to Security Hub,Yes,Boolean,true | false,Public,Security Team,security.securityhub_enabled,,2025-06-01
security.securityhub_enabled,Security,true,true,true,Enable AWS Security Hub aggregating GuardDuty / Config / Inspector findings for SOC 2 posture,Yes,Boolean,true | false,Public,Security Team,security.guardduty_enabled,SOC 2 CC7.2 control; reviewed by Daniel Park quarterly,2025-06-01
security.cloudtrail.management_events,Security,true,true,true,Enable CloudTrail Management Events logging all AWS API calls in us-west-2 account,Yes,Boolean,true | false,Public,Security Team,,SOC 2 CC8.1 control; logs stored in dedicated S3 bucket with Object Lock (WORM),2025-06-01
security.cloudtrail.s3_data_events,Security,true,false,true,Enable CloudTrail S3 Data Events on artifact bucket for GetObject/PutObject audit trail,Yes,Boolean,true | false,Public,Security Team,storage.s3.artifact_bucket_name,SOC 2 CC6.1 evidence; disabled in dev to reduce CloudTrail cost,2025-06-01
security.cloudtrail.retention_days,Security,365,90,365,CloudTrail log retention in days in dedicated S3 bucket with Object Lock,Yes,Integer,90-3650,Public,Security Team,,365 days required for SOC 2 evidence window,2025-06-01
security.tls_minimum_version,Security,TLS1.2,TLS1.2,TLS1.2,Minimum TLS version enforced on API Gateway / Cognito / DynamoDB / S3 SDK endpoints,Yes,String,"TLS1.2 | TLS1.3",Public,Security Team,,No HTTP endpoints; all requests rejected without TLS per SOW security design,2025-06-01
integration.github.repository_url,Integration,[github-repo-url],[github-repo-url],[github-repo-url],GitHub repository URL for automated PAT-based artifact commit pipeline per SOW deliverable D13,Yes,String,Valid HTTPS GitHub URL,Confidential,Integration Team,integration.github.secret_arn,Provisioned by Marcus Patel before Week 5 per SOW dependency table,2025-06-01
integration.github.secret_arn,Integration,[secrets-manager-arn-github-pat],[secrets-manager-arn-github-pat],[secrets-manager-arn-github-pat],Secrets Manager ARN storing the GitHub PAT with repo-write scope,Yes,String,Valid Secrets Manager ARN,Secret,Security Team,integration.github.repository_url,90-day automatic rotation; PAT retrieved at runtime; never logged or baked into image,2025-06-01
integration.github.pat_rotation_days,Integration,90,90,90,GitHub PAT rotation period in days matching Secrets Manager automatic rotation schedule,Yes,Integer,1-365,Public,Security Team,integration.github.secret_arn,PAT expiry alarm configured in CloudWatch; DLQ for failed commits,2025-06-01
integration.github.push_retry_count,Integration,3,3,3,Maximum GitHub API push retry attempts before writing to SQS DLQ for failed commits,Yes,Integer,1-10,Public,Integration Team,integration.github.secret_arn,CloudWatch alarm fires on DLQ depth > 0; SNS notification to Daniel Park,2025-06-01
integration.github.commit_message_format,Integration,"{solution_id}/{artifact_type}: generated by EO Validator — {status}","{solution_id}/{artifact_type}: generated by EO Validator — {status}","{solution_id}/{artifact_type}: generated by EO Validator — {status}",Structured commit message format creating immutable delivery audit trail in GitHub history,Yes,String,Must include solution_id and artifact_type tokens,Public,Integration Team,integration.github.repository_url,,2025-06-01
integration.github.dlq_name,Integration,eofw-prd-sqs-github-dlq,eofw-dev-sqs-github-dlq,eofw-prd-sqs-github-dlq,SQS FIFO DLQ name for failed GitHub push messages after retry exhaustion,Yes,String,Valid SQS queue name ending in .fifo,Confidential,Integration Team,integration.github.push_retry_count,,2025-06-01
storage.s3.artifact_bucket_name,Storage,[s3-artifact-bucket-name],[s3-artifact-bucket-name],[s3-artifact-bucket-name],S3 bucket for all generated artifacts: raw MD/CSV + converted DOCX/PPTX/XLSX + Terraform bundles,Yes,String,Globally unique bucket name lowercase alphanumeric hyphens,Confidential,Operations,solution.region.primary,Versioning enabled; SSE-KMS encryption; public access block enabled,2025-06-01
storage.s3.artifact_bucket_versioning,Storage,Enabled,Enabled,Enabled,S3 versioning on artifact bucket; retains previous object versions for 90 days,Yes,String,"Enabled | Suspended",Public,Operations,storage.s3.artifact_bucket_name,S3 versioning covers artifact history for RPO of 1 hour,2025-06-01
storage.s3.artifact_standard_retention_days,Storage,365,90,365,S3 Standard storage retention in days before lifecycle transition to S3 Glacier,Yes,Integer,1-3650,Public,Operations,storage.s3.artifact_bucket_name,Managed via S3 Lifecycle rules; transition to Glacier after 12 months in production,2025-06-01
storage.s3.artifact_glacier_retention_days,Storage,730,0,730,S3 Glacier retention in days before expiry after transition from Standard storage,Yes,Integer,0-3650,Public,Operations,storage.s3.artifact_standard_retention_days,730 days = 24 months Glacier per SOW Data Architecture section,2025-06-01
storage.s3.artifact_path_raw_presales,Storage,{solution_id}/raw/pre-sales/,{solution_id}/raw/pre-sales/,{solution_id}/raw/pre-sales/,S3 key prefix for raw MD/CSV presales artifacts per structured path hierarchy,Yes,String,Must include {solution_id} token,Public,Development,storage.s3.artifact_bucket_name,,2025-06-01
storage.s3.artifact_path_raw_delivery,Storage,{solution_id}/raw/delivery/,{solution_id}/raw/delivery/,{solution_id}/raw/delivery/,S3 key prefix for raw MD delivery artifacts per structured path hierarchy,Yes,String,Must include {solution_id} token,Public,Development,storage.s3.artifact_bucket_name,,2025-06-01
storage.s3.artifact_path_automation,Storage,{solution_id}/automation/,{solution_id}/automation/,{solution_id}/automation/,S3 key prefix for the Terraform IaC automation bundle (12th artifact type),Yes,String,Must include {solution_id} token,Public,Development,storage.s3.artifact_bucket_name,,2025-06-01
storage.s3.cloudtrail_bucket_name,Storage,[s3-cloudtrail-bucket-name],[s3-cloudtrail-bucket-name],[s3-cloudtrail-bucket-name],Dedicated S3 bucket for CloudTrail logs; Object Lock (WORM) enabled to prevent tampering,Yes,String,Globally unique bucket name lowercase alphanumeric hyphens,Confidential,Security Team,security.cloudtrail.management_events,Separate from artifact bucket; Object Lock enforces immutability per SOC 2 CC8.1,2025-06-01
storage.s3.guidance_bucket_name,Storage,[s3-guidance-bucket-name],[s3-guidance-bucket-name],[s3-guidance-bucket-name],S3 bucket hosting EO Framework guidance files used by generation agents for artifact prompting,Yes,String,Globally unique bucket name lowercase alphanumeric hyphens,Confidential,Operations,solution.region.primary,Vendor team requires read access from Week 1 per SOW assumption A13,2025-06-01
networking.vpc_cidr,Networking,10.0.0.0/16,10.0.0.0/16,10.0.0.0/16,VPC CIDR block for the us-west-2 platform footprint; isolated from us-east-1,Yes,String,Valid CIDR /16 or smaller,Confidential,Network Team,solution.region.primary,,2025-06-01
networking.subnet_public_az1_cidr,Networking,10.0.1.0/24,10.0.1.0/24,10.0.1.0/24,Public subnet AZ1 (us-west-2a) for NAT Gateway only; no Lambda compute in public subnets,Yes,String,Valid CIDR within VPC CIDR,Confidential,Network Team,networking.vpc_cidr,,2025-06-01
networking.subnet_public_az2_cidr,Networking,10.0.2.0/24,10.0.2.0/24,10.0.2.0/24,Public subnet AZ2 (us-west-2b) for NAT Gateway only,Yes,String,Valid CIDR within VPC CIDR,Confidential,Network Team,networking.vpc_cidr,,2025-06-01
networking.subnet_private_az1_cidr,Networking,10.0.10.0/24,10.0.10.0/24,10.0.10.0/24,Private subnet AZ1 (us-west-2a) hosting all Lambda functions and agent orchestration,Yes,String,Valid CIDR within VPC CIDR,Confidential,Network Team,networking.vpc_cidr,,2025-06-01
networking.subnet_private_az2_cidr,Networking,10.0.11.0/24,10.0.11.0/24,10.0.11.0/24,Private subnet AZ2 (us-west-2b) hosting all Lambda functions and agent orchestration,Yes,String,Valid CIDR within VPC CIDR,Confidential,Network Team,networking.vpc_cidr,,2025-06-01
networking.subnet_db_az1_cidr,Networking,10.0.20.0/24,10.0.20.0/24,10.0.20.0/24,Database subnet AZ1 reserved for future RDS/ElastiCache; DynamoDB accessed via VPC Endpoint,Yes,String,Valid CIDR within VPC CIDR,Confidential,Network Team,networking.vpc_cidr,,2025-06-01
networking.subnet_db_az2_cidr,Networking,10.0.21.0/24,10.0.21.0/24,10.0.21.0/24,Database subnet AZ2 reserved for future RDS/ElastiCache,Yes,String,Valid CIDR within VPC CIDR,Confidential,Network Team,networking.vpc_cidr,,2025-06-01
networking.nat_gateway_count,Networking,1,1,1,NAT Gateways deployed in public subnets for Lambda outbound internet access,Yes,Integer,1-3,Public,Network Team,networking.vpc_cidr,Single NAT in AZ1 for PoC; second AZ2 NAT recommended in Phase 2 for AZ resilience,2025-06-01
networking.vpc_endpoint_s3,Networking,true,true,true,Enable S3 Gateway VPC Endpoint to route Lambda-to-S3 traffic without public internet,Yes,Boolean,true | false,Public,Network Team,networking.vpc_cidr,Required to keep artifact reads/writes off public internet,2025-06-01
networking.vpc_endpoint_dynamodb,Networking,true,true,true,Enable DynamoDB Gateway VPC Endpoint to route Lambda-to-DynamoDB quota operations privately,Yes,Boolean,true | false,Public,Network Team,networking.vpc_cidr,Required for quota enforcement latency target < 50ms P99,2025-06-01
networking.vpc_endpoint_secrets_manager,Networking,true,true,true,Enable Secrets Manager Interface VPC Endpoint for PAT retrieval without public internet traversal,Yes,Boolean,true | false,Public,Network Team,networking.vpc_cidr,Required for secure runtime PAT retrieval by GitHub push Lambda,2025-06-01
networking.vpc_endpoint_bedrock_runtime,Networking,true,true,true,Enable Bedrock Runtime Interface VPC Endpoint to route agent invocations privately,Yes,Boolean,true | false,Public,Network Team,networking.vpc_cidr,Reduces latency and eliminates public internet exposure of model invocations,2025-06-01
networking.apigw_endpoint,Networking,https://[apigw-id].execute-api.us-west-2.amazonaws.com,https://[apigw-id].execute-api.us-west-2.amazonaws.com,https://[apigw-id].execute-api.us-west-2.amazonaws.com,API Gateway HTTP API v2 regional endpoint base URL,Yes,String,Valid HTTPS URL,Confidential,Network Team,solution.region.primary,HTTPS-only; HTTP rejected; 11 Lambda routes mounted under /api/v1/,2025-06-01
networking.apigw_throttle_rps_burst,Networking,1000,100,1000,API Gateway burst throttle limit in requests per second,Yes,Integer,1-10000,Public,Network Team,networking.apigw_endpoint,Per-user quota enforced in DynamoDB in addition to API Gateway throttle,2025-06-01
monitoring.cloudwatch_dashboard_name,Monitoring,eofw-prd-health,eofw-dev-health,eofw-prd-health,CloudWatch dashboard name for real-time Lambda / DynamoDB / Bedrock operational visibility,Yes,String,Non-empty string max 255 chars,Public,Operations,solution.region.primary,,2025-06-01
monitoring.log_retention_lambda_days,Monitoring,90,30,90,CloudWatch Log Group retention in days for the 17 Lambda function log groups,Yes,Integer,1-3653,Public,Operations,,Production uses 90 days per SOW data architecture; shorter in dev to control cost,2025-06-01
monitoring.log_retention_cloudtrail_days,Monitoring,365,90,365,CloudWatch Logs retention for CloudTrail delivery to CloudWatch Logs group,Yes,Integer,1-3653,Public,Security Team,security.cloudtrail.management_events,365 days required for SOC 2 evidence window,2025-06-01
monitoring.xray_sampling_rate,Monitoring,0.05,1.0,0.05,X-Ray trace sampling rate; 5% in production / 100% in dev for full distributed tracing,Yes,Number,0.0-1.0,Public,Operations,compute.lambda.xray_tracing,Configurable post-launch; increase to 0.10 during Phase 3 load test investigation,2025-06-01
