Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Business Drivers,"What are the primary business challenges driving the Intelligent Solution Builder initiative?","Describe the top 3–5 pain points (e.g. manual effort, inconsistent quality, low throughput)","","Core drivers shape solution scope and prioritisation"
BUS-002,Business Requirements,Business Drivers,"How many active pre-sales engagements does Amatra currently manage per quarter?","Baseline metric to measure throughput improvement; current target is ~8 per quarter","","Throughput baseline for success measurement"
BUS-003,Business Requirements,Success Criteria,"What are the measurable success criteria for this platform?","e.g. turnaround time ≤2 days, ≥24 engagements/quarter, 40% hour reduction, 99.9% uptime, ≥90% first-review QA pass rate","","Drives acceptance testing and KPI dashboards"
BUS-004,Business Requirements,Success Criteria,"How will first-review QA pass rate be measured and by whom?","Define review process, reviewer roles, and scoring methodology","","Needed to instrument quality feedback loop"
BUS-005,Business Requirements,Stakeholders,"Who are the primary day-to-day users of the platform and what are their technical skill levels?","Pre-sales consultants, delivery consultants, sales team — include headcount and AWS familiarity","","Drives UX complexity and training scope"
BUS-006,Business Requirements,Stakeholders,"Who has authority to approve go/no-go for each build phase?","Name roles and approval thresholds for budget and scope changes","","Governance and escalation path"
BUS-007,Business Requirements,Timeline,"Is the Phase 1 MVP deadline of 2026-09-30 fixed or flex?","Identify hard vs. aspirational deadlines and any linked business events","","Hard deadline tied to flagship client renewal in Jan 2027"
BUS-008,Business Requirements,Timeline,"What is the criticality of the 2027-01-31 client renewal deadline?","Describe the revenue or contractual risk if the platform is not live before that date","","Single biggest external forcing function for the programme"
BUS-009,Business Requirements,Budget,"Is the $300K–$450K build budget inclusive of AWS infrastructure, licensing, and professional services?","Clarify CapEx vs. OpEx split and any ring-fenced contingency reserve","","Right-sizes scope and determines feasibility of phased delivery"
BUS-010,Business Requirements,Budget,"What approval process governs budget changes above a defined threshold?","Identify threshold amount, approvers, and lead time required","","Risk management and change control process"
BUS-011,Business Requirements,ROI & Value,"What consulting hours per engagement are currently spent on artifact creation?","Estimate hours by role (solutions architect, consultant, reviewer) to quantify the 40% reduction target","","Baseline for ROI calculation and cost justification"
TECH-001,Technical Requirements,Current Infrastructure,"What is the current state of the legacy internal monolith running on the single EC2 instance?","Include OS, runtime, application stack, data it holds, and planned retirement date","","Migration risk and retirement sequencing"
TECH-002,Technical Requirements,Current Infrastructure,"Which artifact types and templates currently exist in Google Workspace?","List all document types (discovery questionnaire, SOW, solution briefing, design doc, Terraform, etc.) and their formats","","Scope of template migration into the new pipeline"
TECH-003,Technical Requirements,Cloud Platform,"Is us-west-2 the only required AWS region, or are multi-region or DR regions needed?","Confirm primary region and any secondary/DR region requirements","","Architectural scope and data residency compliance"
TECH-004,Technical Requirements,AWS Footprint,"What existing AWS accounts and AWS Organizations structure does Amatra have today?","Number of accounts, OU structure, Control Tower usage, existing SCPs","","Landing zone and account strategy for new platform"
TECH-005,Technical Requirements,AWS Footprint,"Are there existing AWS programmes (MAP credits, EDP, APN) that apply to this project?","Identify any committed spend agreements or credit pools available","","Cost planning and procurement strategy"
TECH-006,Technical Requirements,Compute & Orchestration,"What is the expected maximum duration of a single artifact-generation job?","Confirm the 30–60 min range; identify p95 and worst-case durations","","Lambda timeout limits (15 min max) may require Step Functions or ECS"
TECH-007,Technical Requirements,Compute & Orchestration,"Should long-running generation jobs use AWS Step Functions, ECS/Fargate, or another pattern?","Evaluate against Lambda 15-minute limit; async polling vs. WebSocket push-back to client","","Architectural decision with cost and complexity implications"
TECH-008,Technical Requirements,AI & LLM,"Which Amazon Bedrock Claude model(s) are targeted (e.g. Claude 3.5 Sonnet, Claude 3 Haiku)?","Specify model IDs and whether on-demand or provisioned throughput is required","","Model selection drives cost, latency, and quality"
TECH-009,Technical Requirements,AI & LLM,"What is the expected number of Bedrock API calls (tokens in/out) per engagement?","Estimate input and output token volumes per artifact type and per engagement","","Primary cost driver; needed for pricing model"
TECH-010,Technical Requirements,AI & LLM,"Are there prompt templates or system prompts already defined, or will these be developed from scratch?","Include existing examples or style guides for generated artifacts","","Development scope and quality baseline"
TECH-011,Technical Requirements,Data & Storage,"What is the expected volume of client briefs and generated artifacts stored per month?","Estimate file count, average sizes, and total monthly S3 storage growth","","S3 storage tier selection and lifecycle policy design"
TECH-012,Technical Requirements,Data & Storage,"What is the retention policy for generated artifacts and client data?","e.g. 7 years for SOW, 90 days for drafts — include any regulatory drivers","","S3 lifecycle rules, DynamoDB TTL, and compliance obligations"
TECH-013,Technical Requirements,API & Integration,"What clients or systems will call the REST API (API Gateway)?","Internal web app, CLI, CRM integration (Salesforce?), or external partners","","API design, throttling, and auth scope"
TECH-014,Technical Requirements,Integration,"Does the platform need to integrate with Salesforce CRM or any proposal management tool?","Describe any opportunity-to-artifact workflow or data sync requirements","","Integration complexity and Phase 2 scope"
TECH-015,Technical Requirements,Performance,"What response-time SLA is required for synchronous API endpoints (e.g. brief submission)?","e.g. <2 s for submission acknowledgment; async poll/callback for generation completion","","API Gateway and Lambda cold-start tuning"
TECH-016,Technical Requirements,Performance,"What is the expected peak concurrent user count and peak concurrent generation jobs?","Provide average and peak (e.g. end-of-quarter proposal rush)","","Lambda concurrency limits and DynamoDB capacity planning"
TECH-017,Technical Requirements,Identity & Auth,"What is the Okta-to-Cognito migration plan — bulk import, phased cut-over, or parallel run?","Identify user population size, attribute mapping needs, and federation requirements","","Scopes identity migration effort and risk"
TECH-018,Technical Requirements,Identity & Auth,"Will Cognito federate with Okta via SAML/OIDC during a transition period?","Determine if Okta remains IdP with Cognito as SP, or full migration","","Identity architecture decision affecting security and UX"
TECH-019,Technical Requirements,Usage Controls,"How are per-user and global monthly usage limits defined and enforced?","Describe limit types (API calls, tokens, jobs), reset cadence, and admin override process","","DynamoDB usage tracking schema and Lambda enforcement logic"
TECH-020,Technical Requirements,Terraform & DevOps,"What IaC tooling is currently used and what is the target Terraform version?","Include any existing CI/CD pipelines (CodePipeline, GitHub Actions, GitLab) and state backend preferences","","Phase 2 Terraform automation scope and toolchain alignment"
SEC-001,Security & Compliance,Compliance Frameworks,"Has Amatra's SOC 2 Type II scope been defined — does the new platform fall within scope?","Confirm whether the Intelligent Solution Builder is in-scope for the existing or new SOC 2 audit","","Security controls, audit logging, and penetration testing requirements"
SEC-002,Security & Compliance,Compliance Frameworks,"What GDPR obligations apply to client data stored in this platform?","Identify data subjects, processing purposes, and any EU/UK data subject data that may be in client briefs","","Data handling policies, DPA agreements, and right-to-erasure workflows"
SEC-003,Security & Compliance,Data Classification,"How should generated artifacts and client brief content be classified?","e.g. Confidential, Restricted — include classification schema in use","","Encryption tier selection and access control granularity"
SEC-004,Security & Compliance,Data Residency,"Is United States data residency sufficient, or are specific AWS regions required per client contract?","Confirm us-west-2 meets all contractual and regulatory obligations","","Region lock-in and any future multi-region requirements"
SEC-005,Security & Compliance,Authentication,"What MFA policy is required for platform users?","e.g. TOTP, hardware key, Cognito built-in MFA — include admin vs. standard user differentiation","","Cognito MFA configuration and user pool policy"
SEC-006,Security & Compliance,Encryption,"What encryption requirements apply to data at rest in S3 and DynamoDB?","SSE-S3, SSE-KMS (AWS-managed vs. CMK), and key rotation cadence","","KMS CMK management adds operational overhead and cost"
SEC-007,Security & Compliance,Encryption,"What TLS version and cipher requirements apply to API Gateway and all service endpoints?","Minimum TLS version (1.2 or 1.3) and any approved cipher suites","","API Gateway security policy configuration"
SEC-008,Security & Compliance,Access Control,"What IAM strategy governs Lambda execution roles and cross-service permissions?","Least-privilege roles per function, permission boundaries, or AWS Organizations SCPs","","Security posture and blast-radius containment"
SEC-009,Security & Compliance,Audit Logging,"What audit logging requirements must be met (CloudTrail, CloudWatch Logs, S3 access logs)?","Log retention periods, immutability (WORM), SIEM integration requirements","","Compliance evidence for SOC 2 and incident response"
SEC-010,Security & Compliance,Vulnerability Management,"What is the patch and vulnerability management cadence for Lambda runtimes and container images?","e.g. monthly patching SLA, Inspector integration, dependency scanning in CI/CD","","Ongoing security hygiene obligations"
SEC-011,Security & Compliance,Network Security,"Are there network-level controls required — VPC deployment, PrivateLink, WAF on API Gateway?","Describe egress/ingress policies, IP allowlisting, and DDoS mitigation needs","","Architecture decision; VPC adds cost and complexity for serverless"
OPS-001,Operations & Support,RTO,"What is the Recovery Time Objective (RTO) for the platform?","Maximum acceptable downtime — e.g. <1 hour, <4 hours, <24 hours","","Determines multi-AZ vs. multi-region active-active architecture"
OPS-002,Operations & Support,RPO,"What is the Recovery Point Objective (RPO) for artifact and usage data?","Maximum acceptable data loss — e.g. zero, <15 minutes, <1 hour","","DynamoDB backup strategy: point-in-time recovery vs. on-demand snapshots"
OPS-003,Operations & Support,Monitoring,"What monitoring and alerting platform is in use today (CloudWatch, Datadog, PagerDuty, etc.)?","Identify existing tooling and any contractual commitments to avoid duplication","","Integration scope for operational dashboards and on-call alerting"
OPS-004,Operations & Support,Monitoring,"What metrics and alarms are critical for the platform (error rates, LLM latency, cost anomalies)?","List top 5–10 KPIs for the operations team","","CloudWatch dashboard and alarm design"
OPS-005,Operations & Support,Support Coverage,"What support model is required — business-hours (8x5), extended (24x5), or 24x7?","Identify SLA tiers for P1/P2/P3 incidents","","Support staffing, on-call rotation, and AWS Support plan tier"
OPS-006,Operations & Support,Capacity Planning,"How should the platform scale to handle a 3× increase in concurrent engagements?","Confirm Lambda reserved concurrency targets and DynamoDB auto-scaling thresholds","","Capacity headroom and cost scaling model"
OPS-007,Operations & Support,Cost Management,"What AWS cost governance controls are required (budgets, alerts, tagging policy)?","Describe tag taxonomy, budget alert thresholds, and cost centre allocation","","FinOps hygiene and showback/chargeback requirements"
OPS-008,Operations & Support,Maintenance,"What maintenance windows are available for deployments and patching?","Days/times when brief service interruptions are acceptable","","CI/CD pipeline scheduling and blue/green deployment design"
OPS-009,Operations & Support,Training,"What operational run-book and training documentation is required for the platform team?","Identify audience (internal DevOps, external MSP) and format requirements","","Knowledge transfer scope and go-live readiness criteria"
IMPL-001,Implementation Planning,Migration Approach,"Is this a greenfield build or does any legacy EC2 monolith functionality need to be migrated?","Confirm scope of monolith retirement and any data migration required before platform launch","","Sequencing of legacy retirement vs. new platform go-live"
IMPL-002,Implementation Planning,Migration Approach,"How will existing Word/Excel/PowerPoint artifact templates be ingested into the automated pipeline?","Describe template count, format, and any required fidelity checks","","Template migration is on the critical path for Phase 1"
IMPL-003,Implementation Planning,Phasing,"What is the prioritised list of artifact types for Phase 1 MVP?","e.g. discovery questionnaire, solution briefing, SOW first; design doc and Terraform in Phase 2","","Scope boundary between Phase 1 and Phase 2"
IMPL-004,Implementation Planning,Phasing,"What functionality must be deferred to Phase 2 (2026-12-15) or GA (Q1 2027)?","Identify must-have vs. nice-to-have features for each phase boundary","","MVP scope control to meet the 2026-09-30 deadline"
IMPL-005,Implementation Planning,Resource Availability,"What internal engineering resources (FTEs) will Amatra dedicate to this project?","Roles, seniority levels, and % time commitment for the VP of Engineering's team","","Project plan feasibility and staffing gap analysis"
IMPL-006,Implementation Planning,Resource Availability,"Will Amatra use an external implementation partner, AWS ProServe, or build fully in-house?","Describe procurement approach and any preferred vendors already shortlisted","","Build vs. buy vs. partner decision and commercial structure"
IMPL-007,Implementation Planning,Testing & QA,"What is the QA and acceptance testing strategy for generated artifacts?","Describe who reviews outputs, acceptance criteria, and any automated quality scoring","","Drives the internal QA feedback loop (target ≥90% first-review pass rate)"
IMPL-008,Implementation Planning,Testing & QA,"What environments are required (dev, staging, prod) and how are they isolated?","Separate AWS accounts, VPCs, or environment-level isolation approach","","Environment strategy and CI/CD pipeline design"
IMPL-009,Implementation Planning,Change Management,"How will pre-sales consultants be onboarded and trained on the new platform?","Number of users, training format (live, self-serve), and change champions","","Adoption risk and training plan scope"
IMPL-010,Implementation Planning,Go-Live Readiness,"What go-live readiness criteria must be met before each phase launch?","e.g. security sign-off, UAT completion, runbook approval, on-call rotation in place","","Gate criteria for Phase 1, Phase 2, and GA launches"
RISK-001,Risk & Constraints,Project Risks,"What are the top 3 risks that could cause the Phase 1 deadline (2026-09-30) to slip?","Consider LLM quality, identity migration, template conversion, staffing, or vendor delays","","Risk register seed — mitigation strategies to be defined in SOW"
