Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Business Drivers,"What are the primary business challenges driving the Amatra agentic engine initiative?","Describe the top pain points with the current manual EO Framework process — e.g. time per engagement, error rates, consultant bottlenecks","","Core justification for the platform; aligns solution scope with measurable business value"
BUS-002,Business Requirements,Business Drivers,"How many pre-sales engagements does Amatra currently run per month, and what is the target throughput after automation?","Provide current monthly volume and desired steady-state (e.g. 200 solutions/month)","","Drives quota design, concurrency limits, and infrastructure sizing"
BUS-003,Business Requirements,Success Criteria,"What are the measurable success criteria for the proof-of-concept demonstration in Q2 2026?","Examples: end-to-end generation under 60 minutes, 90% reduction in senior consultant hours, zero human-in-the-loop for standard artifacts","","Defines done for Phase 3 and governs scope decisions"
BUS-004,Business Requirements,Success Criteria,"What does a successful executive sponsor demonstration look like for Sarah Lin in April 2026?","Identify the must-have capabilities vs. nice-to-have polish items for the demo","","Prevents scope creep and focuses delivery on demo-critical path"
BUS-005,Business Requirements,ROI & Business Metrics,"What is the current per-engagement senior consultant cost, and what is the target cost after automation?","Current estimate is 6-10 hours at senior rates; quantify the dollar saving per engagement","","Validates the business case and guides prioritisation of automation depth"
BUS-006,Business Requirements,Budget,"Please confirm the total budget envelope: ~$250k professional services and $100k-$200k first-year run cost. Are these figures approved?","Confirm CapEx vs. OpEx split and any budget approval thresholds requiring CTO or Procurement sign-off","","Scope and staffing decisions depend on confirmed budget; Procurement involvement if AWS spend exceeds existing envelope"
BUS-007,Business Requirements,Budget,"What is the per-solution model spend target, and how was the sub-$5 Bedrock token cost estimate derived?","Confirm assumptions: artifact count, token counts per agent, Claude Sonnet 4.6 vs. Haiku 4.5 split","","Cost model accuracy impacts pricing to end customers and platform viability"
BUS-008,Business Requirements,Stakeholders,"Who are the decision-makers for CTO sign-off on the Cognito user pool and production deployment?","Identify name, title, and approval timeline; confirm whether CTO is a blocker for Phase 1 or Phase 3","","Stakeholder alignment critical for Cognito provisioning and production go-live gate"
BUS-009,Business Requirements,Stakeholders,"Who from PREDICTif will be embedded in the delivery team, and what is their availability?","Identify internal SMEs (pre-sales engineering, DevOps, security) and time commitment (full-time, part-time)","","Resource planning for the 12-week engagement"
BUS-010,Business Requirements,Timeline,"Are the Phase 1 (weeks 1-4), Phase 2 (weeks 5-9), and Phase 3 (weeks 10-12) milestone dates fixed or can they flex?","Confirm hard vs. soft deadlines and any blackout periods (holidays, all-hands, existing commitments)","","Milestone rigidity drives staffing plan and risk buffer"
BUS-011,Business Requirements,Timeline,"Is the four-month PoC schedule tied to a contractual commitment with an end customer, or is it an internal delivery target?","Clarify consequences of a delay — missed customer demo, contract penalty, or internal re-prioritisation","","Determines contingency planning approach and scope-deferral authority"
TECH-001,Technical Requirements,Cloud Platform,"Confirm the target AWS region is us-west-2. Are there any disaster-recovery or data-residency requirements that would require a secondary region?","Note any cross-region replication needs for DynamoDB, S3, or Cognito","","Region selection impacts latency, service availability, and compliance"
TECH-002,Technical Requirements,Current Infrastructure,"Describe the existing AWS account structure. Will the platform be deployed into a new standalone account or an existing AWS Organisation?","Identify Organisation units, SCPs, and any guardrails that could restrict service usage (Bedrock, AgentCore, Lambda)","","Account and OU design affects IAM, networking, and billing isolation"
TECH-003,Technical Requirements,AWS Services & Quotas,"Have AWS service quota increases been requested for Bedrock AgentCore Runtime, Lambda concurrency, and API Gateway?","Check default concurrency limits; at 200 solutions/month with 5 agents each, burst capacity may exceed defaults","","Quota increases can take days; must be requested early in Phase 1"
TECH-004,Technical Requirements,Bedrock & AI Models,"Confirm that Claude Sonnet 4.6 (generation) and Claude Haiku 4.5 (validation) are available in us-west-2 and that model access has been enabled in the AWS account.","Bedrock model access requires explicit enablement per region; some models have waitlists","","Model availability is a hard dependency for Phase 2 agent development"
TECH-005,Technical Requirements,Bedrock & AI Models,"What is the expected token volume per solution (input + output) across all five agents?","Estimate tokens per artifact per agent; multiply by 12 artifacts and expected retry rate to size Bedrock quota","","Token volume drives cost modelling and quota requests"
TECH-006,Technical Requirements,Agent Architecture,"Confirm the five-agent topology: Input Validator, Pre-Sales Generator, Delivery Generator, Code Generator, EO Validator. Are these sequential or can any run in parallel?","Identify agent dependency graph — which agents can be parallelised to meet the sub-60-minute SLA","","Parallelisation design impacts AgentCore Runtime configuration and cost"
TECH-007,Technical Requirements,Agent Architecture,"How are agent-to-agent messages passed? Via S3, DynamoDB, or an in-memory Strands context object?","Clarify the state store design for intermediate artifacts and validation results","","State management affects durability, retry logic, and debugging capability"
TECH-008,Technical Requirements,API & CLI,"Provide the full list of 14 CLI subcommands and 11 Lambda routes. Which are in scope for the PoC vs. a future phase?","Confirm the minimum viable API surface for the April demo","","API surface scope directly drives Lambda development effort"
TECH-009,Technical Requirements,API & CLI,"What is the expected API request volume at steady state and at peak (e.g. end-of-quarter sales pushes)?","Estimate requests per day/hour and burst patterns","","Sizing API Gateway throttle limits and Lambda reserved concurrency"
TECH-010,Technical Requirements,Authentication,"Confirm the Cognito User Pool configuration: 30-day refresh tokens, post-confirmation trigger Lambda writing to DynamoDB. Are social identity providers (Google, Microsoft SSO) required?","Identify whether PREDICTif consultants will authenticate with corporate SSO (SAML/OIDC) or Cognito-native credentials","","SSO integration adds scope; must be confirmed before Cognito design is finalised"
TECH-011,Technical Requirements,Authentication,"How many Cognito Monthly Active Users (MAUs) are anticipated at launch and at 12-month scale?","Current team is ~120 consultants; will external partners or customers ever access the platform?","","MAU count affects Cognito pricing tier and is a first-year run cost input"
TECH-012,Technical Requirements,Data & Storage,"What is the expected S3 storage volume for raw and converted artifacts at steady state (200 solutions/month)?","Estimate: 12 artifacts × average artifact size × retention period","","S3 cost and lifecycle policy design"
TECH-013,Technical Requirements,Data & Storage,"What is the DynamoDB access pattern for user profiles, quotas, and solution metadata? Confirm on-demand vs. provisioned capacity preference.","At 200 solutions/month the write rate is low; confirm whether bursty sales activity could cause hot partitions","","DynamoDB capacity mode selection and cost model"
TECH-014,Technical Requirements,Containers & Docker,"Describe the eof-tools converter library: number of modules (~30), language versions, and any OS-level dependencies (e.g. LibreOffice, Pandoc).","Confirm the base Docker image, image size, and ECR repository strategy (single image vs. per-agent images)","","Container build pipeline design and ECR storage cost"
TECH-015,Technical Requirements,Containers & Docker,"What is the CI/CD pipeline for building and pushing the agent container image to ECR?","Identify tooling: GitHub Actions, AWS CodePipeline, or manual push; confirm image signing requirements","","Automation of container builds is a Phase 2 deliverable"
TECH-016,Technical Requirements,GitHub Integration,"Confirm the GitHub repository structure and the PAT (Personal Access Token) storage strategy. Will the PAT be stored in AWS Secrets Manager?","Identify whether the target repo is org-level or user-level and the branch/PR strategy for committed artifacts","","Security review required for PAT scope; Secrets Manager rotation policy needed"
TECH-017,Technical Requirements,Performance,"What is the end-to-end generation SLA per solution (target: under 60 minutes)? Are there sub-SLAs per phase or per agent?","Identify which agents are on the critical path and acceptable tail latency","","Performance budgeting across agents; impacts retry timeout configuration"
TECH-018,Technical Requirements,Quotas & Throttling,"Describe the per-user monthly quota (10 solutions) and global pool (1,000 solutions/month) enforcement mechanism. How are atomic DynamoDB increments implemented?","Confirm whether optimistic locking or conditional writes are used; identify quota reset cadence (calendar month vs. rolling 30 days)","","Quota logic is a core platform feature; must be bulletproof before production"
TECH-019,Technical Requirements,Terraform & IaC,"What Terraform version and provider versions are required? Is Terraform Cloud or AWS CodeBuild used for plan/apply?","Confirm `terraform validate` as the PoC gate; identify whether `terraform plan` and `apply` are in scope for Phase 3","","IaC scope and pipeline design for the automation bundle artifact"
TECH-020,Technical Requirements,Integration,"Are there any integrations beyond GitHub and AWS services (e.g. Jira for ticket creation, Slack for notifications, CRM for opportunity tracking)?","Identify any webhooks or event-driven integrations required for Phase 1 or Phase 3","","Additional integrations add scope; must be scoped explicitly"
SEC-001,Security & Compliance,Compliance Frameworks,"What compliance frameworks apply to the Amatra platform? (e.g. SOC 2 Type II, ISO 27001, CMMC, FedRAMP)","PREDICTif operates as an AWS partner serving enterprise customers; identify any inherited compliance obligations","","Compliance posture drives security control selection and audit logging requirements"
SEC-002,Security & Compliance,Data Classification,"What is the highest data classification of content processed by the platform?","Consider client briefings, solution artifacts, and any PII in user profiles; classify as Public / Internal / Confidential / Restricted","","Data classification determines encryption, access control, and retention requirements"
SEC-003,Security & Compliance,Authentication & IAM,"What IAM permission boundaries and Service Control Policies (SCPs) apply in the target AWS account?","Identify any deny-list SCPs that could block Bedrock, AgentCore, Cognito, or Lambda cross-account access","","SCP conflicts can block deployment; must be reviewed in Phase 1"
SEC-004,Security & Compliance,Authentication & IAM,"What is the IAM role strategy for agents? Will each agent (Input Validator, Pre-Sales Generator, etc.) have a dedicated least-privilege role?","Identify whether roles are per-agent or shared; confirm cross-service permissions (Bedrock, S3, DynamoDB, Secrets Manager)","","Least-privilege IAM design is a security best practice and audit requirement"
SEC-005,Security & Compliance,Encryption,"What encryption requirements apply to data at rest and in transit?","Confirm: S3 SSE-KMS vs. SSE-S3, DynamoDB encryption, Secrets Manager KMS key, TLS 1.2+ for API Gateway","","Encryption key management strategy affects cost and operational complexity"
SEC-006,Security & Compliance,Encryption,"Will a customer-managed KMS key (CMK) be required, or is AWS-managed encryption sufficient?","CMK provides audit trail and key rotation control but adds operational overhead","","CMK requirement driven by compliance framework and data sensitivity"
SEC-007,Security & Compliance,Secrets Management,"How will the GitHub PAT, Bedrock API keys, and any third-party credentials be managed?","Confirm AWS Secrets Manager with automatic rotation where supported; identify rotation frequency","","Hardcoded credentials are a critical risk; Secrets Manager is mandatory"
SEC-008,Security & Compliance,Network Security,"What VPC and network segmentation requirements apply?","Confirm whether Lambda functions and AgentCore Runtime must run inside a VPC; identify VPC endpoint requirements for S3, DynamoDB, Bedrock","","VPC configuration affects latency and egress costs; some Bedrock features require VPC endpoints"
SEC-009,Security & Compliance,Audit & Logging,"What audit logging and trail requirements exist?","Confirm: CloudTrail for API calls, CloudWatch Logs for Lambda/agent execution, S3 access logging, Cognito sign-in events","","Audit trail is required for SOC 2 and incident response; retention period must be specified"
SEC-010,Security & Compliance,Vulnerability Management,"What is the process for patching the agent container image (base OS, Python packages, eof-tools)?","Identify ECR image scanning (Basic vs. Inspector), patch cadence, and responsible team","","Container vulnerabilities are the primary attack surface; scanning policy needed"
SEC-011,Security & Compliance,Data Residency,"Must all data (S3 artifacts, DynamoDB records, CloudWatch logs) remain within us-west-2?","Confirm no cross-region replication unless explicitly approved; check CloudWatch Logs Insights cross-region queries","","Data residency confirmation needed before architecture is finalised"
OPS-001,Operations & Support,RTO & RPO,"What are the Recovery Time Objective (RTO) and Recovery Point Objective (RPO) requirements for the Amatra platform?","Example: RTO < 4 hours, RPO < 1 hour. Consider DynamoDB point-in-time recovery and S3 versioning","","DR architecture depends on RTO/RPO targets; influences multi-AZ vs. multi-region design"
OPS-002,Operations & Support,Monitoring & Alerting,"What monitoring and alerting capabilities are required for the platform?","Identify key metrics: agent execution duration, retry rates, quota utilisation, API error rates, Bedrock throttling","","CloudWatch dashboard and alarm configuration scope"
OPS-003,Operations & Support,Monitoring & Alerting,"Who receives operational alerts (PagerDuty, SNS email, Slack) and what are the escalation paths?","Identify on-call ownership — Amatra internal team or PREDICTif managed services","","Alert routing design and on-call runbook scope"
OPS-004,Operations & Support,Support Coverage,"What support coverage is required for the platform: business hours (8x5) or 24x7?","Consider the sales cycle — do engagements run outside business hours, e.g. overnight batch generation?","","Support model drives staffing and AWS Support plan tier selection"
