#WIDTH: 38,14,25,25,25,50,8,15,28,12,18,22,30,12
#ALIGN: left,left,left,left,left,left,center,center,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,aws-landing-zone,aws-landing-zone,aws-landing-zone,Solution identifier used for resource naming and tagging across all accounts,Yes,String,lowercase alphanumeric and hyphens only; max 50 chars,Public,Cloud CoE,,,2025-01-31
solution.region.primary,Project,us-east-1,us-east-1,us-east-2,Primary AWS region for all Control Tower management-plane and hub resources,Yes,String,Valid AWS region code,Public,Cloud CoE,,SOW commits to us-east-1 primary; us-east-2 is DR,2025-01-31
solution.region.secondary,Project,us-east-2,us-east-2,us-east-1,Secondary AWS region governed by Control Tower for DR and multi-region coverage,Yes,String,Valid AWS region code,Public,Cloud CoE,solution.region.primary,DR region mirrors primary governance posture,2025-01-31
solution.environment,Project,prod,nonprod,prod,Deployment environment identifier applied to all tagged resources,Yes,String,"prod | nonprod | sandbox",Public,Cloud CoE,,DR mirrors production environment identifier,2025-01-31
solution.version,Project,1.0.0,1.0.0,1.0.0,Current solution version used in IaC state labels and runbook references,Yes,String,Semantic versioning X.Y.Z,Public,Cloud CoE,,,2025-01-31
aws.account_id.management,Project,[management-account-id],[management-account-id],[management-account-id],AWS Management account ID hosting Control Tower and AWS Organizations,Yes,String,12-digit numeric,Confidential,Cloud CoE,,Store in Secrets Manager; used by AFT and Terraform workspaces,2025-01-31
aws.account_id.log_archive,Project,[log-archive-account-id],[log-archive-account-id],[log-archive-account-id],AWS account ID for the centralised Log Archive account,Yes,String,12-digit numeric,Confidential,Cloud CoE,aws.account_id.management,Required by CloudTrail and Config delivery configurations,2025-01-31
aws.account_id.audit,Project,[audit-account-id],[audit-account-id],[audit-account-id],AWS account ID for the Audit/Security Tooling account (GuardDuty and Security Hub delegated admin),Yes,String,12-digit numeric,Confidential,Cloud CoE,aws.account_id.management,Used as delegated administrator for GuardDuty and Security Hub,2025-01-31
aws.account_id.network_hub,Project,[network-hub-account-id],[network-hub-account-id],[network-hub-account-id],AWS account ID for the Network Hub account hosting TGW and Network Firewall,Yes,String,12-digit numeric,Confidential,Cloud CoE,aws.account_id.management,Required for TGW sharing and spoke VPC attachment configurations,2025-01-31
aws.account_id.shared_services,Project,[shared-services-account-id],[shared-services-account-id],[shared-services-account-id],AWS account ID for the Shared Services account hosting centralised CloudWatch dashboards,Yes,String,12-digit numeric,Confidential,Cloud CoE,aws.account_id.management,Required for cross-account CloudWatch metrics sharing,2025-01-31
aws.organizations.id,Project,[org-id],[org-id],[org-id],AWS Organizations organisation ID used in SCPs and RCP data perimeter policies,Yes,String,"^o-[a-z0-9]{10,32}$",Confidential,Cloud CoE,aws.account_id.management,Used in RCP conditions to enforce org-boundary data perimeter,2025-01-31
aws.organizations.root_id,Project,[org-root-id],[org-root-id],[org-root-id],Root ID of the AWS Organizations hierarchy for SCP and tag policy attachment,Yes,String,"^r-[a-z0-9]{4}$",Confidential,Cloud CoE,aws.organizations.id,Required for OU creation and policy attachment via Terraform,2025-01-31
controltower.governed_regions,Project,"us-east-1,us-east-2","us-east-1,us-east-2","us-east-1,us-east-2",Comma-separated list of AWS regions governed by Control Tower,Yes,List(String),Valid AWS region codes; minimum 2 regions per SOW,Public,Cloud CoE,solution.region.primary; solution.region.secondary,SOW mandates both us-east-1 and us-east-2 governed from day one,2025-01-31
controltower.landing_zone_version,Project,3.3,3.3,3.3,AWS Control Tower landing zone manifest version deployed,Yes,String,Valid Control Tower version string,Public,Cloud CoE,,Pin version during active deployment; upgrade only during maintenance windows,2025-01-31
ou.security.id,Project,[ou-security-id],[ou-security-id],[ou-security-id],OU ID for the Security OU hosting Log Archive and Audit accounts,Yes,String,"^ou-[a-z0-9]{4}-[a-z0-9]{8,32}$",Confidential,Cloud CoE,aws.organizations.root_id,Required for SCP attachment and Control Tower OU registration,2025-01-31
ou.infrastructure.id,Project,[ou-infrastructure-id],[ou-infrastructure-id],[ou-infrastructure-id],OU ID for the Infrastructure OU hosting Network Hub and Shared Services accounts,Yes,String,"^ou-[a-z0-9]{4}-[a-z0-9]{8,32}$",Confidential,Cloud CoE,aws.organizations.root_id,Required for SCP attachment targeting infrastructure accounts,2025-01-31
ou.workloads_prod.id,Project,[ou-workloads-prod-id],[ou-workloads-prod-id],[ou-workloads-prod-id],OU ID for the Workloads-Prod OU; maximum SCP enforcement applied here,Yes,String,"^ou-[a-z0-9]{4}-[a-z0-9]{8,32}$",Confidential,Cloud CoE,aws.organizations.root_id,All Production workload accounts must be in this OU at go-live,2025-01-31
ou.workloads_nonprod.id,Project,[ou-workloads-nonprod-id],[ou-workloads-nonprod-id],[ou-workloads-nonprod-id],OU ID for the Workloads-NonProd OU with relaxed (but enforced) guardrails,Yes,String,"^ou-[a-z0-9]{4}-[a-z0-9]{8,32}$",Confidential,Cloud CoE,aws.organizations.root_id,Used by AFT to route Non-Production account vending requests,2025-01-31
ou.sandbox.id,Project,[ou-sandbox-id],[ou-sandbox-id],[ou-sandbox-id],OU ID for the Sandbox OU; region restriction and root-deny SCPs remain active,Yes,String,"^ou-[a-z0-9]{4}-[a-z0-9]{8,32}$",Confidential,Cloud CoE,aws.organizations.root_id,Production guardrails relaxed for experimentation per SOW design,2025-01-31
ou.suspended.id,Project,[ou-suspended-id],[ou-suspended-id],[ou-suspended-id],OU ID for the Suspended OU; deny-all SCP applied to isolated decommissioned accounts,Yes,String,"^ou-[a-z0-9]{4}-[a-z0-9]{8,32}$",Confidential,Cloud CoE,aws.organizations.root_id,Accounts moved here pending formal closure process,2025-01-31
iam_identity_center.instance_arn,Security,[sso-instance-arn],[sso-instance-arn],[sso-instance-arn],ARN of the IAM Identity Center instance used for all cross-account SSO,Yes,String,"^arn:aws:sso:::instance/ssoins-[a-zA-Z0-9]{16}$",Confidential,Security Team,aws.account_id.management,Required by all permission set and assignment Terraform resources,2025-01-31
iam_identity_center.identity_store_id,Security,[identity-store-id],[identity-store-id],[identity-store-id],Identity Store ID associated with the IAM Identity Center instance,Yes,String,"^d-[a-zA-Z0-9]{10}$",Confidential,Security Team,iam_identity_center.instance_arn,Used for group and user lookup in Terraform IAM Identity Center resources,2025-01-31
iam_identity_center.identity_source,Security,NATIVE,NATIVE,NATIVE,Identity source type for IAM Identity Center; NATIVE or EXTERNAL_IDP,Yes,String,NATIVE | EXTERNAL_IDP,Public,Security Team,iam_identity_center.instance_arn,Confirmed at kick-off per Dependency D4; NATIVE until IdP is confirmed,2025-01-31
iam_identity_center.session_duration_hours,Security,8,8,8,Maximum session duration in hours for all IAM Identity Center permission sets,Yes,Integer,1-12,Public,Security Team,iam_identity_center.instance_arn,SOW specifies 8-hour cap; applies to all permission sets uniformly,2025-01-31
security.mfa_enabled,Security,true,true,true,Enforce MFA for all IAM Identity Center users via SCP deny on aws:MultiFactorAuthPresent=false,Yes,Boolean,true|false,Public,Security Team,iam_identity_center.instance_arn,SOW mandates MFA via SCP; must not be disabled in any environment,2025-01-31
security.scp.deny_root_enabled,Security,true,true,true,Enable SCP that denies all root account API actions across all member accounts,Yes,Boolean,true|false,Public,Security Team,aws.organizations.root_id,Core preventative control per SOW; apply at Root OU level,2025-01-31
security.scp.restrict_regions_enabled,Security,true,true,true,Enable SCP restricting all API calls to us-east-1 and us-east-2 only,Yes,Boolean,true|false,Public,Security Team,aws.organizations.root_id; controltower.governed_regions,Enforces US data residency requirement at the control-plane level,2025-01-31
