#WIDTH: 38,14,25,25,25,50,8,15,28,12,18,22,30,12
#ALIGN: left,left,left,left,left,left,center,center,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,amatra-agentic-orchestration-platform,amatra-agentic-orchestration-platform,amatra-agentic-orchestration-platform,Solution identifier used for resource naming and tagging across all environments,Yes,String,lowercase alphanumeric hyphens only max 60 chars,Public,Cloud CoE,,,2025-06-01
solution.region.primary,Project,us-west-2,us-west-2,us-west-2,Primary AWS region for all platform resources per SOW scope,Yes,String,Valid AWS region code,Public,Cloud CoE,,Single region deployment per SOW; us-east-1 is existing client footprint and must remain isolated,2025-06-01
solution.environment,Project,prod,dev,prod,Deployment environment identifier used in all resource naming patterns,Yes,String,"prod|staging|dev",Public,Cloud CoE,,DR mirrors production environment configuration; staging mirrors prod for UAT fidelity,2025-06-01
solution.opportunity_id,Project,OPP-2026-001,OPP-2026-001,OPP-2026-001,Opportunity reference number used in cost-centre tagging and billing attribution,Yes,String,"^OPP-[0-9]{4}-[0-9]{3}$",Public,Cloud CoE,,Must match the CostCenter tag applied to all Terraform-provisioned resources,2025-06-01
aws.account_id,Project,[aws-account-id],[aws-account-id],[aws-account-id],AWS account identifier for the us-west-2 greenfield deployment,Yes,String,12-digit numeric,Confidential,Cloud CoE,solution.region.primary,Separate from us-east-1 managed-services account to contain blast radius per SOW design,2025-06-01
aws.region,Project,us-west-2,us-west-2,us-west-2,AWS deployment region passed to Terraform provider and all SDK clients,Yes,String,Valid AWS region code,Public,Cloud CoE,solution.region.primary,Must match solution.region.primary; duplicated for provider-level Terraform variable,2025-06-01
solution.resource_name_prefix,Project,amatra-prod,amatra-dev,amatra-prod,Resource name prefix following naming convention amatra-{env} applied to all AWS resources,Yes,String,"^amatra-(prod|staging|dev)$",Public,Cloud CoE,solution.environment,Used by all Terraform modules as var.prefix; changing post-deploy requires resource recreation,2025-06-01
application.name,Application,amatra-agentic-platform,amatra-agentic-platform,amatra-agentic-platform,Application identifier used in CloudWatch log groups and structured log fields,Yes,String,Alphanumeric and hyphens max 50 chars,Public,Development,,,2025-06-01
application.version,Application,1.0.0,1.0.0,1.0.0,Current platform version emitted in Lambda structured logs and CLI --version output,Yes,String,"Semantic versioning X.Y.Z",Public,Development,,Increment on every CLI PyPI release; used to correlate logs with deployed code version,2025-06-01
application.log_level,Application,info,debug,info,Logging verbosity for all Lambda functions and agent container logs,Yes,String,"debug|info|warn|error",Public,Operations,,Production uses info to avoid excessive CloudWatch costs; debug only in dev/staging,2025-06-01
application.cli_package_name,Application,amatra-cli,amatra-cli,amatra-cli,PyPI package name for the pip-installable CLI distributed to consultants,Yes,String,Valid PyPI package name,Public,Development,,Published to PyPI by DevOps Engineer in Phase 3; consultants install via pip install amatra-cli,2025-06-01
application.cli_subcommand_count,Application,14,14,14,Number of CLI subcommands included in the pip package; used as acceptance gate in UAT,Yes,Integer,Exact value 14,Public,Development,,Fixed per SOW scope; any new subcommands require change control,2025-06-01
application.max_solution_generation_minutes,Application,60,60,60,Maximum allowed end-to-end solution generation duration in minutes before timeout,Yes,Integer,1-300,Public,Development,compute.lambda.solution_create.timeout_seconds,Must align with Step Functions or AgentCore Runtime execution timeout; SOW SLA is 60 minutes,2025-06-01
application.artifact_types_count,Application,12,12,12,Total number of artifact types produced per solution (5 presales + 6 delivery + 1 Terraform bundle),Yes,Integer,Exact value 12,Public,Development,,Fixed per SOW scope; additional artifact types require Phase 2 engagement,2025-06-01
compute.lambda.runtime,Compute,python3.12,python3.12,python3.12,Python runtime version for all Lambda route handler functions,Yes,String,"python3.10|python3.11|python3.12",Public,Development,,Python 3.12 chosen for performance improvements and extended support timeline,2025-06-01
compute.lambda.solution_create.memory_mb,Compute,512,512,512,Memory allocation in MB for the Solution Create Lambda function,Yes,Integer,128-10240,Public,Development,compute.lambda.runtime,512 MB provides adequate headroom for DynamoDB conditional writes and AgentCore invocation payload,2025-06-01
compute.lambda.solution_create.timeout_seconds,Compute,30,30,30,Execution timeout in seconds for the Solution Create Lambda; covers quota check + AgentCore invocation initiation,Yes,Integer,1-900,Public,Development,compute.lambda.runtime,30 seconds covers synchronous quota enforcement; agent generation runs asynchronously in AgentCore Runtime,2025-06-01
compute.lambda.solution_create.concurrency_limit,Compute,50,20,50,Reserved concurrency limit for the Solution Create Lambda to protect DynamoDB quota table from burst writes,Yes,Integer,1-1000,Public,Development,compute.lambda.solution_create.memory_mb,50 concurrent executions supports peak burst while preventing DynamoDB hot-partition risk on GlobalQuota table,2025-06-01
compute.lambda.solution_create.provisioned_concurrency,Compute,2,0,2,Provisioned Concurrency instances for Solution Create Lambda to eliminate cold-start latency in production,Yes,Integer,0-100,Public,Development,compute.lambda.solution_create.concurrency_limit,2 instances pre-warmed in prod only; not required in dev/staging; eliminates sub-second cold-start on CLI generate,2025-06-01
compute.lambda.status.memory_mb,Compute,256,256,256,Memory allocation in MB for the Solution Status Lambda function,Yes,Integer,128-10240,Public,Development,compute.lambda.runtime,256 MB sufficient for DynamoDB GetItem and JSON serialisation; no heavy compute,2025-06-01
compute.lambda.status.timeout_seconds,Compute,10,10,10,Execution timeout in seconds for the Solution Status Lambda,Yes,Integer,1-900,Public,Development,compute.lambda.runtime,,2025-06-01
compute.lambda.artifact_fetch.memory_mb,Compute,256,256,256,Memory allocation in MB for the Artifact Fetch Lambda function,Yes,Integer,128-10240,Public,Development,compute.lambda.runtime,Generates S3 presigned URLs; minimal compute required,2025-06-01
compute.lambda.artifact_fetch.timeout_seconds,Compute,10,10,10,Execution timeout in seconds for the Artifact Fetch Lambda,Yes,Integer,1-900,Public,Development,compute.lambda.runtime,,2025-06-01
compute.lambda.admin_usage.memory_mb,Compute,256,256,256,Memory allocation in MB for the Admin Usage Lambda function,Yes,Integer,128-10240,Public,Development,compute.lambda.runtime,,2025-06-01
compute.lambda.admin_usage.timeout_seconds,Compute,15,15,15,Execution timeout in seconds for the Admin Usage Lambda; covers CloudWatch Metrics API calls,Yes,Integer,1-900,Public,Development,compute.lambda.runtime,Slightly longer timeout than read-only Lambdas to accommodate CloudWatch API aggregation queries,2025-06-01
compute.lambda.github_integration.memory_mb,Compute,512,512,512,Memory allocation in MB for the GitHub Integration Lambda function,Yes,Integer,128-10240,Public,Development,compute.lambda.runtime,512 MB needed for artifact content buffering during multi-file GitHub commit batch,2025-06-01
