Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Business Drivers,"What are the top 3-5 compliance pain points driving this initiative?","Describe specific audit findings, remediation effort, and frequency of compliance breaches","","Understanding root-cause pain points ensures the solution directly addresses the compliance gap"
BUS-002,Business Requirements,Business Drivers,"How many compliance findings per quarter are currently raised, and what is the estimated remediation effort in person-hours?","Provide current baseline metrics (e.g. 3-4 findings, ~40 hours remediation each)","","Baseline for measuring 80% reduction target and calculating ROI"
BUS-003,Business Requirements,Success Criteria,"What does success look like at the Q2 2026 regulatory review?","Define measurable outcomes: zero audit findings, evidence packages produced, controls demonstrably automated","","Critical for scoping the solution and defining acceptance criteria"
BUS-004,Business Requirements,Success Criteria,"What evidence artefacts must be produced for the regulatory review?","Examples: policy compliance reports, access logs, change audit trails, control attestation","","Drives logging, reporting, and evidence collection requirements"
BUS-005,Business Requirements,Timeline,"Is the end-of-April 2026 hard deadline fixed, or is there any flexibility?","Confirm whether a regulatory extension is possible and what the consequences of missing it are","","Hard deadline impacts phase planning, resourcing, and scope prioritisation"
BUS-006,Business Requirements,Timeline,"Are the proposed phase durations (Phase 1: 6 weeks foundation; Phase 2: Month 4 full guardrails) aligned with internal capacity?","Identify any internal freeze periods, planned leave, or competing priorities that could affect availability","","Resource contention in a tight timeline is a common delivery risk"
BUS-007,Business Requirements,Budget,"Is the $400k-$600k budget envelope approved, or is it still subject to board or finance committee sign-off?","Clarify approval status and who holds the budget authority","","Unsigned budget approval creates procurement and contracting risk"
BUS-008,Business Requirements,Budget,"How is the budget split between professional services, tooling/licensing, and infrastructure run cost?","Approximate allocation helps right-size each workstream","","Unbalanced allocation (e.g. all PS, no tooling budget) can block architecture decisions"
BUS-009,Business Requirements,Stakeholders,"Who are all the stakeholders that must approve the design, and what is their sign-off sequence?","Map CTO, CISO, Platform Engineering, Procurement, and any legal/compliance sign-off required","","Missing a required approver late in the process causes delays"
BUS-010,Business Requirements,Stakeholders,"What is the CISO's primary concern regarding automated provisioning and policy enforcement?","Understand whether the CISO focus is on data residency, access control, auditability, or all three","","CISO concerns directly shape the security architecture and sign-off criteria"
BUS-011,Business Requirements,Regulatory Context,"Which specific regulatory frameworks or standards govern this engagement?","Confirm ISO 27001, Australian Prudential Regulation Authority (APRA) CPS 234, and any other applicable standards","","Compliance scope determines required controls and evidence requirements"
BUS-012,Business Requirements,ROI & Metrics,"What is the current cost (time and resource) of a single audit remediation cycle?","Estimate FTE effort, tooling cost, and any external audit fees","","Provides the ROI baseline for the 80% remediation reduction objective"
TECH-001,Technical Requirements,Cloud Platform,"What is your existing AWS footprint — how many accounts, AWS Organizations structure, and which regions are active?","List account count, OU structure (if any), and active regions","","Determines Landing Zone design complexity and migration vs greenfield approach"
TECH-002,Technical Requirements,Cloud Platform,"Is AWS Control Tower already deployed, or will this be a greenfield Landing Zone implementation?","Confirm current state: no Landing Zone, partial implementation, or existing Control Tower","","Drives the implementation approach — greenfield vs retrofit"
TECH-003,Technical Requirements,Cloud Platform,"What AWS services are currently in use across production workloads?","List key services (EC2, EKS, RDS, S3, Lambda, etc.) and approximate usage","","Informs guardrail design and SCP scope to avoid breaking existing workloads"
TECH-004,Technical Requirements,Account Structure,"How many AWS accounts are required, and what is the proposed OU hierarchy?","Example: Security, Infrastructure, Workload (Dev/Test/Prod), Sandbox OUs","","Account and OU structure is the foundation of the Landing Zone design"
