# SCOPE ASSUMPTIONS
#WIDTH: 25,35,30,25,25,30,40
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
AWS Accounts,Single AWS account (dev only),Multi-account OU hierarchy (Security / Infra / Workloads / Sandbox / Suspended),1-3 accounts,4-10 accounts,10+ accounts,Greenfield; Account Factory for Terraform (AFT) used for automated account vending
Regions / Geographies,Single AWS region,us-east-1 (primary) + us-east-2 (DR/secondary),1 region,2 regions,3+ regions,All services and guardrails deployed and governed in both regions
Environments,Single environment (prod),Development / Non-Production / Production (3 environments),1 environment,2 environments,3+ environments,Separate OU paths for prod and non-prod workloads
OU Complexity,Flat OU structure,"7-OU hierarchy (Root / Security / Infrastructure / Workloads-Prod / Workloads-NonProd / Sandbox / Suspended)",2-3 OUs,4-6 OUs,7+ OUs,Designed for future BU / acquisition expansion without redesign
Networking Complexity,Basic VPC per account,"Hub-and-spoke via Transit Gateway; VPC IPAM; Network Firewall; centralised egress; VPN on-premises link",VPC only,TGW single-region,TGW multi-region + Firewall + IPAM,On-premises connectivity method (VPN vs Direct Connect) to be confirmed in discovery
Security & Compliance Frameworks,No formal compliance framework,"AWS FSBP mandatory; NIST 800-53 / SOC 2 / HIPAA to be confirmed with client security team",1 framework,2 frameworks,3+ frameworks,Additional frameworks confirmed during Phase 1 discovery
IaC Coverage,Manual console configuration,">=95% IaC coverage (Terraform + AFT); CI/CD pipeline tooling TBD",Partial IaC,Terraform modules,Full IaC + AFT pipeline + CI/CD,Zero manual console changes in production at go-live
Integrations / Source Systems,No external integrations,"Centralised monitoring (CloudWatch / Security Hub / GuardDuty); SNS alerting; third-party SIEM TBD",1-2 integrations,3-5 integrations,5+ integrations,Third-party SIEM / ticketing integration to be scoped post-discovery

# ESTIMATE SETTINGS
#WIDTH: 25,30,15,80
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,discovery_factor,1.0,Stakeholder interviews; current-state review; requirements documentation; compliance framework confirmation
Planning,planning_factor,1.2,"Detailed OU / network / security architecture; Terraform module design; IaC standards definition; architecture documentation"
Development,development_factor,1.3,"Control Tower deployment; OU structure; SCPs / RCPs; IAM Identity Center; networking build (TGW / IPAM / Firewall); AFT pipeline; security automation (Weeks 1-12)"
Testing,testing_factor,1.0,"End-to-end landing zone validation; SCP enforcement tests; account vending tests; network flow tests; security posture validation"
Deployment,deployment_factor,1.0,"Production go-live; runbook delivery; administrator and security team training; hypercare support (4 weeks post go-live)"
Management,management_factor,1.0,Project management and technical leadership overhead — calculated as 10% of total engineering task hours

# LEVEL OF EFFORT
#WIDTH: 15,25,50,15,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,Project Kickoff,Project kickoff meeting and stakeholder alignment; confirm RACI and engagement leads,Project Manager,8,1.0,8,$175,"$1,400",,Stakeholder identification required at kick-off
Discovery,Current State Assessment,Confirm greenfield status; document existing on-premises context and connectivity requirements,Solution Architect,16,1.0,16,$250,"$4,000",,AWS-certified architect rate applied
Discovery,Requirements Gathering,"Conduct stakeholder interviews; document OU design requirements; confirm compliance frameworks (NIST / SOC 2 / HIPAA)",Solution Architect,24,1.0,24,$250,"$6,000",,Compliance framework confirmation gates SCP design
Discovery,Cloud Readiness Assessment,"Assess team cloud maturity; identify skills gaps; confirm IaC tooling preferences (Terraform / CDK)",Solutions Engineer,16,1.0,16,$200,"$3,200",,Drives training scope in Deployment phase
Discovery,Network Discovery,"Confirm on-premises connectivity topology; validate IP address space and IPAM supernet (10.0.0.0/8)",Network Engineer,16,1.0,16,$200,"$3,200",,VPN vs Direct Connect decision required
Discovery,Security & Compliance Scoping,"Document security requirements; confirm compliance frameworks; map mandatory tags; define data classification policy",Security Engineer,16,1.0,16,$225,"$3,600",,Security-certified specialist rate applied
Discovery,Risk Assessment,"Identify project risks (scope / compliance / connectivity) and define mitigation strategies",Project Manager,8,1.0,8,$175,"$1,400",,
Discovery,Discovery Report,"Document findings; produce architecture recommendation memo and phased project plan",Solution Architect,16,1.0,16,$250,"$4,000",,Gates Planning phase
Planning,Detailed OU & Account Architecture,"Design 7-OU hierarchy; map Security / Infra / Workloads / Sandbox / Suspended OUs; define account naming convention",Solution Architect,24,1.2,28.8,$250,"$7,200",Discovery Report,Drives AFT customisations
Planning,Control Tower Design,"Design Control Tower configuration; select managed guardrails; define landing zone manifest for both regions",Solution Architect,24,1.2,28.8,$250,"$7,200",Detailed OU & Account Architecture,
Planning,Network Architecture Design,"Design hub-and-spoke Transit Gateway topology; define VPC IPAM plan; design Network Firewall policy; plan centralised egress",Network Engineer,32,1.2,38.4,$200,"$7,680",Network Discovery,RFC 1918 /20 per spoke VPC
Planning,Security Architecture Design,"Design SCP / RCP policy set; data perimeter controls; Security Hub standard selection; GuardDuty configuration",Security Engineer,32,1.2,38.4,$225,"$8,640",Security & Compliance Scoping,
Planning,IaC Module Design,"Design Terraform module structure for AFT; define repo layout; design CI/CD pipeline approach",Solutions Engineer,32,1.2,38.4,$200,"$7,680",Control Tower Design,IaC coverage target >=95%
Planning,IAM Identity Center Design,"Design SSO permission sets; define identity source (existing IdP or native); map group-to-account assignments",Security Engineer,16,1.2,19.2,$225,"$4,320",Detailed OU & Account Architecture,IdP source to be confirmed with client
Planning,Monitoring & Alerting Architecture,"Design centralised CloudWatch structure; define Security Hub aggregation; design SNS alert routing",Solutions Engineer,16,1.2,19.2,$200,"$3,840",Security Architecture Design,Third-party SIEM integration TBD
