# Project Timeline
#WIDTH: 20,40,12,14,14,40,28,14
#ALIGN: left,left,center,center,center,left,left,center
Phase,Task,Duration,Start Date,End Date,Dependencies,Owner,Status
Phase 1 — Discovery & Architecture,Project Kickoff and RACI Alignment,1 day,2026-05-04,2026-05-04,None,Amatra PM,Not Started
Phase 1 — Discovery & Architecture,Clinical Workflow Discovery Sessions,3 days,2026-05-05,2026-05-07,Project Kickoff and RACI Alignment,Amatra Architect,Not Started
Phase 1 — Discovery & Architecture,Epic FHIR R4 and Mirth Connect Topology Assessment,3 days,2026-05-05,2026-05-07,Project Kickoff and RACI Alignment,Amatra Engineer,Not Started
Phase 1 — Discovery & Architecture,AWS Organization and Landing Zone Documentation,2 days,2026-05-07,2026-05-08,Epic FHIR R4 and Mirth Connect Topology Assessment,Amatra Architect,Not Started
Phase 1 — Discovery & Architecture,HIPAA BAA and PHI Data-Handling Requirements Workshop,2 days,2026-05-11,2026-05-12,Project Kickoff and RACI Alignment,Amatra Architect,Not Started
Phase 1 — Discovery & Architecture,ML Feature Requirements Workshop — Sepsis Model,2 days,2026-05-11,2026-05-12,Clinical Workflow Discovery Sessions,Amatra Engineer,Not Started
Phase 1 — Discovery & Architecture,Azure AD Federation Requirements Capture,1 day,2026-05-12,2026-05-12,HIPAA BAA and PHI Data-Handling Requirements Workshop,Amatra Engineer,Not Started
Phase 1 — Discovery & Architecture,Current State Assessment Report,5 days,2026-05-12,2026-05-18,Clinical Workflow Discovery Sessions,Amatra Architect,Not Started
Phase 1 — Discovery & Architecture,Epic FHIR R4 and Mirth Connect Integration Specification,5 days,2026-05-19,2026-05-25,Epic FHIR R4 and Mirth Connect Topology Assessment,Amatra Architect,Not Started
Phase 1 — Discovery & Architecture,HIPAA PHI Data-Handling Requirements Document,3 days,2026-05-19,2026-05-21,HIPAA BAA and PHI Data-Handling Requirements Workshop,Amatra Architect,Not Started
Phase 1 — Discovery & Architecture,HLD and LLD Architecture Documents,5 days,2026-05-26,2026-06-01,Current State Assessment Report,Amatra Architect,Not Started
Phase 1 — Discovery & Architecture,Security Architecture Document,5 days,2026-05-26,2026-06-01,HIPAA PHI Data-Handling Requirements Document,Amatra Architect,Not Started
Phase 1 — Discovery & Architecture,Data Flow Diagrams and FHIR Resource Mapping Specification,4 days,2026-05-26,2026-05-29,Epic FHIR R4 and Mirth Connect Integration Specification,Amatra Engineer,Not Started
Phase 1 — Discovery & Architecture,Approved Architecture Assessment Report,3 days,2026-06-01,2026-06-03,HLD and LLD Architecture Documents,Amatra Architect,Not Started
Phase 2 — Environment Build & Data Pipeline,IaC Modules — All 4 Environments Provisioned,10 days,2026-06-08,2026-06-19,Approved Architecture Assessment Report,Amatra Engineer,Not Started
Phase 2 — Environment Build & Data Pipeline,Transit Gateway and PrivateLink Connectivity Configuration,5 days,2026-06-22,2026-06-26,IaC Modules — All 4 Environments Provisioned,Amatra Engineer,Not Started
Phase 2 — Environment Build & Data Pipeline,Azure AD SAML 2.0 Federation with Amazon Cognito,5 days,2026-06-22,2026-06-26,IaC Modules — All 4 Environments Provisioned,Amatra Engineer,Not Started
Phase 2 — Environment Build & Data Pipeline,KMS CMK Key Policies and PHI Encryption Implementation,5 days,2026-06-22,2026-06-26,IaC Modules — All 4 Environments Provisioned,Amatra Engineer,Not Started
Phase 2 — Environment Build & Data Pipeline,HIPAA Audit Logging Implementation,3 days,2026-06-29,2026-07-01,KMS CMK Key Policies and PHI Encryption Implementation,Amatra Engineer,Not Started
Phase 2 — Environment Build & Data Pipeline,CI/CD Pipelines with Blue/Green Deployment,5 days,2026-06-29,2026-07-03,IaC Modules — All 4 Environments Provisioned,Amatra Engineer,Not Started
Phase 2 — Environment Build & Data Pipeline,Amazon HealthLake FHIR Data Store Provisioning,5 days,2026-06-29,2026-07-03,IaC Modules — All 4 Environments Provisioned,Amatra Engineer,Not Started
Phase 2 — Environment Build & Data Pipeline,Kinesis Data Streams Ingestion Pipeline Build,10 days,2026-07-06,2026-07-17,Transit Gateway and PrivateLink Connectivity Configuration,Amatra Engineer,Not Started
Phase 2 — Environment Build & Data Pipeline,Epic FHIR R4 Connector Development,10 days,2026-07-06,2026-07-17,Azure AD SAML 2.0 Federation with Amazon Cognito,Amatra Engineer,Not Started
Phase 2 — Environment Build & Data Pipeline,HL7 v2.3 Mirth Connect Adapter Development,10 days,2026-07-06,2026-07-17,Transit Gateway and PrivateLink Connectivity Configuration,Amatra Engineer,Not Started
Phase 2 — Environment Build & Data Pipeline,SageMaker Feature Store Pipelines Build,7 days,2026-07-20,2026-07-28,Kinesis Data Streams Ingestion Pipeline Build,Amatra Engineer,Not Started
Phase 2 — Environment Build & Data Pipeline,Data Ingestion Pipeline End-to-End Validation,3 days,2026-07-29,2026-07-31,SageMaker Feature Store Pipelines Build,Amatra Engineer,Not Started
