#WIDTH: 38,14,25,25,25,50,8,15,28,12,18,22,30,12
#ALIGN: left,left,left,left,left,left,center,center,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,amatra-isb,amatra-isb,amatra-isb,Solution identifier used for all resource naming and tagging,Yes,String,lowercase alphanumeric hyphens only max 20 chars,Public,Cloud CoE,,,2026-07-01
solution.region.primary,Project,us-west-2,us-west-2,us-west-2,Primary AWS region for all solution resources; enforces US data residency per SOW,Yes,String,Valid AWS region code,Public,Cloud CoE,,Single region per SOW scope; SCP blocks replication outside us-east-1 and us-west-2,2026-07-01
solution.environment,Project,prod,dev,prod,Deployment environment identifier used in resource naming and IAM policies,Yes,String,prod|staging|dev,Public,Cloud CoE,,DR not applicable — single-region serverless per SOW out-of-scope clause,2026-07-01
solution.opportunity_id,Project,OPP-2026-001,OPP-2026-001,OPP-2026-001,Opportunity identifier for cost tracking and tagging,Yes,String,Alphanumeric hyphens format OPP-YYYY-NNN,Public,Cloud CoE,,Used as CostCenter tag value across all AWS resources,2026-07-01
solution.version,Project,1.0.0,1.0.0,1.0.0,Current platform version used in Lambda aliases and deployment tracking,Yes,String,Semantic versioning X.Y.Z,Public,Cloud CoE,,Updated at each phase gate approval by CTO,2026-07-01
aws.account_id,Project,[aws-account-id],[aws-account-id],[aws-account-id],12-digit AWS account ID for the target deployment account,Yes,String,12-digit numeric string,Confidential,Cloud CoE,,Separate account IDs per environment recommended; VP Engineering provisions,2026-07-01
aws.region,Project,us-west-2,us-west-2,us-west-2,AWS region for all resource provisioning; must match solution.region.primary,Yes,String,Valid AWS region code,Public,Cloud CoE,solution.region.primary,Must always equal solution.region.primary; validated in CI/CD pipeline pre-deploy check,2026-07-01
application.name,Application,amatra-isb,amatra-isb,amatra-isb,Application identifier used in CloudWatch log group names and Datadog APM service name,Yes,String,Alphanumeric hyphens max 50 chars,Public,Development,solution.name,,2026-07-01
application.log_level,Application,info,debug,info,Lambda function logging verbosity level,Yes,String,debug|info|warn|error,Public,Operations,,Set to debug in Dev to aid prompt engineering; info in Prod reduces log volume and CloudWatch cost,2026-07-01
application.artifact_types,Application,"discovery-questionnaire,solution-briefing,statement-of-work,infrastructure-costs,detailed-design,implementation-guide,terraform","discovery-questionnaire,solution-briefing,statement-of-work,infrastructure-costs,detailed-design,implementation-guide,terraform","discovery-questionnaire,solution-briefing,statement-of-work,infrastructure-costs,detailed-design,implementation-guide,terraform",Comma-separated list of the 7 automated artifact types supported by the generation pipeline,Yes,List(String),Each item must match a registered artifact type in the prompt library,Public,Development,,Phase 1 enables first 4 types; Phase 2 enables remaining 3; validated against prompt-library at startup,2026-07-01
