#WIDTH: 38,14,25,25,25,50,8,15,28,12,18,22,30,12
#ALIGN: left,left,left,left,left,left,center,center,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,aws-governance-platform,aws-governance-platform,aws-governance-platform,Solution identifier used for resource naming and tagging across all accounts,Yes,String,lowercase alphanumeric hyphens only,Public,Cloud CoE,,Must match AFT pipeline variable and all Terraform module references,2025-06-01
solution.region.primary,Project,ap-southeast-2,ap-southeast-2,ap-southeast-4,Primary AWS region for all solution resources; DR uses ap-southeast-4,Yes,String,Valid AWS region code,Public,Cloud CoE,,Region-lock SCP enforces ap-southeast-2 and ap-southeast-4 only — data sovereignty requirement,2025-06-01
solution.environment,Project,prod,nonprod,prod,Deployment environment identifier used in resource tagging and SCP conditions,Yes,String,"prod|nonprod|sandbox",Public,Cloud CoE,,DR environment mirrors production configuration,2025-06-01
aws.account_id.management,[account-id],[account-id],[account-id],Project,AWS Management account identifier for Control Tower root and AFT orchestration,Yes,String,12-digit numeric,Confidential,Cloud CoE,solution.region.primary,Root of AWS Organizations hierarchy; no workloads; break-glass access only,2025-06-01
aws.account_id.log_archive,Project,[account-id],[account-id],[account-id],AWS Log Archive account identifier hosting centralised CloudTrail and Config S3 buckets,Yes,String,12-digit numeric,Confidential,Cloud CoE,solution.region.primary,Receives CloudTrail and Config delivery from all member accounts,2025-06-01
aws.account_id.audit,Project,[account-id],[account-id],[account-id],AWS Audit account identifier hosting Security Hub aggregator and GuardDuty org detector,Yes,String,12-digit numeric,Confidential,Cloud CoE,solution.region.primary,Delegated admin account for Security Hub and GuardDuty org services,2025-06-01
aws.account_id.security,Project,[account-id],[account-id],[account-id],AWS Security account identifier hosting IAM Identity Center SSO portal and SAML connector,Yes,String,12-digit numeric,Confidential,Cloud CoE,solution.region.primary,Hosts IAM Identity Center — org-level SSO service deployed here,2025-06-01
aws.account_id.network,Project,[account-id],[account-id],[account-id],AWS Network account identifier hosting Transit Gateway and Network Firewall,Yes,String,12-digit numeric,Confidential,Cloud CoE,solution.region.primary,Hub account for all inter-account and on-premises traffic routing,2025-06-01
aws.organizations.id,Project,[org-id],[org-id],[org-id],AWS Organizations root organisation ID used by Control Tower and SCP targeting,Yes,String,"^o-[a-z0-9]{10,32}$",Confidential,Cloud CoE,aws.account_id.management,Required for EventBridge org event bus rules and GuardDuty org detector configuration,2025-06-01
aws.control_tower.home_region,Project,ap-southeast-2,ap-southeast-2,ap-southeast-2,AWS Control Tower home region; must match solution.region.primary,Yes,String,Valid AWS region code,Public,Cloud CoE,solution.region.primary,Control Tower home region cannot change post-deployment without full re-deployment,2025-06-01
application.version,Application,1.0.0,1.0.0,1.0.0,Current governance platform release version used in tagging and runbook documentation,Yes,String,Semantic versioning X.Y.Z,Public,Cloud CoE,,Increment on each phase delivery milestone; tag all IaC commits with matching version,2025-06-01
application.log_level,Application,info,debug,info,Logging verbosity level for Lambda functions across the platform,Yes,String,"debug|info|warn|error",Public,Cloud CoE,,Debug level enabled in nonprod only to avoid CloudWatch log volume impact in production,2025-06-01
application.accounts_at_golive,Application,8,8,8,"Total AWS accounts at go-live: Management + Log Archive + Audit + Security + Network + 3 Workload",Yes,Integer,Positive integer,Public,Cloud CoE,aws.account_id.management,Matches SOW Scope Parameters: 8 accounts at go-live; drives Config billing estimate,2025-06-01
application.platform_users,Application,150,150,150,Total platform team and workload account owner users federated via IAM Identity Center,Yes,Integer,Positive integer,Public,Cloud CoE,identity.sso.idp_connector_count,SOW scope parameter — ~150 platform team plus workload account owners,2025-06-01
aft.pipeline.itsm_approval_required,Application,true,true,true,Require ITSM change-approval before AFT pipeline executes account vending,Yes,Boolean,true|false,Public,Cloud CoE,integration.itsm.api_endpoint,Must remain true in all environments; ISO 27001 change management control requirement,2025-06-01
aft.pipeline.max_concurrent_requests,Application,5,5,5,Maximum concurrent account vending requests the AFT pipeline processes simultaneously,Yes,Integer,1-20,Public,Cloud CoE,aft.pipeline.itsm_approval_required,Load-tested to 5 concurrent requests in Phase 3 per SOW performance test requirements,2025-06-01
aft.pipeline.account_provisioning_timeout_minutes,Application,60,60,60,Maximum time allowed for end-to-end AFT account vending before pipeline fails,Yes,Integer,30-180,Public,Cloud CoE,aft.pipeline.max_concurrent_requests,SOW success metric: account provisioned within 60 minutes of ITSM approval,2025-06-01
database.aft_workflow.table_name,Database,cntso-aft-workflow-prod,cntso-aft-workflow-nonprod,cntso-aft-workflow-dr,DynamoDB table name storing AFT account vending workflow state,Yes,String,Alphanumeric hyphens max 255 chars,Confidential,Cloud CoE,solution.name,Must match AFT pipeline configuration; used for idempotent re-run tracking,2025-06-01
database.aft_workflow.billing_mode,Database,PAY_PER_REQUEST,PAY_PER_REQUEST,PAY_PER_REQUEST,DynamoDB billing mode for AFT workflow state table,Yes,String,PROVISIONED|PAY_PER_REQUEST,Public,Cloud CoE,database.aft_workflow.table_name,On-demand capacity chosen for variable vending workload; aligns with serverless-first cost model,2025-06-01
database.aft_workflow.backup_enabled,Database,true,true,true,Enable DynamoDB point-in-time recovery on AFT workflow state table,Yes,Boolean,true|false,Public,Cloud CoE,database.aft_workflow.table_name,Required by AWS Backup daily plan; 30-day retention per SOW backup policy,2025-06-01
database.terraform_state.lock_table,Database,cntso-tf-state-lock-prod,cntso-tf-state-lock-nonprod,cntso-tf-state-lock-dr,DynamoDB table name for Terraform state locking across all workspaces,Yes,String,Alphanumeric hyphens max 255 chars,Confidential,Cloud CoE,storage.terraform_state.bucket_name,Prevents concurrent Terraform runs from corrupting shared state; required for all workspaces,2025-06-01
security.kms.log_archive_key_arn,Security,[kms-key-arn],[kms-key-arn],[kms-key-arn],KMS CMK ARN used to encrypt the Log Archive S3 bucket (CloudTrail and Config logs),Yes,String,Valid KMS key ARN,Secret,Security Team,aws.account_id.log_archive,Stored in Secrets Manager; annual auto-rotation enabled; no human identity has direct admin access in prod,2025-06-01
security.kms.terraform_state_key_arn,Security,[kms-key-arn],[kms-key-arn],[kms-key-arn],KMS CMK ARN used to encrypt the Terraform state S3 bucket,Yes,String,Valid KMS key ARN,Secret,Security Team,aws.account_id.management,Stored in Secrets Manager; annual auto-rotation enabled; rotation schedule tracked in Secrets Manager,2025-06-01
security.kms.aft_dynamodb_key_arn,Security,[kms-key-arn],[kms-key-arn],[kms-key-arn],KMS CMK ARN used to encrypt the AFT workflow DynamoDB table,Yes,String,Valid KMS key ARN,Secret,Security Team,database.aft_workflow.table_name,Stored in Secrets Manager; decryption restricted to AFT pipeline IAM role only,2025-06-01
security.kms.rotation_enabled,Security,true,true,true,Enable automatic annual KMS CMK rotation for all platform keys,Yes,Boolean,true|false,Public,Security Team,security.kms.log_archive_key_arn,ISO 27001 A.10 key management requirement; annual rotation via KMS automatic rotation feature,2025-06-01
security.cloudtrail.log_retention_years,Security,1,1,1,CloudTrail log retention in years enforced via S3 Object Lock Compliance mode,Yes,Integer,1-10,Public,Security Team,storage.log_archive.object_lock_mode,SOW scope: 12-month tamper-evident retention for regulatory evidence; maps to ISO 27001 A.12.4,2025-06-01
security.cloudtrail.log_integrity_enabled,Security,true,true,true,Enable SHA-256 CloudTrail log file integrity validation,Yes,Boolean,true|false,Public,Security Team,security.cloudtrail.log_retention_years,Required for tamper-evident audit trail; digest files included in regulatory evidence package,2025-06-01
security.mfa_enabled,Security,true,true,true,Require MFA enforced at on-premises IdP before SAML assertions issued to AWS,Yes,Boolean,true|false,Public,Security Team,identity.sso.saml_idp_metadata_url,MFA enforced at IdP level — cannot be bypassed at AWS layer; no AWS-level MFA fallback permitted,2025-06-01
security.session_timeout_minutes,Security,60,120,60,Maximum IAM Identity Center SSO session duration in minutes for standard roles,Yes,Integer,5-480,Public,Security Team,identity.sso.permission_set.breakglass_session_minutes,SOW: BreakGlass role limited to 4-hour (240 min) max; standard roles use 60 min in production,2025-06-01
security.console_access_blocked_in_prod,Security,true,false,true,SCP deny for IAM user creation and console sign-in enforced in production OU,Yes,Boolean,true|false,Public,Security Team,scp.deny_console_access.policy_name,Hard SOW requirement: no manual console access in production; break-glass procedure is the sole exception,2025-06-01
security.credentials_rotation_days,Security,90,90,90,Maximum age in days for integration API credentials before mandatory rotation,Yes,Integer,30-365,Public,Security Team,security.kms.log_archive_key_arn,Applies to SIEM and ITSM API credentials stored in Secrets Manager; Lambda rotation functions deployed,2025-06-01
security.access_review_frequency,Security,quarterly,quarterly,quarterly,Frequency of CISO-led IAM Identity Center permission set assignment reviews,Yes,String,"quarterly|monthly|annually",Public,Security Team,identity.sso.permission_set.operator,ISO 27001 A.9.2 access review control; results retained as compliance evidence,2025-06-01
scp.deny_console_access.policy_name,Security,cntso-deny-console-access-prod,cntso-deny-console-access-nonprod,cntso-deny-console-access-prod,Name of the SCP that blocks IAM user creation and console sign-in in production OU,Yes,String,Non-empty string matching naming convention,Confidential,Security Team,security.console_access_blocked_in_prod,SCP changes require ITSM change record + CISO approval; no console changes permitted,2025-06-01
scp.region_lock.allowed_regions,Security,"ap-southeast-2,ap-southeast-4","ap-southeast-2,ap-southeast-4","ap-southeast-2,ap-southeast-4",Comma-separated list of permitted AWS regions enforced by the region-lock SCP,Yes,List(String),Valid AWS region codes,Public,Security Team,solution.region.primary,Data sovereignty mandate: all services restricted to Australian regions; cannot include any non-AU region,2025-06-01
scp.encryption_enforce.policy_name,Security,cntso-enforce-encryption-org,cntso-enforce-encryption-org,cntso-enforce-encryption-org,Name of the SCP mandating encryption at rest for S3 and EBS across all accounts,Yes,String,Non-empty string matching naming convention,Confidential,Security Team,security.kms.log_archive_key_arn,Denies PutObject without KMS key; denies EBS volume creation without encryption; applied at org root OU,2025-06-01
identity.sso.idp_connector_count,Security,1,1,1,Number of on-premises IdP connectors configured in IAM Identity Center (SOW: 1 IdP),Yes,Integer,1-5,Public,Security Team,,SOW scope parameter; single on-premises enterprise directory federation via SAML 2.0,2025-06-01
identity.sso.saml_idp_metadata_url,Security,[idp-metadata-url],[idp-metadata-url],[idp-metadata-url],SAML 2.0 metadata URL of the on-premises enterprise directory identity provider,Yes,String,Valid HTTPS URL,Confidential,Security Team,identity.sso.idp_connector_count,Obtained from on-premises IdP team during Week 3 federation design workshop,2025-06-01
identity.sso.saml_signing_cert,Security,[saml-signing-cert],[saml-signing-cert],[saml-signing-cert],SAML 2.0 signing certificate PEM from the on-premises IdP pinned in IAM Identity Center,Yes,String,Valid PEM certificate,Secret,Security Team,identity.sso.saml_idp_metadata_url,Stored in Secrets Manager; must be updated in IAM Identity Center on each IdP cert rotation,2025-06-01
identity.sso.permission_set.developer,Security,Developer,Developer,Developer,IAM Identity Center permission set name for developer read-only access to own workload accounts,Yes,String,Non-empty alphanumeric,Public,Security Team,identity.sso.idp_connector_count,Read access to own workload account only; no IAM modifications; no production access per SOW,2025-06-01
identity.sso.permission_set.operator,Security,PlatformOperator,PlatformOperator,PlatformOperator,IAM Identity Center permission set name for operator read/write access to non-production accounts,Yes,String,Non-empty alphanumeric,Public,Security Team,identity.sso.idp_connector_count,Read/write non-prod via IaC pipeline roles; read-only production; ITSM change required for prod,2025-06-01
identity.sso.permission_set.security_viewer,Security,SecurityViewer,SecurityViewer,SecurityViewer,IAM Identity Center permission set name for read-only Security Hub and Config access in Audit account,Yes,String,Non-empty alphanumeric,Public,Security Team,identity.sso.idp_connector_count,Read-only to Security Hub / Config / GuardDuty in Audit and Log Archive accounts only,2025-06-01
identity.sso.permission_set.breakglass_session_minutes,Security,240,240,240,Maximum session duration in minutes for the BreakGlass emergency access role,Yes,Integer,60-480,Public,Security Team,security.console_access_blocked_in_prod,SOW: 4-hour (240 min) maximum break-glass session; requires CISO approval via ITSM; fully logged,2025-06-01
integration.siem.api_endpoint,Integration,[siem-api-endpoint],[siem-api-endpoint],[siem-api-endpoint],HTTPS endpoint for the on-premises SIEM event ingestion API used by the forwarding Lambda,Yes,String,Valid HTTPS URL,Confidential,Integration Team,integration.siem.api_key,Collected from SIEM administrator by Week 9; stored in Secrets Manager,2025-06-01
integration.siem.api_key,Integration,[siem-api-key],[siem-api-key],[siem-api-key],Bearer token for authenticating Lambda-to-SIEM API calls,Yes,String,Provider-specific token format,Secret,Integration Team,integration.siem.api_endpoint,Stored in Secrets Manager; rotated every 90 days via automated Lambda rotation function,2025-06-01
integration.siem.delivery_sla_minutes,Integration,5,5,5,Maximum acceptable end-to-end latency from Security Hub finding to SIEM ingestion in minutes,Yes,Integer,1-60,Public,Integration Team,integration.siem.api_endpoint,SOW success metric: Security Hub findings forwarded within 5 minutes of detection,2025-06-01
integration.siem.finding_severity_threshold,Integration,HIGH,HIGH,HIGH,"Minimum Security Hub finding severity forwarded to SIEM (CRITICAL, HIGH, MEDIUM, LOW, INFORMATIONAL)",Yes,String,"CRITICAL|HIGH|MEDIUM|LOW|INFORMATIONAL",Public,Integration Team,integration.siem.api_endpoint,SOW: CRITICAL and HIGH forwarded immediately; can be lowered to MEDIUM during hypercare tuning,2025-06-01
