# Sizing Guidelines
#WIDTH: 24,36,28,28,28,51
#ALIGN: left,left,center,center,center,left
Category,Component,Small,Medium,Large,Notes
Cloud Services,Inference Requests,<1M/month,1M-10M/month,>10M/month,Real-time patient risk score updates per month
Cloud Services,SageMaker Endpoints,1-2 endpoints,3-5 endpoints,6+ endpoints,Deployed real-time ML inference endpoints
Cloud Services,Training Data Volume,<100 GB,100 GB - 1 TB,>1 TB,Labelled clinical dataset for model training
Cloud Services,Kinesis Shards,2-5 shards,10-20 shards,40+ shards,Aggregate throughput for HL7/FHIR data ingestion
Cloud Services,HealthLake Storage,<500 GB,500 GB - 2 TB,>2 TB,PHI-compliant FHIR datastore capacity
Cloud Services,Bedrock Token Consumption,<5M tokens/month,5M-20M/month,>20M tokens/month,LLM tokens for clinical narrative generation
Software Licenses,Facility Count,1-3 hospitals,4-10 hospitals,11-18 hospitals,Number of hospital sites receiving CDS alerts
Support & Maintenance,Support Level,Business hours,24x5,24x7 premium,AWS support SLA and response coverage
Connectivity,EHR Integration Bandwidth,100 Mbps,500 Mbps,1+ Gbps,HL7 FHIR R4 and HL7 v2.3 feed throughput
Cloud Services,Concurrent Active Patients,<500,500-2500,>2500,Simultaneously monitored inpatient records

# Infrastructure Costs
#WIDTH: 23,30,50,12,16,12,15,12,12,15,30
#ALIGN: left,left,left,right,left,right,right,right,right,right,left
Category,Component,Description,Quantity,Unit,Unit Price,Annual Cost,Year 2,Year 3,3-Year Total,Notes
Cloud Services,SageMaker Inference Endpoints,"ml.m5.xlarge real-time endpoints x4 (sepsis + readmission + rapid-response + ensemble)",4,Instance/Month,420,=D11*F11*12,=G11,=G11*1.1,=G11+H11+I11,Real-time risk scoring; Year 3 adds model complexity uplift
Cloud Services,SageMaker Training Jobs,"On-demand ml.p3.2xlarge training; ~8 hrs/week model retraining and improvement",1,Service/Month,680,=D12*F12*12,=G12,=G12,=G12+H12+I12,Weekly retraining and batch evaluation jobs
Cloud Services,Kinesis Data Streams,"10 shards ingesting HL7 FHIR R4 events and HL7 v2.3 vitals streams from 18 hospitals",10,Shard/Month,15,=D13*F13*12,=G13,=G13*1.1,=G13+H13+I13,Event-driven real-time data ingestion pipeline
Cloud Services,Amazon MSK (Kafka),"3-broker msk.m5.large cluster for internal event bus between ingestion and inference",3,Broker/Month,215,=D14*F14*12,=G14,=G14,=G14+H14+I14,Decoupled messaging between pipeline stages
Cloud Services,Amazon HealthLake,"FHIR R4-compliant PHI datastore; 1 TB active storage + 500 GB import volume/month",1,Service/Month,1800,=D15*F15*12,=G15,=G15*1.1,=G15+H15+I15,HIPAA-eligible FHIR store with search and audit
Cloud Services,Amazon Bedrock (Claude),"LLM inference for clinical narrative generation; ~8M tokens/month across all facilities",1,Service/Month,1400,=D16*F16*12,=G16,=G16*1.15,=G16+H16+I16,Plain-language alert summaries for bedside staff; token growth in Year 3
Cloud Services,Amazon RDS (Aurora PostgreSQL),"db.r6g.large Multi-AZ cluster; operational data store for risk scores and alert history",2,Instance/Month,340,=D17*F17*12,=G17,=G17,=G17+H17+I17,Persistent risk score and audit trail storage
Cloud Services,Amazon Redshift,"ra3.xlplus node; longitudinal outcomes warehouse for model performance monitoring",1,Node/Month,650,=D18*F18*12,=G18,=G18,=G18+H18+I18,Analytics and model drift monitoring
Cloud Services,Amazon ElastiCache (Redis),"cache.r7g.large cluster; real-time patient context cache for sub-3s inference latency",2,Node/Month,215,=D19*F19*12,=G19,=G19,=G19+H19+I19,Low-latency patient feature store for inference
Cloud Services,Application Load Balancer,"2 ALBs: clinical dashboard API tier and internal ML inference routing",2,ALB/Month,22,=D20*F20*12,=G20,=G20,=G20+H20+I20,HTTPS termination and routing
Cloud Services,AWS Lambda,"Serverless alert dispatch and EHR write-back functions; ~12M invocations/month",1,Service/Month,180,=D21*F21*12,=G21,=G21,=G21+H21+I21,Epic FHIR write-back and SNS notification dispatch
Cloud Services,Amazon S3,"Raw data lake: HL7 event archive + model artefacts + audit exports; 5 TB",5000,GB/Month,0.023,=D22*F22*12,=G22,=G22,=G22+H22+I22,Versioned storage with Object Lock for HIPAA retention
