Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Business Drivers,"What are the top 3-5 business pain points that this AI recommendation engine is intended to solve?","Describe gaps in content discovery, user retention, or competitive differentiation","","Helps align technical scope with business outcomes and investor narrative"
BUS-002,Business Requirements,Business Drivers,"How does emotion-based content discovery differentiate ANP Streaming from competitors such as Spotify or Apple Music in the Christian market?","Explain unique value proposition and key differentiators","","Shapes the recommendation algorithm design and marketing positioning"
BUS-003,Business Requirements,Success Criteria,"What measurable outcomes define success for this project?","Examples: playlist click-through rate, session length increase, user retention lift, content classification accuracy %","","Establishes KPIs for solution validation and investor reporting"
BUS-004,Business Requirements,Success Criteria,"What minimum acceptable accuracy threshold is required for emotion and mood classification?","Provide target accuracy percentage and the evaluation methodology (e.g. human review, A/B testing)","","Directly drives ML model selection and training data requirements"
BUS-005,Business Requirements,Stakeholders,"Who are the internal subject-matter experts participating in discovery and review sessions?","Confirm availability of application/workload owner, infrastructure architect, network architect, and security architect","","Required roles per SOW; unavailability blocks discovery milestones"
BUS-006,Business Requirements,Stakeholders,"Who has final approval authority for scope-versus-budget trade-off decisions during the engagement?","Identify decision-maker and escalation path","","CEO (Lilly Goyah) is named as primary authority; confirm delegation if unavailable"
BUS-007,Business Requirements,Timeline,"Are there external deadlines (investor pitches, accelerator demo days, app store launches) that constrain delivery milestones?","Provide specific dates or windows","","May require phase re-sequencing or parallel workstreams"
BUS-008,Business Requirements,Timeline,"What is the expected review-and-approval turnaround for each phase deliverable?","SOW specifies three working days; confirm this is achievable given team availability","","Missed review windows cause downstream schedule slippage"
BUS-009,Business Requirements,Budget,"Has the $25,000 AWS Partner Funding (AFP) been submitted and approved, or is it still pending?","Confirm funding status and expected approval date","","nClouds does not begin work until AWS funding is approved per SOW"
BUS-010,Business Requirements,Budget,"Are there budget guardrails for ongoing AWS service-consumption costs during the build and test phases?","Provide monthly AWS spend ceiling during development","","Prevents unexpected cost overruns during model training and data ingestion"
BUS-011,Business Requirements,Growth Scenarios,"What is the current monthly active user (MAU) count, and what growth trajectory is assumed for investor projections?","Confirm baseline MAU and validate the 100 / 10,000 / 100,000 MAU tiers used for cost modeling","","Cost tiers directly feed investor and accelerator presentation materials"
BUS-012,Business Requirements,Regulatory Drivers,"Are there faith-community or cultural data-sensitivity expectations that affect how user emotional and behavioral data is handled?","Examples: parental controls, minor user data, community content standards","","May impose data-handling policies beyond standard regulatory compliance"
TECH-001,Technical Requirements,Current Infrastructure,"Describe the structure of the existing Firebase backend: collections, document schemas, and approximate record counts.","Include Firestore collection names, data types, and whether lyric or transcript files are stored in Firebase Storage or externally","","Baseline for catalog migration design and API integration planning"
TECH-002,Technical Requirements,Current Infrastructure,"What is the current size of the music and podcast catalog (number of tracks and episodes)?","Provide total count today and expected monthly upload rate","","Drives batch-classification compute sizing and storage estimates"
TECH-003,Technical Requirements,Current Infrastructure,"What percentage of catalog items already have lyric files or podcast transcript files available?","Estimate completeness: fully available, partially available, or not yet transcribed","","Determines whether a transcription pipeline (e.g. Amazon Transcribe) is in scope"
TECH-004,Technical Requirements,Current Infrastructure,"What metadata fields exist today for catalog items (titles, artist, existing tags, mood tags)?","Export or describe the existing metadata schema","","Input to catalog enrichment pipeline design and mood taxonomy mapping"
TECH-005,Technical Requirements,Cloud Platform,"Is there an existing AWS account to be used, or will a new account be provisioned for this project?","Confirm account ID and whether it sits inside an AWS Organization","","Account structure affects IAM, billing isolation, and AWS funding eligibility"
TECH-006,Technical Requirements,Cloud Platform,"What AWS regions are preferred for deployment of the AI/ML services?","Specify primary and optional secondary regions; note that some AI services have regional availability constraints","","Region selection affects service availability (e.g. Bedrock model availability) and data residency"
TECH-007,Technical Requirements,AI/ML - Content Intelligence,"Which audio analysis dimensions are required at ingest time?","Confirm required attributes: valence, energy, worship style, tempo, instrumentation, vocal style, language","","Determines whether Amazon Rekognition Audio, third-party APIs, or custom models are needed"
TECH-008,Technical Requirements,AI/ML - Content Intelligence,"What is the preferred approach for lyric and transcript emotion classification?","Options: Amazon Comprehend custom classifier, Amazon Bedrock LLM prompting, fine-tuned model on SageMaker, third-party NLP API","","Architecture and cost decision; affects training data requirements"
TECH-009,Technical Requirements,AI/ML - Content Intelligence,"Is a custom mood and emotion taxonomy already defined, or does it need to be designed during Phase 2?","If existing, provide the taxonomy (moods, emotions, worship styles, themes)","","Taxonomy is foundational input to all classification and recommendation logic"
TECH-010,Technical Requirements,AI/ML - Recommendation Engine,"What signals will feed the user preference-learning model at launch?","Confirm available signals: explicit mood input, genre selections, play/skip events, playlist saves, repeat plays","","Determines feature engineering scope and data collection requirements"
TECH-011,Technical Requirements,AI/ML - Recommendation Engine,"What is the expected latency budget for the playlist-generation API endpoint?","Provide target p50 and p99 response times (e.g. <500ms p99)","","Drives inference architecture: real-time SageMaker endpoint vs. pre-computed recommendations"
TECH-012,Technical Requirements,AI/ML - Recommendation Engine,"How frequently should the recommendation models be retrained?","Options: nightly batch, weekly, event-triggered (e.g. after N new interactions), or on-demand","","Determines SageMaker Pipeline scheduling and training compute costs"
TECH-013,Technical Requirements,AI/ML - Recommendation Engine,"Are cold-start recommendations required for brand-new users with no listening history?","Describe the expected behavior for new users (e.g. mood-only recommendations, genre preferences at onboarding)","","Cold-start strategy significantly affects algorithm design complexity"
TECH-014,Technical Requirements,API Layer,"What authentication mechanism does the FlutterFlow app currently use with Firebase?","Confirm: Firebase Auth (email/password, Google, Apple SSO) and whether JWTs or custom tokens are used","","Determines how the new AWS API layer integrates with existing auth without frontend changes"
TECH-015,Technical Requirements,API Layer,"What API gateway pattern is preferred for the AWS-hosted REST API?","Options: Amazon API Gateway (REST or HTTP), AWS AppSync (GraphQL), or ALB-fronted service","","API layer selection affects latency, cost, and developer experience"
TECH-016,Technical Requirements,API Layer,"Are there specific API versioning or backward-compatibility requirements?","Describe any versioning strategy needed to support the current FlutterFlow app without forced updates","","Ensures API contracts remain stable across build phases"
TECH-017,Technical Requirements,Data Schemas,"Are the user preference vector and content metadata schemas pre-defined, or will they be designed during Phase 1?","If pre-defined, share current schema drafts","","Schema design is a Phase 1 deliverable; existing drafts accelerate the work"
TECH-018,Technical Requirements,Data Storage,"What database or vector store is preferred for storing content embeddings and user preference vectors?","Options: Amazon OpenSearch Service (k-NN), pgvector on Aurora PostgreSQL, Pinecone, or DynamoDB","","Vector store selection drives similarity-search performance and cost"
TECH-019,Technical Requirements,Data Storage,"What are the expected volumes of user interaction events (plays, skips, mood inputs) at 100, 10,000, and 100,000 MAU?","Estimate daily events per active user","","Scales the event-ingestion pipeline (Kinesis, EventBridge) and storage tier selection"
TECH-020,Technical Requirements,Integration,"What FlutterFlow call patterns must the new API support without any frontend modification?","Describe existing API calls: endpoints, HTTP methods, request/response payload shapes","","The integration contract is fixed by the FlutterFlow app; API must conform exactly"
TECH-021,Technical Requirements,Integration,"Is there a Firebase Cloud Functions layer today that mediates between FlutterFlow and Firebase?","If yes, describe the functions and their logic","","May need to be replicated or superseded by AWS Lambda functions"
TECH-022,Technical Requirements,Performance,"What are the peak concurrent user expectations at each MAU tier (100, 10,000, 100,000)?","Estimate peak-to-average ratio and time-of-day patterns","","Drives API Gateway throttling limits and auto-scaling configuration"
SEC-001,Security & Compliance,Compliance Frameworks,"What compliance or privacy frameworks apply to ANP Streaming's user data?","Examples: GDPR (EU users), CCPA (California), COPPA (under-13 users), SOC 2 Type II","","Determines data-handling controls, consent management, and audit requirements"
SEC-002,Security & Compliance,Data Classification,"What is the sensitivity classification of user emotional and behavioral data collected by the platform?","Classify data: Public, Internal, Confidential, or Restricted/Sensitive","","Emotional and mental-health-adjacent data may warrant heightened protection"
SEC-003,Security & Compliance,Authentication,"What identity provider (IdP) will authenticate API calls from the FlutterFlow app to the AWS API layer?","Options: Firebase Auth JWT validation via API Gateway Lambda authorizer, Amazon Cognito federation, or custom authorizer","","Auth integration is critical path for API layer design"
SEC-004,Security & Compliance,Authentication,"Is multi-factor authentication (MFA) required for administrative access to AWS resources?","Confirm MFA policy for IAM users and federated console access","","AWS security baseline; impacts IAM design and admin access patterns"
SEC-005,Security & Compliance,Data Residency,"Are there geographic restrictions on where user data and ML model artifacts may be stored?","Specify required AWS regions or countries; note any data-export restrictions","","Affects region selection for S3, SageMaker, and database services"
SEC-006,Security & Compliance,Encryption,"What encryption requirements apply to data at rest and in transit?","Confirm: S3 SSE-KMS, RDS/Aurora encryption, TLS 1.2+ for all API traffic, KMS key ownership (AWS-managed vs. customer-managed)","","Security baseline and compliance requirement"
SEC-007,Security & Compliance,Network Security,"Should the AI/ML services be deployed within a VPC with private subnets?","Confirm VPC isolation requirements, NAT gateway usage, and whether public internet endpoints are permissible","","Network architecture decision affecting cost and security posture"
SEC-008,Security & Compliance,Audit Logging,"What audit and logging requirements apply?","Confirm: AWS CloudTrail enabled, API Gateway access logs, SageMaker model invocation logs, retention period","","Compliance and incident-response requirement"
SEC-009,Security & Compliance,Vulnerability Management,"What is the patch cadence and vulnerability scanning expectation for container images and Lambda functions?","Confirm: Amazon Inspector, ECR image scanning, or third-party tool","","Operational security posture and compliance requirement"
SEC-010,Security & Compliance,Data Governance,"Are there content moderation requirements for user-uploaded audio or lyrics?","Examples: flagging explicit content, age-appropriate filtering, community standards enforcement","","May require Amazon Rekognition Moderation or custom moderation pipeline"
OPS-001,Operations & Support,RTO,"What is the maximum acceptable Recovery Time Objective (RTO) for the AI recommendation API?","Maximum downtime before service is restored — e.g. <1 hour, <4 hours, <24 hours","","Determines multi-AZ vs. multi-region deployment and failover automation"
OPS-002,Operations & Support,RPO,"What is the maximum acceptable Recovery Point Objective (RPO) for user preference and interaction data?","Maximum data loss in time — e.g. zero data loss, <1 hour, <24 hours","","Drives backup frequency for DynamoDB, Aurora, and S3 model artifacts"
OPS-003,Operations & Support,Monitoring,"What monitoring and alerting tooling is preferred or already in use?","Options: Amazon CloudWatch, Grafana, Datadog, PagerDuty, or existing Firebase/GCP monitoring stack","","Observability design for API latency, model drift, and pipeline failures"
OPS-004,Operations & Support,Monitoring,"What SageMaker model quality metrics need to be monitored in production?","Examples: recommendation click-through rate, classification confidence distribution, data drift","","Model monitoring drives retraining triggers and model quality governance"
OPS-005,Operations & Support,Support Coverage,"What support coverage is required for the deployed AWS services?","Options: business hours (8x5), extended (24x5), or 24x7 with defined SLAs","","Determines AWS Support plan tier and on-call operational requirements"
OPS-006,Operations & Support,Maintenance Windows,"Are there maintenance windows during which the recommendation API may be briefly unavailable?","Specify acceptable days and times for patching, model updates, or schema migrations","","Required for planning zero-downtime vs. maintenance-window deployment strategies"
OPS-007,Operations & Support,Capacity Planning,"How should the platform scale automatically as MAU grows from 100 to 100,000?","Confirm auto-scaling policies for API Gateway, Lambda, ECS/Fargate, and SageMaker endpoints","","Auto-scaling design directly impacts cost efficiency and investor cost projections"
OPS-008,Operations & Support,Training & Handoff,"Who on the ANP team will own day-to-day operations of the AWS platform post-handoff?","Identify role and current AWS skill level","","Determines depth of runbook documentation and knowledge-transfer sessions required"
IMPL-001,Implementation Planning,Migration Approach,"Will the existing Firebase catalog metadata be migrated to AWS storage, or will the AWS system read from Firebase at runtime?","Describe preferred integration: Firebase as source-of-truth vs. full catalog migration to AWS","","Architecture decision with significant cost and complexity implications"
IMPL-002,Implementation Planning,Migration Approach,"For the initial catalog batch-classification run, what is the priority order for processing existing catalog items?","Examples: most-streamed first, most recently uploaded, all tracks before podcasts","","Determines Phase 2 pipeline run order and time-to-first-value"
IMPL-003,Implementation Planning,Downtime Tolerance,"Can the existing FlutterFlow app remain fully operational during the AWS API integration phase?","Confirm zero-downtime requirement for the existing Firebase-backed app during Phase 4","","Integration must be additive (API layer added without disrupting existing Firebase calls)"
IMPL-004,Implementation Planning,Resources,"What internal ANP team members are available to participate in the requirements workshop and phase reviews?","Confirm names, roles, and time commitment (hours per week)","","Resource availability is on the critical path for Phase 1 deliverables"
IMPL-005,Implementation Planning,Resources,"Will ANP provide sample audio files, lyric files, and transcript files for Phase 2 testing?","Confirm availability of representative test data covering diverse music styles and languages","","Phase 2 classification pipeline cannot be validated without representative test data"
IMPL-006,Implementation Planning,Training Needs,"What AWS services training is required for the ANP team to operate the delivered platform?","Assess current AWS skill level: none, beginner, intermediate, advanced","","Determines scope of two knowledge-transfer sessions specified in the SOW"
IMPL-007,Implementation Planning,UAT & Go-Live,"What are the user acceptance testing (UAT) criteria for the recommendation API?","Define pass/fail criteria for each API endpoint (classification accuracy, playlist relevance, latency)","","UAT criteria must be agreed before Phase 5 to prevent scope disputes at handoff"
IMPL-008,Implementation Planning,Documentation,"What documentation artifacts are required beyond the SOW-specified runbooks and API contracts?","Examples: data flow diagrams, model cards, cost optimization guides, onboarding guides for new engineers","","Scopes documentation effort and ensures nothing is missed at handoff"
IMPL-009,Implementation Planning,Go-Live Readiness,"Are there any third-party approvals or procurement actions required before AWS services can be provisioned?","Examples: AWS Marketplace subscriptions, data licensing agreements for audio analysis APIs, legal review of user data collection","","Procurement delays can block technical work; early identification is critical"
RISK-001,Risk & Constraints,Project Risks,"What risks does the ANP team foresee that could delay the project or reduce scope?","Examples: team bandwidth, unclear mood taxonomy, availability of labeled training data, Firebase export limitations","","Risk register input for project kick-off; early visibility enables mitigation planning"
RISK-002,Risk & Constraints,Dependencies,"Are there any other active technology projects at ANP that share resources or infrastructure with this engagement?","Examples: FlutterFlow app rewrite, new artist portal, marketing platform migration","","Shared resources or conflicting timelines may create contention"
RISK-003,Risk & Constraints,Training Data,"What labeled training data exists today for emotion and mood classification?","Confirm: human-labeled tracks, crowd-sourced annotations, licensed third-party datasets, or none","","Absence of labeled data is the highest technical risk to Phase 2 classification accuracy"
RISK-004,Risk & Constraints,Constraints,"Are there technology constraints that limit the choice of AWS AI/ML services?","Examples: prohibition on sending audio content to third-party APIs, data-export restrictions from Firebase, open-source-only model requirement","","Constraints narrow service selection and may increase custom development effort"
RISK-005,Risk & Constraints,Assumptions,"What assumptions is ANP making about the capabilities of this AI platform at launch?","Capture any expectations around feature completeness that may be out of scope for this engagement","","Misaligned expectations are the leading cause of post-delivery disputes; surface early"
