#WIDTH: 38,14,25,25,25,50,8,15,28,12,18,22,30,12
#ALIGN: left,left,left,left,left,left,center,center,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,medcore-cds,medcore-cds,medcore-cds,Solution identifier used for resource naming and tagging across all environments,Yes,String,lowercase alphanumeric hyphens only max 50 chars,Public,Cloud CoE,,,2025-06-18
solution.region.primary,Project,us-east-1,us-east-1,us-west-2,Primary AWS region for all active CDS Platform resources,Yes,String,Valid AWS region code,Public,Cloud CoE,,DR region is us-west-2 passive standby per SOW multi-region design,2025-06-18
solution.region.dr,Project,us-west-2,us-west-2,us-west-2,Passive disaster recovery AWS region for CDS Platform,Yes,String,Valid AWS region code,Public,Cloud CoE,solution.region.primary,Route 53 health-check failover promotes DR region; RTO target ≤ 4 hours,2025-06-18
solution.environment,Project,prod,qa,prod,Deployment environment identifier used in all resource names and tags,Yes,String,"prod|staging|qa|dev",Public,Cloud CoE,,DR environment mirrors production configuration,2025-06-18
solution.account_id,Project,[aws-account-id],[aws-account-id],[aws-account-id],Dedicated AWS account ID under MedCore Clinical Applications OU,Yes,String,12-digit numeric,Confidential,Cloud CoE,,Dedicated CDS account under Clinical Applications OU per SOW scope,2025-06-18
solution.opportunity_no,Project,OPP-2026-0047,OPP-2026-0047,OPP-2026-0047,Amatra opportunity number for cost allocation and billing reference,Yes,String,OPP-YYYY-NNNN format,Public,Cloud CoE,,Referenced on all Amatra invoices per SOW Terms section,2025-06-18
solution.phase,Project,phase1,phase1,phase1,Current active delivery phase; updated at each phase go-live milestone,Yes,String,"phase1|phase2|phase3",Public,Cloud CoE,,Phase 1 go-live target 2026-10-31; Phase 2 by 2027-02-28; Phase 3 by 2027-06-30,2025-06-18
aws.organization_ou,Project,Clinical Applications OU,Clinical Applications OU,Clinical Applications OU,AWS Organizations OU under which the CDS account is provisioned,Yes,String,Valid OU name or ID,Confidential,Cloud CoE,solution.account_id,SCPs at OU level prevent PHI leaving US regions and block direct console changes in production,2025-06-18
application.name,Application,medcore-cds,medcore-cds,medcore-cds,Application identifier used for logging and monitoring across all tiers,Yes,String,Alphanumeric and hyphens max 50 chars,Public,Development,solution.name,,2025-06-18
application.version,Application,1.0.0,1.0.0,1.0.0,Current application version; updated on each production deployment,Yes,String,Semantic versioning X.Y.Z,Public,Development,,Follows blue/green deployment; version must match SageMaker Model Registry promoted version,2025-06-18
application.log_level,Application,info,debug,info,Logging verbosity for all ECS Fargate tasks and Lambda functions,Yes,String,"debug|info|warn|error",Public,Operations,,Production and DR use info; QA uses debug per SOW environment strategy,2025-06-18
application.port,Application,8080,8080,8080,Application server port for ECS Fargate clinical dashboard and API backend containers,Yes,Integer,1024-65535,Public,Development,networking.alb_dashboard_id,ALB Security Group must allow inbound on this port from ALB only; no direct public access,2025-06-18
application.timeout_seconds,Application,30,30,30,HTTP request timeout in seconds for clinical dashboard API endpoints,Yes,Integer,1-300,Public,Development,,Must exceed inference latency budget; dashboard API timeout aligned to 3-second SLA,2025-06-18
application.concurrency_max,Application,12,4,12,Maximum ECS Fargate task count for dashboard and API backend auto-scaling ceiling,Yes,Integer,1-100,Public,Development,compute.ecs.scaling_min,Ceiling sized for 18-hospital peak load; scale-out triggered on ALB request count per task,2025-06-18
application.session_timeout_hours,Application,8,8,8,Clinical dashboard session token expiry in hours aligned to clinical shift length,Yes,Integer,1-24,Public,Security Team,security.cognito.user_pool_id,Cognito session expiry must match; aligned to Azure AD SAML re-authentication policy per security design,2025-06-18
compute.ecs.cluster_name,Compute,medcore-cds-prod-cluster,medcore-cds-qa-cluster,medcore-cds-prod-cluster,ECS cluster name for dashboard and API backend Fargate tasks,Yes,String,medcore-cds-{env}-cluster pattern,Public,Cloud CoE,solution.environment,,2025-06-18
compute.ecs.task_cpu,Compute,2048,1024,2048,CPU units allocated per ECS Fargate task (1024 = 1 vCPU),Yes,Integer,"256|512|1024|2048|4096",Public,Development,,2 vCPU per task per detailed design compute sizing; scale to 4096 if P95 latency elevated,2025-06-18
compute.ecs.task_memory_mb,Compute,4096,2048,4096,Memory in MB allocated per ECS Fargate task,Yes,Integer,"512|1024|2048|4096|8192|16384",Public,Development,compute.ecs.task_cpu,Must be a valid Fargate CPU/memory combination per AWS documentation,2025-06-18
compute.ecs.scaling_min,Compute,4,2,4,Minimum ECS Fargate task count across all AZs for dashboard and API tiers,Yes,Integer,1-100,Public,Operations,,Minimum 4 tasks ensures at least 2 per AZ across 2 AZs; supports 99.95% availability SLA,2025-06-18
compute.ecs.scaling_max,Compute,12,4,12,Maximum ECS Fargate task count for auto-scaling ceiling,Yes,Integer,1-200,Public,Operations,compute.ecs.scaling_min,Ceiling sized for 18-hospital concurrent peak; scale-out on ALB request count metric,2025-06-18
compute.lambda.fhir_connector.memory_mb,Compute,1024,512,1024,Memory in MB for Epic FHIR R4 connector Lambda function,Yes,Integer,128-10240,Public,Development,,Sized for JSON parsing and Kinesis produce operations; increase if P99 latency exceeds 500ms,2025-06-18
compute.lambda.fhir_connector.timeout_seconds,Compute,30,30,30,Timeout in seconds for Epic FHIR R4 connector Lambda function,Yes,Integer,1-900,Public,Development,compute.lambda.fhir_connector.memory_mb,Must complete within 30s including schema validation and Kinesis produce,2025-06-18
compute.lambda.hl7_adapter.memory_mb,Compute,1024,512,1024,Memory in MB for HL7 v2.3 Mirth Connect adapter Lambda function,Yes,Integer,128-10240,Public,Development,,Processes ADT and ORU message types from Mirth Connect via PrivateLink,2025-06-18
compute.lambda.hl7_adapter.timeout_seconds,Compute,30,30,30,Timeout in seconds for HL7 v2.3 Mirth Connect adapter Lambda function,Yes,Integer,1-900,Public,Development,compute.lambda.hl7_adapter.memory_mb,Must complete within 30s including HL7 segment parsing and Kinesis produce,2025-06-18
compute.lambda.inference_orchestrator.memory_mb,Compute,2048,1024,2048,Memory in MB for inference orchestrator Lambda (retrieves features and invokes SageMaker endpoints),Yes,Integer,128-10240,Public,Development,,Must accommodate ElastiCache read + SageMaker invoke + Bedrock invoke within 3-second budget,2025-06-18
compute.lambda.alert_router.memory_mb,Compute,512,256,512,Memory in MB for alert routing Lambda (EventBridge to SNS and Epic CDS Hooks write-back),Yes,Integer,128-10240,Public,Development,cache.elasticache.cluster_id,Handles duplicate suppression via Redis and alert persistence to RDS Aurora,2025-06-18
compute.sagemaker.sepsis_endpoint.instance_type,Compute,ml.m5.xlarge,ml.m5.large,ml.m5.xlarge,SageMaker real-time inference endpoint instance type for sepsis risk model,Yes,String,Valid SageMaker instance type,Public,Cloud CoE,compute.sagemaker.sepsis_endpoint.min_instances,Upgrade to ml.m5.2xlarge if CPU exceeds 70% at peak load per monitoring thresholds,2025-06-18
compute.sagemaker.sepsis_endpoint.min_instances,Compute,2,1,2,Minimum instance count for sepsis SageMaker endpoint; ensures multi-AZ coverage,Yes,Integer,1-10,Public,Cloud CoE,,Minimum 2 required for 99.95% availability SLA; auto-scales up to 6 at peak load,2025-06-18
compute.sagemaker.sepsis_endpoint.max_instances,Compute,6,2,6,Maximum instance count for sepsis SageMaker endpoint auto-scaling policy,Yes,Integer,1-100,Public,Cloud CoE,compute.sagemaker.sepsis_endpoint.min_instances,Scale-out on SageMakerVariantInvocationsPerInstance metric at 70% CPU threshold,2025-06-18
compute.sagemaker.readmission_endpoint.instance_type,Compute,ml.m5.xlarge,ml.m5.large,ml.m5.xlarge,SageMaker real-time inference endpoint instance type for 30-day readmission model (Phase 2),Yes,String,Valid SageMaker instance type,Public,Cloud CoE,compute.sagemaker.readmission_endpoint.min_instances,Phase 2 model; deployed by 2027-02-28 per SOW milestone M6,2025-06-18
compute.sagemaker.readmission_endpoint.min_instances,Compute,2,1,2,Minimum instance count for readmission SageMaker endpoint,Yes,Integer,1-10,Public,Cloud CoE,,Phase 2 deployment; same sizing pattern as sepsis endpoint,2025-06-18
compute.sagemaker.rapid_response_endpoint.instance_type,Compute,ml.m5.xlarge,ml.m5.large,ml.m5.xlarge,SageMaker real-time inference endpoint instance type for rapid-response / early deterioration model (Phase 2),Yes,String,Valid SageMaker instance type,Public,Cloud CoE,compute.sagemaker.rapid_response_endpoint.min_instances,Phase 2 model; deployed by 2027-02-28 per SOW milestone M6,2025-06-18
compute.sagemaker.rapid_response_endpoint.min_instances,Compute,2,1,2,Minimum instance count for rapid-response SageMaker endpoint,Yes,Integer,1-10,Public,Cloud CoE,,Phase 2 deployment; same HA sizing pattern as sepsis endpoint,2025-06-18
compute.sagemaker.training.instance_type,Compute,ml.p3.2xlarge,ml.m5.xlarge,ml.p3.2xlarge,SageMaker training job instance type for weekly model retraining pipelines,Yes,String,Valid SageMaker instance type,Public,Cloud CoE,,On-demand only; no standing instances; Spot training available for non-critical retraining runs,2025-06-18
database.aurora.cluster_identifier,Database,medcore-cds-prod-aurora-cluster,medcore-cds-qa-aurora-cluster,medcore-cds-prod-aurora-cluster,RDS Aurora PostgreSQL cluster identifier for risk scores and alert history,Yes,String,medcore-cds-{env}-aurora-cluster pattern,Confidential,Database Team,solution.environment,Stores risk scores and alert history; PHI-adjacent data; KMS encrypted at rest,2025-06-18
database.aurora.instance_type,Database,db.r6g.large,db.r6g.medium,db.r6g.large,RDS Aurora PostgreSQL instance class for primary and replica nodes,Yes,String,Valid RDS instance class,Public,Database Team,database.aurora.cluster_identifier,db.r6g.large per detailed design compute sizing; scale up if replica lag exceeds 5 seconds,2025-06-18
database.aurora.multi_az_enabled,Database,true,false,true,Enable Multi-AZ replication for Aurora PostgreSQL primary instance,Yes,Boolean,true|false,Public,Database Team,database.aurora.cluster_identifier,Must be true in production and DR to meet 99.95% availability SLA; 30-60s automatic failover,2025-06-18
database.aurora.backup_retention_days,Database,35,7,35,Automated snapshot retention period in days for Aurora PostgreSQL,Yes,Integer,1-35,Public,Database Team,database.aurora.cluster_identifier,35-day maximum enables PITR for full audit window; HIPAA archive via S3 for 7-year minimum,2025-06-18
database.aurora.db_name,Database,medcore_cds,medcore_cds,medcore_cds,Database name within the Aurora PostgreSQL cluster,Yes,String,Lowercase alphanumeric underscores,Confidential,Database Team,database.aurora.cluster_identifier,,2025-06-18
database.aurora.master_username,Database,[aurora-master-username],[aurora-master-username],[aurora-master-username],Aurora PostgreSQL master username stored in Secrets Manager; never in plaintext,Yes,String,Valid PostgreSQL username,Secret,Database Team,security.secrets_manager.aurora_secret_arn,Rotated automatically every 30 days via Secrets Manager RDS rotation Lambda,2025-06-18
database.aurora.master_password,Database,[aurora-master-password],[aurora-master-password],[aurora-master-password],Aurora PostgreSQL master password stored in Secrets Manager; never committed to IaC or code,Yes,String,Min 16 chars with complexity requirements,Secret,Database Team,security.secrets_manager.aurora_secret_arn,30-day automatic rotation via Secrets Manager; never stored in environment variables or logs,2025-06-18
database.aurora.ssl_mode,Database,require,require,require,SSL enforcement mode for Aurora PostgreSQL client connections,Yes,String,"disable|allow|prefer|require|verify-ca|verify-full",Confidential,Security Team,database.aurora.cluster_identifier,HIPAA TLS 1.2+ mandate; all application connections must present valid SSL,2025-06-18
database.aurora.deletion_protection,Database,true,false,true,Enable deletion protection on Aurora cluster to prevent accidental drops,Yes,Boolean,true|false,Public,Database Team,database.aurora.cluster_identifier,Must be true in production and DR; AWS Config rule enforces compliance,2025-06-18
cache.elasticache.cluster_id,Cache,medcore-cds-prod-redis,medcore-cds-qa-redis,medcore-cds-prod-redis,ElastiCache Redis cluster identifier for patient context and feature vector caching,Yes,String,medcore-cds-{env}-redis pattern,Confidential,Infrastructure,solution.environment,Sub-3-second inference SLA requires sub-millisecond cache reads; target cache hit ratio ≥ 90%,2025-06-18
cache.elasticache.node_type,Cache,cache.r7g.large,cache.r6g.medium,cache.r7g.large,ElastiCache Redis node instance type,Yes,String,Valid ElastiCache node type,Public,Infrastructure,cache.elasticache.cluster_id,r7g.large provides 13GB memory; right-size after 90 days of production cache hit ratio data,2025-06-18
cache.elasticache.multi_az_enabled,Cache,true,false,true,Enable Multi-AZ replication with automatic failover for ElastiCache Redis,Yes,Boolean,true|false,Public,Infrastructure,cache.elasticache.cluster_id,Primary (us-east-1a) + replica (us-east-1b); 60-second automatic failover on primary failure,2025-06-18
cache.elasticache.at_rest_encryption,Cache,true,true,true,Enable encryption at rest for ElastiCache Redis using dedicated KMS CMK,Yes,Boolean,true|false,Public,Security Team,"cache.elasticache.cluster_id, security.kms.elasticache_key_id",HIPAA PHI protection mandate; separate CMK per data store for blast-radius isolation,2025-06-18
cache.elasticache.ttl_patient_context_seconds,Cache,14400,14400,14400,TTL in seconds for patient feature vector entries in Redis (4 hours = maximum clinical review window),Yes,Integer,60-86400,Public,Development,cache.elasticache.cluster_id,4-hour TTL aligned to active inpatient clinical review window per data architecture design,2025-06-18
cache.elasticache.duplicate_suppression_ttl_seconds,Cache,1800,1800,1800,TTL in seconds for alert duplicate suppression window in Redis (30 minutes per alert type),Yes,Integer,60-3600,Public,Development,cache.elasticache.cluster_id,Prevents repeated same-type alerts per patient within 30-minute window; configurable via SSM,2025-06-18
security.kms.healthlake_key_id,Security,[kms-healthlake-key-id],[kms-healthlake-key-id],[kms-healthlake-key-id],KMS CMK ARN for encrypting Amazon HealthLake PHI FHIR datastore,Yes,String,Valid KMS key ARN or alias,Secret,Security Team,,Dedicated CMK per datastore for blast-radius isolation; annual auto-rotation; CISO holds admin,2025-06-18
security.kms.aurora_key_id,Security,[kms-aurora-key-id],[kms-aurora-key-id],[kms-aurora-key-id],KMS CMK ARN for encrypting RDS Aurora PostgreSQL data at rest,Yes,String,Valid KMS key ARN or alias,Secret,Security Team,,Separate CMK from HealthLake CMK; key deletion requires 30-day waiting period and CISO approval,2025-06-18
security.kms.s3_datalake_key_id,Security,[kms-s3-datalake-key-id],[kms-s3-datalake-key-id],[kms-s3-datalake-key-id],KMS CMK ARN for encrypting S3 data lake buckets (HL7 event archive and ML artefacts),Yes,String,Valid KMS key ARN or alias,Secret,Security Team,,PHI classified as Restricted; separate CMK from audit bucket for blast-radius isolation,2025-06-18
security.kms.s3_audit_key_id,Security,[kms-s3-audit-key-id],[kms-s3-audit-key-id],[kms-s3-audit-key-id],KMS CMK ARN for encrypting S3 CloudTrail audit log delivery bucket,Yes,String,Valid KMS key ARN or alias,Secret,Security Team,,7-year WORM retention via S3 Object Lock Compliance mode; HIPAA §164.312(b) requirement,2025-06-18
security.kms.elasticache_key_id,Security,[kms-elasticache-key-id],[kms-elasticache-key-id],[kms-elasticache-key-id],KMS CMK ARN for encrypting ElastiCache Redis at rest,Yes,String,Valid KMS key ARN or alias,Secret,Security Team,cache.elasticache.cluster_id,Patient feature vectors contain PHI-adjacent data; dedicated CMK per security design,2025-06-18
security.kms.ebs_key_id,Security,[kms-ebs-key-id],[kms-ebs-key-id],[kms-ebs-key-id],KMS CMK ARN for encrypting EBS volumes attached to MSK brokers and SageMaker instances,Yes,String,Valid KMS key ARN or alias,Secret,Security Team,,Covers MSK broker EBS and SageMaker training job storage; annual auto-rotation enabled,2025-06-18
security.kms.key_rotation_enabled,Security,true,true,true,Enable automatic annual rotation for all KMS Customer Managed Keys,Yes,Boolean,true|false,Public,Security Team,,HIPAA and SOC 2 control; AWS Config rule generates non-compliant finding if rotation disabled,2025-06-18
security.cognito.user_pool_id,Security,[cognito-user-pool-id],[cognito-user-pool-id],[cognito-user-pool-id],Amazon Cognito User Pool ID for SAML 2.0 federation and RBAC enforcement,Yes,String,Valid Cognito User Pool ID format,Confidential,Security Team,,Federated to Azure AD via SAML 2.0; enforces 4 clinical role types per IAM design,2025-06-18
security.cognito.client_id,Security,[cognito-app-client-id],[cognito-app-client-id],[cognito-app-client-id],Cognito App Client ID for the clinical dashboard SPA OAuth 2.0 flow,Yes,String,Alphanumeric Cognito client ID,Confidential,Security Team,security.cognito.user_pool_id,JWT issued to this client; validated by Lambda authorizer on all API Gateway calls,2025-06-18
security.saml.azure_ad_metadata_url,Security,[azure-ad-saml-metadata-url],[azure-ad-saml-metadata-url],[azure-ad-saml-metadata-url],Azure Active Directory SAML 2.0 IdP metadata endpoint URL for Cognito federation,Yes,String,Valid HTTPS URL,Confidential,Security Team,security.cognito.user_pool_id,MedCore identity admin must provide SAML metadata by Week 10 per SOW dependency schedule,2025-06-18
security.mfa_enabled,Security,true,false,true,Require multi-factor authentication; enforced at Azure AD layer per MedCore policy,Yes,Boolean,true|false,Public,Security Team,security.saml.azure_ad_metadata_url,MFA enforced by Azure AD (Microsoft Authenticator); Amatra does not modify Azure AD MFA config,2025-06-18
security.cloudtrail_trail_arn,Security,[cloudtrail-trail-arn],[cloudtrail-trail-arn],[cloudtrail-trail-arn],ARN of the organization-level CloudTrail trail for PHI audit logging,Yes,String,Valid CloudTrail trail ARN,Confidential,Security Team,storage.s3.audit_bucket_name,7-year WORM retention; log file validation enabled; disabling generates Critical Security Hub finding,2025-06-18
