#WIDTH: 38,14,25,25,25,50,8,15,28,12,18,22,30,12
#ALIGN: left,left,left,left,left,left,center,center,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,amatra-intelligent-solution-builder,amatra-intelligent-solution-builder,amatra-intelligent-solution-builder,Solution identifier used for resource naming and tagging across all environments,Yes,String,lowercase alphanumeric and hyphens only,Public,Cloud CoE,,,2025-06-15
solution.region.primary,Project,us-west-2,us-west-2,us-east-1,Primary AWS region for all solution resources per SOW data residency requirement,Yes,String,Valid AWS region code,Public,Cloud CoE,,Single-region per SOW; DR replica in us-east-1 for S3 only — DynamoDB restored from PITR not replica,2025-06-15
solution.environment,Project,prod,dev,dr,Deployment environment identifier used in resource naming and tagging,Yes,String,"prod|staging|dev|dr",Public,Cloud CoE,,DR environment targets us-east-1 S3 bucket replication; all DynamoDB is us-west-2 primary only,2025-06-15
solution.version,Project,1.0.0,1.0.0,1.0.0,Current platform release version for deployment tagging and artifact metadata,Yes,String,Semantic versioning X.Y.Z,Public,Cloud CoE,,,2025-06-15
aws.account_id,Project,[aws-account-id],[aws-account-id],[aws-account-id],12-digit AWS account identifier for IAM ARN construction and cross-service references,Yes,String,12-digit numeric string,Confidential,Cloud CoE,,Different account IDs per environment are recommended; confirm with Amatra IT,2025-06-15
aws.region,Project,us-west-2,us-west-2,us-east-1,AWS region code passed to Terraform and SDK clients; must match solution.region.primary,Yes,String,Valid AWS region code,Public,Cloud CoE,solution.region.primary,Must always match solution.region.primary to prevent cross-region resource drift,2025-06-15
application.name,Application,amatra-intelligent-solution-builder,amatra-intelligent-solution-builder,amatra-intelligent-solution-builder,Application identifier used in CloudWatch log group names and Datadog service tagging,Yes,String,Alphanumeric and hyphens; max 64 chars,Public,Development,solution.name,Must match solution.name for consistent tagging across observability tools,2025-06-15
application.version,Application,1.0.0,1.0.0,1.0.0,Deployed application version injected into Lambda environment variables for health-check responses,Yes,String,Semantic versioning X.Y.Z,Public,Development,,,2025-06-15
application.log_level,Application,info,debug,info,Logging verbosity for all Lambda functions using AWS Lambda Powertools Logger,Yes,String,"debug|info|warn|error",Public,Operations,,Production set to info to reduce CloudWatch log volume and cost; debug only in Dev,2025-06-15
application.artifact_types,Application,"discovery-questionnaire,solution-briefing,statement-of-work,infrastructure-costs,level-of-effort-estimate,detailed-design,terraform-automation","discovery-questionnaire,solution-briefing,statement-of-work,infrastructure-costs,level-of-effort-estimate,detailed-design,terraform-automation","discovery-questionnaire,solution-briefing,statement-of-work,infrastructure-costs,level-of-effort-estimate,detailed-design,terraform-automation",Comma-separated list of the 7 artifact types supported by the generation pipeline per SOW scope,Yes,List(String),Each entry must match a valid prompt template key in S3,Public,Development,,Adding new artifact types beyond these 7 requires a SOW change request,2025-06-15
application.max_concurrent_jobs,Application,10,3,10,Maximum number of concurrent Step Functions generation workflows permitted simultaneously,Yes,Integer,1-100,Public,Operations,compute.lambda.bedrock_orchestration.reserved_concurrency,Sized for peak load of 24 engagements/quarter; matches load test scenario of 10 concurrent jobs,2025-06-15
application.job_timeout_minutes,Application,90,90,90,Maximum allowed duration for a single generation workflow before it is marked as timed out,Yes,Integer,30-180,Public,Operations,compute.stepfunctions.workflow_name,Set to 90 min to allow buffer above the expected 30–60 min generation window per SOW,2025-06-15
application.presigned_url_expiry_seconds,Application,3600,3600,3600,Expiry time in seconds for S3 pre-signed artifact download URLs returned by the Artifact Retrieval Lambda,Yes,Integer,300-86400,Public,Development,storage.s3.artifacts_bucket_name,1-hour expiry per design doc; balance between usability and security posture,2025-06-15
compute.lambda.brief_submission.memory_mb,Compute,512,512,512,Memory allocation for the Brief Submission Lambda function,Yes,Integer,128-10240,Public,Development,,Sized for JSON validation and DynamoDB/SQS calls; increase if P99 duration exceeds 10 seconds,2025-06-15
compute.lambda.brief_submission.timeout_seconds,Compute,30,30,30,Timeout for the Brief Submission Lambda function in seconds,Yes,Integer,1-900,Public,Development,compute.lambda.brief_submission.memory_mb,,2025-06-15
compute.lambda.brief_submission.reserved_concurrency,Compute,50,10,50,Reserved concurrency for the Brief Submission Lambda to prevent noisy-neighbour starvation,Yes,Integer,1-1000,Public,Development,,Sized for 24 engagements/quarter burst; review during hypercare based on actual concurrency,2025-06-15
compute.lambda.job_status.memory_mb,Compute,256,256,256,Memory allocation for the Job Status polling Lambda function,Yes,Integer,128-10240,Public,Development,,,2025-06-15
compute.lambda.job_status.timeout_seconds,Compute,10,10,10,Timeout for the Job Status Lambda in seconds; DynamoDB read only — low latency expected,Yes,Integer,1-900,Public,Development,compute.lambda.job_status.memory_mb,,2025-06-15
compute.lambda.job_status.reserved_concurrency,Compute,20,5,20,Reserved concurrency for the Job Status Lambda,Yes,Integer,1-1000,Public,Development,,,2025-06-15
compute.lambda.artifact_retrieval.memory_mb,Compute,256,256,256,Memory allocation for the Artifact Retrieval Lambda that generates pre-signed S3 URLs,Yes,Integer,128-10240,Public,Development,,,2025-06-15
compute.lambda.artifact_retrieval.timeout_seconds,Compute,10,10,10,Timeout for the Artifact Retrieval Lambda in seconds,Yes,Integer,1-900,Public,Development,compute.lambda.artifact_retrieval.memory_mb,,2025-06-15
compute.lambda.artifact_retrieval.reserved_concurrency,Compute,20,5,20,Reserved concurrency for the Artifact Retrieval Lambda,Yes,Integer,1-1000,Public,Development,,,2025-06-15
compute.lambda.admin_governance.memory_mb,Compute,512,512,512,Memory allocation for the Admin Governance Lambda handling usage limit CRUD operations,Yes,Integer,128-10240,Public,Development,,,2025-06-15
compute.lambda.admin_governance.timeout_seconds,Compute,30,30,30,Timeout for the Admin Governance Lambda in seconds,Yes,Integer,1-900,Public,Development,compute.lambda.admin_governance.memory_mb,,2025-06-15
compute.lambda.admin_governance.reserved_concurrency,Compute,10,3,10,Reserved concurrency for the Admin Governance Lambda; low traffic admin-only endpoint,Yes,Integer,1-1000,Public,Development,,,2025-06-15
compute.lambda.bedrock_orchestration.memory_mb,Compute,3008,3008,3008,Memory allocation for the Bedrock Orchestration Lambda; high memory required for Claude prompt context assembly,Yes,Integer,128-10240,Public,Development,,Maximum practical memory reduces cold-start duration and improves throughput for large prompt payloads,2025-06-15
compute.lambda.bedrock_orchestration.timeout_seconds,Compute,900,900,900,Timeout for the Bedrock Orchestration Lambda; maximum 15 minutes per Lambda limit,Yes,Integer,1-900,Public,Development,compute.lambda.bedrock_orchestration.memory_mb,Set to Lambda maximum; Step Functions retries on timeout up to 3 attempts with exponential backoff,2025-06-15
compute.lambda.bedrock_orchestration.reserved_concurrency,Compute,100,20,100,Reserved concurrency for the Bedrock Orchestration Lambda; must accommodate parallel artifact generation per workflow,Yes,Integer,1-1000,Public,Development,bedrock.model_id,Must not exceed Bedrock InvokeModel concurrent request quota; validate with Bedrock service quota,2025-06-15
compute.lambda.output_validation.memory_mb,Compute,1024,1024,1024,Memory allocation for the Output Validation Lambda checking Bedrock output structural completeness,Yes,Integer,128-10240,Public,Development,,,2025-06-15
compute.lambda.output_validation.timeout_seconds,Compute,60,60,60,Timeout for the Output Validation Lambda in seconds,Yes,Integer,1-900,Public,Development,compute.lambda.output_validation.memory_mb,,2025-06-15
compute.lambda.output_validation.reserved_concurrency,Compute,50,10,50,Reserved concurrency for the Output Validation Lambda,Yes,Integer,1-1000,Public,Development,,,2025-06-15
compute.lambda.artifact_template.memory_mb,Compute,2048,2048,2048,Memory allocation for the Artifact Template Population Lambda converting markdown to Office documents,Yes,Integer,128-10240,Public,Development,,High memory required for python-docx/openpyxl in-memory document construction,2025-06-15
compute.lambda.artifact_template.timeout_seconds,Compute,120,120,120,Timeout for the Artifact Template Population Lambda in seconds,Yes,Integer,1-900,Public,Development,compute.lambda.artifact_template.memory_mb,,2025-06-15
compute.lambda.artifact_template.reserved_concurrency,Compute,30,5,30,Reserved concurrency for the Artifact Template Population Lambda,Yes,Integer,1-1000,Public,Development,,,2025-06-15
compute.lambda.ses_notification.memory_mb,Compute,256,256,256,Memory allocation for the SES Notification Lambda sending job completion emails,Yes,Integer,128-10240,Public,Development,,,2025-06-15
compute.lambda.ses_notification.timeout_seconds,Compute,10,10,10,Timeout for the SES Notification Lambda in seconds,Yes,Integer,1-900,Public,Development,compute.lambda.ses_notification.memory_mb,,2025-06-15
compute.lambda.health_check.memory_mb,Compute,128,128,128,Memory allocation for the Health Check Lambda invoked by CloudWatch Synthetics every 1 minute,Yes,Integer,128-10240,Public,Development,,,2025-06-15
compute.lambda.runtime,Compute,python3.12,python3.12,python3.12,Lambda runtime for all functions; Python 3.12 container images stored in ECR,Yes,String,Valid Lambda runtime identifier,Public,Development,,All Lambda functions use ECR container images not zip packages; runtime version pinned in Dockerfile,2025-06-15
compute.lambda.architecture,Compute,arm64,arm64,arm64,CPU architecture for Lambda functions; arm64 reduces cost and improves performance for Python workloads,Yes,String,"x86_64|arm64",Public,Development,,arm64 Graviton2 is 20% cheaper than x86_64 for Lambda; validate all dependencies support arm64,2025-06-15
compute.stepfunctions.workflow_name,Compute,amatra-generation-workflow-prod,amatra-generation-workflow-dev,amatra-generation-workflow-dr,Step Functions standard workflow name for the artifact generation orchestration,Yes,String,Non-empty string; matches naming convention,Public,Operations,solution.name,,2025-06-15
compute.stepfunctions.max_retry_attempts,Compute,3,3,3,Maximum retry attempts for Bedrock invocation states within the Step Functions workflow,Yes,Integer,1-10,Public,Development,compute.stepfunctions.retry_backoff_rate,Retries cover Bedrock ThrottlingException and ServiceUnavailableException only; ValidationException is non-retryable,2025-06-15
compute.stepfunctions.retry_backoff_rate,Compute,2,2,2,Exponential backoff multiplier for Step Functions retry intervals,Yes,Number,1.0-10.0,Public,Development,compute.stepfunctions.retry_interval_seconds,,2025-06-15
compute.stepfunctions.retry_interval_seconds,Compute,30,30,30,Initial retry interval in seconds for Step Functions Bedrock invocation retries,Yes,Integer,1-3600,Public,Development,compute.stepfunctions.max_retry_attempts,,2025-06-15
compute.ecr.repository_prefix,Compute,amatra,amatra,amatra,ECR repository name prefix for all Lambda container images,Yes,String,Lowercase alphanumeric and hyphens,Public,DevOps,aws.account_id,Full image URI: {account_id}.dkr.ecr.{region}.amazonaws.com/{prefix}/{function-name}:{tag},2025-06-15
storage.s3.artifacts_bucket_name,Storage,amatra-artifacts-prod,amatra-artifacts-dev,amatra-artifacts-dr,S3 bucket name for storing all generated artifacts and source templates,Yes,String,Globally unique; lowercase alphanumeric and hyphens,Confidential,Operations,aws.account_id,SSE-KMS encryption enforced; S3 Block Public Access enabled; versioning enabled,2025-06-15
storage.s3.terraform_state_bucket,Storage,amatra-terraform-state-prod,amatra-terraform-state-dev,amatra-terraform-state-dr,S3 bucket for Terraform remote state storage,Yes,String,Globally unique; lowercase alphanumeric and hyphens,Confidential,DevOps,aws.account_id,Versioning and DynamoDB locking required for Terraform state backend; do not delete,2025-06-15
