# SCOPE ASSUMPTIONS
#WIDTH: 25,35,30,25,25,30,40
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Users / Monthly Active Users,Single department ~100 MAU,"Starting at 0; projections for 100 / 10K / 100K MAU",Up to 100 MAU,"Up to 10,000 MAU","100,000+ MAU",Cost modeling required for all three tiers for investor conversations
Content Catalog,Single-genre catalog ~1000 tracks,"Existing FlutterFlow / Firebase catalog with titles + metadata; lyric and transcript files where available","Up to 2,000 tracks","Up to 50,000 tracks","500,000+ tracks","Firebase data-migration execution is out of scope; catalog is read via API"
AI/ML Models in Scope,1 baseline recommendation model,"Content-intelligence classifier + preference-learning model + mood-to-content matcher + playlist generator + retraining pipeline",1 model,3-5 models,10+ models,"Medium complexity — 5 interacting ML components built from scratch"
AWS Environments,Single prod environment,"Dev + Staging environments; production deployment out of scope for this engagement",1 environment,2 environments,3+ environments,Production deployment deferred to a later phase
Integration Points / APIs,1 downstream consumer,"FlutterFlow mobile app calling secured REST API; no frontend modification required",1 integration,2-3 integrations,5+ integrations,All API contracts must be documented for independent operation
Data Schemas,Basic metadata schema,"User preference vectors + content metadata + mood taxonomy; defined and documented in Phase 1",Basic schema,Intermediate schema with versioning,Full ontology with multi-language support,"Mood taxonomy and data schema design are explicit Phase 1 deliverables"
Compliance / Security,Standard AWS best practices,"Dedicated AWS account provided by customer; security controls under existing or new dedicated security account",Standard IAM + encryption,NIST CSF aligned,FedRAMP / SOC 2 ready,No specific compliance framework stated; AWS security baseline assumed
Knowledge Transfer,Single handoff session,"Two formal knowledge-transfer sessions + full operational runbook delivery",1 session,2 sessions,4+ sessions,Runbooks and API documentation required for independent operation post-engagement

# ESTIMATE SETTINGS
#WIDTH: 25,30,15,80
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery & Architecture Planning,discovery_factor,1.0,Baseline — requirements workshop + architecture design + data schema definition + tiered cost modeling
Content Intelligence Development,content_intelligence_factor,1.2,Elevated complexity — lyric/transcript NLP pipeline + audio analysis + catalog enrichment at ingest time
Recommendation Engine Development,recommendation_factor,1.3,Highest complexity — preference-learning model + mood-to-content matching + playlist generation + retraining pipeline
API Service Layer Development,api_factor,1.1,Moderate complexity — authenticated REST endpoints + feedback capture + API documentation
Testing & Validation,testing_factor,1.0,End-to-end functional + integration + performance testing across all pipeline components
Integration & Deployment,deployment_factor,1.0,End-to-end validation + production-readiness checks + knowledge-transfer sessions + final documentation delivery
Management,management_factor,1.0,Project management and technical leadership overhead (10% of engineering hours)

# LEVEL OF EFFORT
#WIDTH: 15,25,50,15,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery & Architecture Planning,Project Kickoff,Project kickoff meeting — stakeholder alignment and delivery cadence agreement,Project Manager,8,1.0,8,$175,$1400,,Requires CEO and nClouds delivery team availability
Discovery & Architecture Planning,Requirements Workshop,"Facilitate requirements workshop covering mood taxonomy + content classification + recommendation goals + API contracts",Solution Architect,24,1.0,24,$225,$5400,Project Kickoff,Lilly Goyah + SMEs must attend
Discovery & Architecture Planning,Current State Assessment,"Assess existing Firebase catalog schema + FlutterFlow app call patterns + available lyric/transcript coverage",Solutions Engineer,16,1.0,16,$200,$3200,Project Kickoff,Feeds data schema design
Discovery & Architecture Planning,AWS Architecture Design,"Design multi-service AWS architecture — SageMaker + Lambda + API Gateway + S3 + DynamoDB + EventBridge",Solution Architect,32,1.0,32,$225,$7200,Requirements Workshop,Produces architecture diagrams for SOW
Discovery & Architecture Planning,Data Schema Definition,"Define user preference vector schema + content metadata schema + mood taxonomy (emotion and worship style labels)",Solutions Engineer,16,1.0,16,$200,$3200,Requirements Workshop,Explicit Phase 1 deliverable
Discovery & Architecture Planning,Tiered AWS Cost Modeling,"Model AWS consumption costs at 100 / 10K / 100K MAU tiers for investor and accelerator conversations",Solutions Engineer,16,1.0,16,$200,$3200,AWS Architecture Design,Must cover all three growth scenarios
Discovery & Architecture Planning,Risk Assessment,"Identify risks — data sparsity for new catalog + cold-start for new users + AWS funding approval dependency",Project Manager,8,1.0,8,$175,$1400,Requirements Workshop,Informs contingency planning
Discovery & Architecture Planning,Phase 1 Documentation,"Document architecture decisions + data schemas + mood taxonomy + cost model in deliverable package",Technical Writer,16,1.0,16,$125,$2000,AWS Architecture Design,Phase 1 formal deliverable for customer sign-off
Content Intelligence Development,Emotion & Mood Taxonomy,"Finalize emotion / mood / worship-style label set and annotation guidelines for classifiers",ML/AI Engineer,16,1.2,19,$250,$4750,Phase 1 Documentation,Taxonomy drives all downstream classification work
Content Intelligence Development,Lyric & Transcript Ingestion Pipeline,"Build AWS pipeline to ingest lyric and podcast transcript text from catalog and pre-process for NLP classification",Solutions Engineer,24,1.2,29,$200,$5800,Emotion & Mood Taxonomy,"Ingests from Firebase-backed catalog via API; migration execution out of scope"
Content Intelligence Development,NLP Emotion Classifier,"Train and deploy NLP model on SageMaker to classify emotion / mood / theme from lyric and transcript text",ML/AI Engineer,40,1.2,48,$250,$12000,Lyric & Transcript Ingestion Pipeline,"Medium-complexity custom model; pre-trained base model fine-tuned on labeled data"
Content Intelligence Development,Audio Analysis Pipeline,"Build audio-feature extraction pipeline (valence / energy / worship style) using SageMaker custom model",ML/AI Engineer,32,1.2,38,$250,$9500,Emotion & Mood Taxonomy,Sonic characteristics beyond text-derived tags; extends classification depth
