Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Business Drivers,"What are the top 3–5 clinical and operational pain points driving the CDS platform initiative?","Describe current gaps in sepsis detection, readmission prevention, and alert fatigue in detail","","Aligns technical solution with clinical and operational outcomes; drives feature prioritization"
BUS-002,Business Requirements,Success Criteria,"How will you measure the success of the CDS platform across sepsis mortality, readmission rates, and alert fatigue?","Quantify targets: e.g. 15% sepsis mortality reduction, 20% readmission reduction, 40% false-positive decrease","","Defines measurable KPIs required for project sign-off and ongoing model performance reviews"
BUS-003,Business Requirements,Success Criteria,"What clinical staff adoption rate is acceptable within 90 days of go-live at each facility?","Target is ≥75%; how will adoption be measured (logins, alert acknowledgements, workflow integration)?","","Adoption metrics drive change management plan and training scope"
BUS-004,Business Requirements,Stakeholders,"Who are the key clinical and IT decision-makers and what are their sign-off authorities at each project phase?","Identify CMO, CIO, Clinical Informatics Lead, CISO, EHR Integration Lead, and their approval roles","","Governance map needed to structure steering committee and escalation paths"
BUS-005,Business Requirements,Business Drivers,"What specific clinical workflows (nursing, physician, rapid-response team) will be most affected by AI-generated alerts?","Describe current alert consumption workflows across acute care, ICU, and ambulatory settings","","Workflow impact analysis drives UX design and alert routing architecture"
BUS-006,Business Requirements,Timeline,"Is the Phase 1 (sepsis MVP) delivery date of 2026-10-31 a firm deadline, and what are the consequences if it slips past the Joint Commission review in November 2026?","Confirm hard deadline and describe fallback plan if delivery is delayed","","Joint Commission review is a regulatory constraint; any timeline risk must be flagged immediately"
BUS-007,Business Requirements,Budget,"Please confirm the approved budget range ($1.2M–$1.6M) and the breakdown between implementation services, AWS run costs, and licensing.","Clarify CapEx vs. OpEx split, internal resource allocation, and contingency reserve","","Budget envelope drives design decisions on managed vs. self-managed services and model complexity"
BUS-008,Business Requirements,Budget,"What is the approved monthly AWS steady-state budget range ($18K–$24K/month), and who holds approval authority for overages?","Confirm budget owner and approval threshold for unexpected cost spikes","","Cost governance drives right-sizing decisions for SageMaker, Kinesis, HealthLake, and Bedrock"
BUS-009,Business Requirements,Regulatory Drivers,"Beyond HIPAA and HITECH, are there any state-level healthcare data privacy regulations (e.g. Tennessee data breach law) or Joint Commission standards that must be addressed?","List all regulatory frameworks that apply to PHI handling and clinical AI decision support","","Regulatory scope determines audit log design, PHI de-identification requirements, and model governance"
BUS-010,Business Requirements,Stakeholders,"Has MedCore engaged its clinical ethics committee or patient safety board regarding AI-driven clinical alerts?","Describe any internal governance reviews required before deploying AI risk scores at the bedside","","Clinical AI governance sign-off may add lead time; needs to be factored into Phase 1 timeline"
TECH-001,Technical Requirements,Current Infrastructure,"Describe your current Epic EHR deployment — version, hosting model (Epic-hosted vs. on-premise), and which FHIR R4 API resources are currently enabled.","Include Epic version, Interconnect configuration, and list of exposed FHIR R4 resource types (Observation, Patient, Encounter, MedicationRequest, etc.)","","Epic API capability directly determines which clinical data elements are available for model features"
