# SCOPE ASSUMPTIONS
#WIDTH: 25,35,30,25,25,30,40
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Users / Clinical Staff,Single hospital unit,"~4200 staff across 18 hospitals and 60+ clinics",50-100 users,500-1000 users,4000+ users,"Alert consumers include nurses, hospitalists, and admins; phased rollout per facility"
Regions / Facilities,Single facility,"18 hospitals + 60+ outpatient clinics (southeastern US)",1 site,2-5 sites,18+ sites,"Multi-region AWS resiliency required; phased go-live by facility cohort"
Data Volume / Patient Records,Low-volume EHR feeds,"~2.1 million patients annually; real-time vitals, labs, and EHR events",< 100K records/yr,100K-1M records/yr,2M+ records/yr,"Real-time streaming via Kinesis; latency SLA < 3 seconds end-to-end"
Integration Points,No external integrations,"Epic FHIR R4 API, Mirth Connect HL7 v2.3, Azure AD SSO, SQL Server nightly export",1-2 integrations,3-5 integrations,6+ integrations,"Event-driven only (no batch); Philips and GE bedside monitor streams included"
Environments,Single environment,"Dev / QA / Staging / Production (4 environments)",1 (prod only),2 (dev + prod),"4 (dev, QA, staging, prod)","Dedicated AWS account under MedCore Clinical Applications OU"
AI/ML Models,Single pre-built model,"3 custom models (sepsis; readmission; rapid response) + LLM summarization",1 model (pre-built),2-3 models (custom),4+ models + LLM,"Model explainability required per alert; continuous retraining pipeline required"
Compliance Frameworks,No specific compliance,"HIPAA BAA + HITECH + SOC 2 Type II + PHI audit logging",No regulatory requirements,HIPAA baseline,"HIPAA + HITECH + SOC 2 Type II","BAA with AWS required; all PHI must remain in US AWS regions; full audit log mandatory"
SLA / Availability Target,Best-effort (99.0%),99.95% platform availability (excluding maintenance windows),99.0%,99.9%,99.95%,"Multi-AZ + multi-region active/passive; automated failover required"
Timeline Phases,Single-phase delivery,"3 phases: Phase 1 by 2026-10-31; Phase 2 by 2027-02-28; Phase 3 by 2027-06-30",1 phase,2 phases,3 phases,Phase 1 hard deadline tied to Joint Commission accreditation review (Nov 2026)

# ESTIMATE SETTINGS
#WIDTH: 25,30,15,80
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,discovery_factor,1.2,"Elevated due to complex HIPAA/PHI requirements and multi-stakeholder clinical environment"
Planning,planning_factor,1.3,"Large-scale AWS AI/ML platform design with multi-region HA and EHR integration complexity"
Development,development_factor,1.5,"Custom ML model development + real-time streaming pipeline + Epic FHIR integration at enterprise scale"
Testing,testing_factor,1.3,"Clinical validation and model accuracy testing required alongside standard QA; compliance testing mandatory"
Deployment,deployment_factor,1.2,"Phased rollout across 18 facilities with per-facility UAT and go-live coordination"
Management,management_factor,1.0,Project management and technical leadership overhead (10% of engineering hours)

# LEVEL OF EFFORT
#WIDTH: 15,25,50,15,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,Project Initiation,"Project kickoff meeting and stakeholder alignment across CMO, CIO, CISO and EHR Lead",Project Manager,12,1.2,14,$175,$2450,,Multi-stakeholder kickoff; establish RACI and communication cadence
Discovery,Project Initiation,Clinical workflow discovery sessions with nursing staff and hospitalists,Solution Architect,24,1.2,29,$225,$6525,Kickoff complete,Document current alert workflow and pain points
Discovery,Current State Assessment,Assess Epic FHIR R4 API capabilities and HL7 v2.3 Mirth Connect integration topology,Solutions Engineer,32,1.2,38,$200,$7600,,Catalog available FHIR resource types and Mirth adapter configurations
Discovery,Current State Assessment,"Review existing on-premises data warehouse (SQL Server 2016) and downstream reporting dependencies",Data Engineer,16,1.2,19,$200,$3800,,Out-of-scope for build but nightly export of readmission outcomes must be planned
Discovery,Current State Assessment,Document MedCore AWS Organization structure and Clinical Applications OU landing zone,Cloud Engineer,12,1.2,14,$200,$2800,,Identify account vending process and network connectivity to on-prem Mirth Connect
Discovery,Requirements Gathering,Facilitate requirements workshops for sepsis model (Phase 1) feature inputs and alert thresholds,Solution Architect,32,1.2,38,$225,$8550,Current State Assessment,Clinical Informatics Lead must validate lab/vital signal list
Discovery,Requirements Gathering,Document HIPAA BAA governance requirements and PHI data-handling rules with CISO,Security Engineer,24,1.2,29,$225,$6525,,"HIPAA, HITECH and SOC 2 Type II constraints captured; audit log requirements defined"
Discovery,Requirements Gathering,Capture model explainability and LLM narrative requirements with clinical informatics team,ML/AI Engineer,20,1.2,24,$275,$6600,,Explainability output must accompany every alert; plain-language narrative for bedside staff
Discovery,Gap Analysis,Identify gaps in existing AWS landing zone for HIPAA-compliant ML workloads,Solution Architect,16,1.2,19,$225,$4275,Requirements Gathering,"Gaps include HealthLake provisioning and VPC/PrivateLink configuration"
Discovery,Gap Analysis,Assess Azure AD federation requirements for Cognito SAML 2.0 SSO,Security Engineer,12,1.2,14,$225,$3150,,Validate SAML metadata exchange and attribute mapping for role-based access
Discovery,Data Assessment,Evaluate data quality and completeness of FHIR R4 resources for ML feature engineering,Data Engineer,32,1.2,38,$200,$7600,,Identify missing/sparse fields that may degrade model accuracy
Discovery,Risk Assessment,"Identify project risks and mitigation strategies (clinical safety, data privacy, timeline)",Project Manager,12,1.2,14,$175,$2450,,Joint Commission deadline risk for Phase 1 is highest-priority risk item
Discovery,Assessment Report,"Document discovery findings, architecture approach, and go/no-go recommendation",Solution Architect,20,1.2,24,$225,$5400,All Discovery tasks,Deliverable reviewed and approved by CMO and CIO before Planning phase begins
Planning,Detailed Architecture Design,"Design multi-region AWS architecture: VPC, subnets, Transit Gateway and PrivateLink to Mirth Connect",Solution Architect,40,1.3,52,$225,$11700,Assessment Report,Multi-AZ primary + passive secondary region for 99.95% SLA
Planning,Detailed Architecture Design,"Design real-time data ingestion pipeline: Kinesis Data Streams, Kinesis Data Firehose, Lambda and HealthLake",Solution Architect,32,1.3,42,$225,$9450,Assessment Report,< 3-second end-to-end latency constraint drives architecture choices
