# SCOPE ASSUMPTIONS
#WIDTH: 25,35,30,25,25,30,40
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Users / Stakeholders,Single business unit (~50 users),~120 employees; pre-sales + delivery + sales teams as primary users,Up to 50 users,51–200 users,200+ users,All internal Amatra staff; primary day-to-day users are pre-sales consultants
Regions / Geographies,Single AWS region,us-west-2 (United States data residency required),1 region,2 regions,3+ regions,SOC 2 and GDPR require all customer data resident in United States
Artifact Types,3–4 standard artifact templates,7+ artifact types (briefing; SoW; infra costs; LOE; detailed design; impl guide; Terraform),1–3 types,4–6 types,7+ types,Existing Word/Excel/PowerPoint templates must be ingested and automated
Integration Points,1 identity provider,"Okta to Amazon Cognito migration; Google Workspace (existing); legacy EC2 monolith retirement",1 integration,2–3 integrations,4+ integrations,Legacy monolith to be retired; Okta identities migrated to Cognito
Environments,Dev + Prod,Dev / Staging / Prod (3 environments) with CI/CD pipeline,Dev + Prod,Dev + Staging + Prod,Dev + Staging + Prod + DR,Full IaC (Terraform) required for all environments
AI/ML Models,Single LLM integration,"Amazon Bedrock (Claude models) for multi-artifact generation; async jobs 30–60 min",1 model,2–3 models,4+ models / complex pipelines,Async long-running generation jobs must survive without dropping; per-user usage limits enforced
Compliance Frameworks,None specified,SOC 2 Type II + GDPR-aligned data handling,None,SOC 2 Type II,SOC 2 Type II + GDPR + additional frameworks,Security & Compliance Lead sign-off required; admin governance controls mandatory
SLA / Availability Target,99.5% availability,99.9% platform availability; <2 business day artifact turnaround,99.5%,99.9%,99.99%,Hard deadline: platform live before 2027-01-31 flagship client renewal

# ESTIMATE SETTINGS
#WIDTH: 25,30,15,80
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,discovery_factor,1.2,"Elevated due to Okta migration complexity, legacy monolith retirement, and multi-stakeholder alignment (CTO, VP Eng, Head of Solutions, Security Lead)"
Planning,planning_factor,1.3,"Increased for serverless architecture complexity: Bedrock async orchestration, multi-env IaC, SOC 2 controls design, and Cognito identity federation"
Development,development_factor,1.4,"Large-complexity multiplier for 7+ artifact pipeline automation, Lambda + API Gateway + DynamoDB + S3 + Bedrock integration, CI/CD, and Terraform modules"
Testing,testing_factor,1.2,"Covers functional, integration, performance (async 30–60 min jobs), security validation, and SOC 2 compliance testing"
Deployment,deployment_factor,1.1,"Phased rollout across 3 environments; includes Okta-to-Cognito identity migration cutover and legacy monolith decommission coordination"
Training,training_factor,1.0,"Standard knowledge transfer to pre-sales consultants, delivery team, and admins; includes runbook and SOP documentation"
Management,management_factor,1.0,Project management overhead (10% of engineering tasks); status reporting to CTO and VP Engineering

# LEVEL OF EFFORT
#WIDTH: 15,25,50,15,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,Project Kickoff,"Kickoff meeting with CTO, VP Engineering, Head of Solutions, and Security Lead; align on scope and success criteria",Project Manager,8,1.2,10,$175,"=TEXT($G4*$H4,""$#,##0"")",,
Discovery,Current State Assessment,"Document legacy EC2 monolith capabilities, existing Google Workspace workflow, and manual artifact production process",Solutions Engineer,24,1.2,29,$200,"=TEXT($G5*$H5,""$#,##0"")",,Kickoff complete
Discovery,Stakeholder Interviews,"Conduct structured interviews with CTO, VP Engineering, Head of Solutions, Security Lead, Delivery Consulting, and Sales teams",Solution Architect,32,1.2,38,$225,"=TEXT($G6*$H6,""$#,##0"")",,Current State Assessment
Discovery,Requirements Gathering,"Document functional requirements for 7+ artifact types, usage-limit enforcement, admin governance, and async job handling",Solution Architect,40,1.2,48,$225,"=TEXT($G7*$H7,""$#,##0"")",,Stakeholder Interviews
Discovery,AI/ML Feasibility Assessment,"Assess Bedrock Claude model selection, prompt engineering strategy, artifact quality benchmarks, and async job architecture options",ML/AI Engineer,32,1.2,38,$275,"=TEXT($G8*$H8,""$#,##0"")",,Requirements Gathering
Discovery,Okta Identity Assessment,"Inventory Okta users, groups, and SSO integrations; define Cognito migration strategy and admin group structure",Security Engineer,24,1.2,29,$225,"=TEXT($G9*$H9,""$#,##0"")",,Current State Assessment
Discovery,Compliance & Security Assessment,"Assess SOC 2 Type II and GDPR requirements; document data residency, access control, and audit logging needs",Security Engineer,32,1.2,38,$225,"=TEXT($G10*$H10,""$#,##0"")",,Requirements Gathering
Discovery,Gap Analysis,"Identify gaps between manual process and automated platform; prioritise Phase 1 pre-sales MVP vs Phase 2 delivery and Terraform scope",Solution Architect,16,1.2,19,$225,"=TEXT($G11*$H11,""$#,##0"")",,Requirements Gathering
Discovery,Cloud Readiness Assessment,"Review existing AWS footprint, IAM posture, and service-limit quotas for Bedrock, Lambda, DynamoDB, S3, API Gateway, and Cognito in us-west-2",Cloud Engineer,16,1.2,19,$200,"=TEXT($G12*$H12,""$#,##0"")",,
Discovery,Assessment Report,Document findings and recommendations; present to CTO and VP Engineering for Phase 1 go/no-go sign-off,Technical Writer,16,1.2,19,$125,"=TEXT($G13*$H13,""$#,##0"")",,All Discovery tasks
Planning,Detailed Architecture Design,"Design end-to-end serverless architecture: API Gateway to Lambda orchestration to Bedrock to S3 artifact storage; async job patterns for 30–60 min generation",Solution Architect,48,1.3,62,$225,"=TEXT($G15*$H15,""$#,##0"")",,Assessment Report
Planning,AWS Infrastructure Design,"Design DynamoDB table schemas (solution state and usage tracking), S3 bucket structure, Lambda function topology, and API Gateway REST API",Cloud Engineer,40,1.3,52,$200,"=TEXT($G16*$H16,""$#,##0"")",,Detailed Architecture Design
Planning,Cognito Identity Architecture,"Design Cognito User Pool, identity federation from Okta, admins group structure, per-user usage limit enforcement, and OIDC/OAuth 2.0 flows",Security Engineer,32,1.3,42,$225,"=TEXT($G17*$H17,""$#,##0"")",,Okta Identity Assessment
